Year,rcp45_prec,rcp85_prec
1961,34.728412021119844,34.728412021119844
1962,29.839955028241647,29.839955028241647
1963,32.74155052799607,32.74155052799607
1964,17.187734068025538,17.187734068025538
1965,28.53257766453831,28.53257766453831
1966,25.979016377087426,25.979016377087426
1967,32.886603634577604,32.886603634577604
1968,38.56046629420433,38.56046629420433
1969,47.231861646611,47.231861646611
1970,27.6740506814833,27.6740506814833
1971,37.999677676817285,37.999677676817285
1972,40.85813559061886,40.85813559061886
1973,16.650446264120824,16.650446264120824
1974,42.053152627701365,42.053152627701365
1975,35.45137524557957,35.45137524557957
1976,33.33276798870334,33.33276798870334
1977,33.25365299607073,33.25365299607073
1978,25.5405417331778,25.5405417331778
1979,28.656627962303535,28.656627962303535
1980,36.11212242141454,36.11212242141454
1981,31.225461229125727,31.225461229125727
1982,41.084126350687626,41.084126350687626
1983,27.85096773698429,27.85096773698429
1984,32.592073152013754,32.592073152013754
1985,27.54387816183693,27.54387816183693
1986,37.055186333497055,37.055186333497055
1987,31.888499201866413,31.888499201866413
1988,30.807273759823183,30.807273759823183
1989,30.603452311517678,30.603452311517678
1990,21.81176134270629,21.81176134270629
1991,34.912792393172886,34.912792393172886
1992,36.014166871316306,36.014166871316306
1993,36.73607487107073,36.73607487107073
1994,38.43853220162082,38.43853220162082
1995,18.71601792730845,18.71601792730845
1996,36.86328892436149,36.86328892436149
1997,32.937780114194496,32.937780114194496
1998,27.3493292608055,27.3493292608055
1999,26.85724536468565,26.85724536468565
2000,27.514299254052066,27.514299254052066
2001,24.482356642927307,24.482356642927307
2002,29.645786008104125,29.645786008104125
2003,31.21362928229372,31.21362928229372
2004,31.999827326866413,31.999827326866413
2005,26.990078969179763,26.990078969179763
2006,35.27408214636542,35.27408214636542
2007,25.852249355353635,25.852249355353635
2008,18.996160900663067,18.996160900663067
2009,25.83933532355108,25.83933532355108
2010,20.829044004788802,20.829044004788802
2011,24.83568232748035,24.83568232748035
2012,24.442484497789785,24.442484497789785
2013,28.55798747544205,28.55798747544205
2014,23.43630663678782,23.43630663678782
2015,16.98809322814342,16.98809322814342
2016,31.986834632858553,31.986834632858553
2017,24.546502793467585,24.546502793467585
2018,41.042646426817285,41.042646426817285
2019,33.18072323897637,33.18072323897637
2020,33.754368669004364,33.754368669004364
2021,32.240765561969354,36.692697142590546
2022,33.608872408927674,35.97297980821065
2023,36.869460432671794,33.23145803768576
2024,36.620382915272224,31.273182745121137
2025,34.00401893799435,33.905904854943714
2026,34.609110744484504,33.804145989044926
2027,29.58160142038883,33.030344126957075
2028,31.71184393163609,33.649222469204624
2029,34.189778477803976,30.104543871240228
2030,34.38761497665413,28.46593049788301
2031,35.68287244960611,31.91592284428491
2032,35.182761959882086,32.93570994372099
2033,37.442070281541326,32.56345033679289
2034,32.219012572272405,32.89540616640084
2035,30.276568943618866,30.56006651745512
2036,32.27829236188137,33.97178285858176
2037,37.06304468486575,33.7412561288054
2038,33.2367863630876,34.975862679553146
2039,32.75359518675951,31.670469860939907
2040,35.24003422623977,32.442703887866074
2041,34.217742061766785,30.381417196884193
2042,34.064447123468966,32.22828651974161
2043,36.75755981386375,29.7452926678583
2044,36.43149638319365,29.372610728949393
2045,32.39502376430561,33.700894497789264
2046,27.549924251021014,31.508378268164893
2047,31.1683518479646,31.802940361361628
2048,31.084559447359386,31.06532309343855
2049,30.2889785614114,31.034556497904425
2050,30.942233569823628,29.69260530690882
2051,37.50459566349603,32.44078314515879
2052,29.61697606280956,33.02321365892476
2053,35.63876768445861,29.929177747917446
2054,30.42418264896925,30.68651155543818
2055,31.81968322098475,34.51204092064671
2056,30.005194611779928,32.140048062598595
2057,28.388108598705248,29.10033387945283
2058,30.447893986275872,30.95706147210907
2059,29.91358906952957,30.904993145706825
2060,33.935508591188196,28.59289911181489
2061,33.02550466528646,28.30443769086164
2062,29.711075099357625,31.39649500546566
2063,32.24775428844645,31.342424941181733
2064,33.225713165672715,29.79595225676289
2065,27.51288052947063,30.16781556587336
2066,31.652740595799926,27.037508280157283
2067,27.88078375308972,30.584081586665754
2068,29.50967481283372,28.198753451689072
2069,31.96331948473496,25.75087100790968
2070,32.44062983286439,27.578440337780656
2071,34.28232414261438,34.35314285189104
2072,33.623885443040315,29.93847194418025
2073,28.64293966617227,30.049238630546647
2074,31.45826539668753,26.185618391890067
2075,27.970407806252,28.38797842788925
2076,26.25371797745461,26.606937933028274
2077,31.377831403135254,29.35630177204629
2078,35.157019957845776,33.14708999280532
2079,26.4014936731538,26.737198422262697
2080,34.075161627968626,29.12227778634657
2081,37.85973636177699,29.61690085300476
2082,32.09695284444633,32.088396282807565
2083,35.57829321602719,25.767324599052788
2084,32.79196665063317,24.40085790437613
2085,30.51373438501151,24.007449878874326
2086,30.922702162053184,33.16334688138202
2087,30.986410652091145,32.46562552222227
2088,32.20518553892781,27.244809643673438
2089,33.383156213973926,27.15493971230316
2090,29.571549340708394,27.668287127672553
2091,34.37699303806807,25.91978644412817
2092,33.77637621496372,25.176308596800045
2093,30.885056762064362,26.002988737034173
2094,31.096020264537483,24.65315208727344
2095,34.199425581612395,26.502783924114965
2096,29.87519735686232,28.82885541096109
2097,28.710373934232784,26.4363910225825
2098,27.987975081043164,26.59761480991747
2099,34.49807214574691,27.197227871396183
