Year,rcp45_prec,rcp85_prec
1961,18.5321328391104,18.5321328391104
1962,16.319917518199425,16.319917518199425
1963,19.887400097954096,19.887400097954096
1964,17.209113905029053,17.209113905029053
1965,16.973446648411585,16.973446648411585
1966,15.16912108461898,15.16912108461898
1967,17.59552472227788,17.59552472227788
1968,22.26980926779314,22.26980926779314
1969,23.91007981032525,23.91007981032525
1970,15.57276709187649,15.57276709187649
1971,16.819654544847392,16.819654544847392
1972,25.46105768160466,25.46105768160466
1973,12.3864233397894,12.3864233397894
1974,22.808018321868246,22.808018321868246
1975,19.41471036755048,19.41471036755048
1976,24.816500256016386,24.816500256016386
1977,22.08461063247179,22.08461063247179
1978,18.83342516529753,18.83342516529753
1979,21.49634341815268,21.49634341815268
1980,19.672233631648076,19.672233631648076
1981,19.057105567799816,19.057105567799816
1982,27.039173289699235,27.039173289699235
1983,17.8107816291547,17.8107816291547
1984,18.753670495781297,18.753670495781297
1985,15.045729535385911,15.045729535385911
1986,22.64725116320488,22.64725116320488
1987,17.959869431643625,17.959869431643625
1988,19.69183001625148,19.69183001625148
1989,16.58061733342238,16.58061733342238
1990,14.975312506956966,14.975312506956966
1991,21.759524087802486,21.759524087802486
1992,22.56965593624079,22.56965593624079
1993,21.523155568912934,21.523155568912934
1994,18.992336205169305,18.992336205169305
1995,17.51347981923017,17.51347981923017
1996,22.086173167256614,22.086173167256614
1997,18.75802555711392,18.75802555711392
1998,17.911076047997508,17.911076047997508
1999,17.022992775885484,17.022992775885484
2000,15.866900699036044,15.866900699036044
2001,13.579714319107726,13.579714319107726
2002,17.068748747745946,17.068748747745946
2003,19.092556880162068,19.092556880162068
2004,21.07004552639195,21.07004552639195
2005,17.323276341859792,17.323276341859792
2006,19.461667111912554,19.461667111912554
2007,16.898898572986933,16.898898572986933
2008,11.77380674102273,11.77380674102273
2009,19.189646920011576,19.189646920011576
2010,12.845548375965624,12.845548375965624
2011,18.15560230637369,18.15560230637369
2012,18.16256901311249,18.16256901311249
2013,17.284502382065494,17.284502382065494
2014,15.909553863621184,15.909553863621184
2015,17.425314176629044,17.425314176629044
2016,16.04131186135043,16.04131186135043
2017,16.132544134998554,16.132544134998554
2018,18.15299483514771,18.15299483514771
2019,18.84243036125034,18.84243036125034
2020,19.35350639521997,19.35350639521997
2021,19.709408069311827,20.02991662280069
2022,20.857176430303728,20.04793322727787
2023,20.449304184026197,18.148805731423604
2024,21.1847615161212,19.429957209156026
2025,20.38368048547081,19.72753553876488
2026,21.343426030947303,20.553170023885592
2027,18.534643040796162,19.825845579078084
2028,18.750647757866307,18.955764697587842
2029,19.51171489939054,18.439962259599163
2030,19.38913588831869,17.72557345650613
2031,20.391066603015087,19.025515501754906
2032,19.57794730941729,17.92845217879
2033,21.272842693565106,17.572730398809938
2034,18.50374727298847,19.82486871221511
2035,18.434960784932393,16.82194964443496
2036,19.29062712776571,18.310530537942494
2037,22.077237122740026,18.43450268248487
2038,18.906549015463305,19.260846285092846
2039,17.881602313414987,18.8811086411859
2040,20.689435629999107,18.45603140572636
2041,19.775422932970805,18.99197361706998
2042,21.13044813689799,18.98125109128919
2043,21.560449450720377,19.51889183773504
2044,20.894307830056885,18.153882510602287
2045,18.26939544830552,18.59405620891004
2046,17.77326003868027,19.568151447491527
2047,17.870396583682698,18.288024947838032
2048,18.513451096066326,17.75808199594414
2049,17.78682112620209,18.351734656715415
2050,18.276482439594094,18.623690626143052
2051,21.688630280762357,19.07352421989671
2052,17.72279764852503,20.580277556385244
2053,21.38686627536588,17.915679696851353
2054,18.70094468820628,16.668798047419095
2055,19.452805853148135,19.677853387024825
2056,17.899823913507934,18.66996734051067
2057,18.22794031449285,19.621579998699666
2058,17.79780094239861,18.625502118013166
2059,18.401828891479035,17.004449083180138
2060,19.719235308117554,18.622314227008488
2061,19.58248649805254,16.57463498474155
2062,17.643767655055665,18.027073896110878
2063,20.374721340344177,18.74459620361664
2064,19.636873089995674,17.156473204309183
2065,17.419085138882593,18.76648889866575
2066,19.047188558644248,16.626574180047246
2067,18.38009517262176,19.583680911283288
2068,17.25842400859458,18.504427105387762
2069,19.931562654855547,16.106803612638714
2070,20.736028204958394,17.95622699293695
2071,19.651109826332785,19.14856307423425
2072,18.863886917667905,18.820842021936915
2073,17.632465702891484,17.083772973425194
2074,18.909356200324364,16.483467368204874
2075,17.699513911797375,17.647263039484013
2076,16.713141945980727,16.142171631737735
2077,18.880863901522158,18.520192941675273
2078,19.618182928495198,19.792052679353414
2079,17.07146068572607,19.24046386386616
2080,21.206570539490393,18.057927828078626
2081,21.648195941444634,18.83611628710495
2082,19.04338358900023,18.69521526992427
2083,19.767940592994627,16.93615102855555
2084,18.865411834034308,15.755640893317892
2085,18.272501759422266,15.835859024642014
2086,17.6764414460615,20.070804880981953
2087,17.910427207144846,19.00157285054794
2088,19.379559664552726,16.505348558397998
2089,21.3783338558068,18.158386138773576
2090,17.42381363469365,17.66652426019987
2091,19.947543945718838,17.072704256068768
2092,19.726753208557685,15.87524119258484
2093,17.01196384593228,15.083326394468866
2094,18.420703130675303,15.760364159648953
2095,19.9857379758069,16.87228234348633
2096,17.637391873046333,18.017694300792687
2097,16.35265610972565,16.049235405066906
2098,17.357946242370524,17.792584013156066
2099,20.691527421996923,17.538336108885908
