Year,rcp45_prec,rcp85_prec
1961,32.54158717902132,32.54158717902132
1962,42.37295603197674,42.37295603197674
1963,48.527903948643406,48.527903948643406
1964,41.89696508599806,41.89696508599806
1965,44.40512960271318,44.40512960271318
1966,52.15319918846899,52.15319918846899
1967,47.5402585998062,47.5402585998062
1968,47.72819010416666,47.72819010416666
1969,82.71091478924419,82.71091478924419
1970,46.26343719718992,46.26343719718992
1971,31.117482739825586,31.117482739825586
1972,50.27720748546512,50.27720748546512
1973,33.715805171996124,33.715805171996124
1974,37.63832364341085,37.63832364341085
1975,30.485395091448645,30.485395091448645
1976,45.21183835998062,45.21183835998062
1977,49.7242914244186,49.7242914244186
1978,44.36446977955426,44.36446977955426
1979,45.1935789123062,45.1935789123062
1980,46.36666515261628,46.36666515261628
1981,53.5404781371124,53.5404781371124
1982,36.127165092054256,36.127165092054256
1983,39.12677143895349,39.12677143895349
1984,45.21081637596899,45.21081637596899
1985,39.471138414486425,39.471138414486425
1986,39.84397710755814,39.84397710755814
1987,68.28371790213178,68.28371790213178
1988,47.0739007994186,47.0739007994186
1989,38.837989038275204,38.837989038275204
1990,48.82363584060078,48.82363584060078
1991,46.23397756177327,46.23397756177327
1992,46.64447825823642,46.64447825823642
1993,64.70223171027132,64.70223171027132
1994,45.07116793846899,45.07116793846899
1995,29.21282627785853,29.21282627785853
1996,46.826883478682184,46.826883478682184
1997,36.62194918846899,36.62194918846899
1998,68.09441618217055,68.09441618217055
1999,53.69735646802327,53.69735646802327
2000,42.81616400193799,42.81616400193799
2001,41.51427749515504,41.51427749515504
2002,61.447825823643406,61.447825823643406
2003,64.74030250726744,64.74030250726744
2004,50.80011506782946,50.80011506782946
2005,45.13338405402132,45.13338405402132
2006,43.06934350775194,43.06934350775194
2007,43.81298071099806,43.81298071099806
2008,37.1711179748062,37.1711179748062
2009,47.366475896317816,47.366475896317816
2010,53.757513475048455,53.757513475048455
2011,48.382574037063954,48.382574037063954
2012,35.00252089389535,35.00252089389535
2013,44.34380299176358,44.34380299176358
2014,43.512596899224796,43.512596899224796
2015,52.57428688226744,52.57428688226744
2016,64.78716236676357,64.78716236676357
2017,49.45392744670543,49.45392744670543
2018,44.62007933624031,44.62007933624031
2019,46.17131486709329,46.17131486709329
2020,48.57117279093534,48.57117279093534
2021,52.507462300592316,52.695850133811334
2022,53.5224687266135,56.668882392290975
2023,49.46467550765186,46.68703447313585
2024,51.37282858314207,52.03668488082118
2025,48.473073438325756,49.892996147057545
2026,50.05810396452506,53.48223877951002
2027,48.369186579979456,50.56371380407686
2028,48.21450079432689,49.22491790915839
2029,53.369359810199725,51.47095619505701
2030,52.551953750943326,52.27658377584142
2031,51.706299690053996,49.92826376014066
2032,47.54348924053188,49.398757851980626
2033,52.09072232452114,50.325097881519746
2034,49.80496841087651,50.36405050802117
2035,51.30522102101062,47.409065376818894
2036,49.63368310925839,47.787118363858994
2037,58.66236726623136,48.23337801030407
2038,47.90306629373083,49.93032103757052
2039,47.19010097520571,50.53452194164508
2040,48.353717436228074,47.139324655343714
2041,53.25648084088945,54.088971717344386
2042,53.88200621678494,48.8097208911596
2043,49.93922837061844,55.72534940137386
2044,55.48950289074153,53.27311426802144
2045,51.017151314082135,52.80382893957305
2046,51.020960668443976,47.346165814959576
2047,45.515073039242104,50.071538438290865
2048,47.421725545617974,51.07813489503836
2049,50.59212570968084,50.051502590794115
2050,50.04258395402407,49.93324304974423
2051,56.985510953211296,50.830046453326226
2052,56.30394172293565,53.40039983120175
2053,55.84882561019227,54.374113760238075
2054,54.41104867233715,52.70643606959735
2055,51.41570360122679,51.7393517735973
2056,52.752832197129294,54.27249329818126
2057,51.739340469875145,46.32988206833636
2058,50.92570985381421,49.86729713476764
2059,50.846821176984996,50.10593566476905
2060,54.61043502720038,53.24491148127709
2061,54.890162587188044,49.466794955553475
2062,52.07859908252382,47.680727731058255
2063,50.13574358005757,57.81806400013801
2064,51.463631383108975,50.02064908120746
2065,53.218534245658674,54.68129240944766
2066,51.48148561223231,49.7753300514201
2067,54.58274655981347,54.33912874020852
2068,49.49613376637312,56.65551008899696
2069,54.9415662636289,53.33363439636986
2070,57.51208354547548,58.938381553495375
2071,52.166977234091256,54.19653228538685
2072,54.009133527855255,55.04911552794922
2073,48.54898923623161,55.87758793118267
2074,53.228165016923676,49.86371385484863
2075,46.085492769695215,50.03476743016285
2076,52.702264996126935,49.36888776622033
2077,52.83629888142602,57.52595886440482
2078,53.59743501185941,51.08517711393285
2079,50.02375760479651,50.839281594316255
2080,56.58065684097246,57.450529126551075
2081,58.28716846903213,55.83175698975782
2082,56.26634554309126,52.70579175743524
2083,55.14398766788726,58.60165497460654
2084,54.397817665569924,55.336919597407366
2085,55.503180394533366,52.62346109721381
2086,53.28020170180449,53.618968602539965
2087,53.912741037289116,58.32605327320071
2088,52.967569006661385,56.891277473574284
2089,56.01532378548325,54.94052066933078
2090,50.43337623591821,50.361309355401715
2091,52.37283496988079,52.9944153467487
2092,53.14424053188018,55.987228384099254
2093,50.57239506268194,50.82036481531158
2094,49.20030405419414,52.01620253629982
2095,55.10268386718029,52.32218299096236
2096,55.12004638439045,53.315056729029436
2097,51.617508952628405,57.4557853573471
2098,55.06045316125767,55.71738027726373
2099,53.53053393236182,55.123997035279075
