Year,rcp45_tmax,rcp45_tmin,rcp85_tmax,rcp85_tmin
1961,4.553570093794296,-9.475156831369596,4.553570093794296,-9.475156831369596
1962,4.016271427622254,-9.260254252303332,4.016271427622254,-9.260254252303332
1963,4.7019774871545,-8.720600001107371,4.7019774871545,-8.720600001107371
1964,2.9201295069985824,-10.119790513155564,2.9201295069985824,-10.119790513155564
1965,4.3305518720100995,-8.953453058557763,4.3305518720100995,-8.953453058557763
1966,3.9817526078579024,-9.035280829199149,3.9817526078579024,-9.035280829199149
1967,3.280346800806166,-9.459265370304747,3.280346800806166,-9.459265370304747
1968,3.9226314725815024,-9.26484430368533,3.9226314725815024,-9.26484430368533
1969,2.369429925584692,-10.198189587393694,2.369429925584692,-10.198189587393694
1970,4.131008523985648,-9.04630124357725,4.131008523985648,-9.04630124357725
1971,4.636243272723246,-8.596890780031892,4.636243272723246,-8.596890780031892
1972,2.4839060977365346,-10.018038375930187,2.4839060977365346,-10.018038375930187
1973,4.535787451275692,-8.959759534461375,4.535787451275692,-8.959759534461375
1974,2.9632276809443656,-9.664098489546419,2.9632276809443656,-9.664098489546419
1975,3.8070468916105598,-9.145619933779235,3.8070468916105598,-9.145619933779235
1976,3.3529072632441532,-9.156574598024447,3.3529072632441532,-9.156574598024447
1977,4.2087151455085055,-8.396710001771794,4.2087151455085055,-8.396710001771794
1978,4.046271482990787,-8.616830372962438,4.046271482990787,-8.616830372962438
1979,4.345131444897236,-8.705534915396882,4.345131444897236,-8.705534915396882
1980,4.787346075478384,-8.030472072111976,4.787346075478384,-8.030472072111976
1981,3.918282966424522,-8.502182904411764,3.918282966424522,-8.502182904411764
1982,3.775676811104713,-8.900443225106306,3.775676811104713,-8.900443225106306
1983,4.721231894489724,-8.465437577515946,4.721231894489724,-8.465437577515946
1984,3.0916061996146347,-9.792206048458539,3.0916061996146347,-9.792206048458539
1985,3.864294494153083,-9.3041165120039,3.864294494153083,-9.3041165120039
