Year,rcp45_prec,rcp85_prec
1961,34.90988226996528,34.90988226996528
1962,41.51300455729167,41.51300455729167
1963,44.50971137152778,44.50971137152778
1964,40.72307400173611,40.72307400173611
1965,43.60380316840278,43.60380316840278
1966,51.85431857638889,51.85431857638889
1967,48.65725911458333,48.65725911458333
1968,48.45501302083333,48.45501302083333
1969,72.95738932291667,72.95738932291667
1970,44.39411892361111,44.39411892361111
1971,32.487071397569444,32.487071397569444
1972,49.21949869791667,49.21949869791667
1973,34.58698459201389,34.58698459201389
1974,38.9070556640625,38.9070556640625
1975,31.15303548177083,31.15303548177083
1976,39.373130967881934,39.373130967881934
1977,43.53154296875,43.53154296875
1978,45.449964735243064,45.449964735243064
1979,43.23783908420139,43.23783908420139
1980,42.96003146701389,42.96003146701389
1981,51.04451497395834,51.04451497395834
1982,34.87736545138889,34.87736545138889
1983,37.522802734375,37.522802734375
1984,38.00153537326389,38.00153537326389
1985,37.35940755208333,37.35940755208333
1986,36.470393880208334,36.470393880208334
1987,60.79110785590278,60.79110785590278
1988,45.64150390625,45.64150390625
1989,38.27715657552083,38.27715657552083
1990,45.22396375868056,45.22396375868056
1991,41.051231553819434,41.051231553819434
1992,45.619390190972226,45.619390190972226
1993,61.77005208333333,61.77005208333333
1994,43.20048285590278,43.20048285590278
1995,30.767095269097233,30.767095269097233
1996,44.43038194444443,44.43038194444443
1997,33.76529405381945,33.76529405381945
1998,62.01493055555557,62.01493055555557
1999,51.99713541666666,51.99713541666666
2000,40.22992621527778,40.22992621527778
2001,39.2679931640625,39.2679931640625
2002,60.302973090277774,60.302973090277774
2003,61.45328233506945,61.45328233506945
2004,47.2829806857639,47.2829806857639
2005,43.216417100694436,43.216417100694436
2006,41.853333875868046,41.853333875868046
2007,39.82946506076389,39.82946506076389
2008,33.97794053819445,33.97794053819445
2009,45.815283203125,45.815283203125
2010,51.39541015625,51.39541015625
2011,46.158702256944466,46.158702256944466
2012,31.61146104600695,31.61146104600695
2013,43.638064236111106,43.638064236111106
2014,41.525661892361114,41.525661892361114
2015,49.96268446180557,49.96268446180557
2016,62.84147677951389,62.84147677951389
2017,48.36007486979167,48.36007486979167
2018,42.0955810546875,42.0955810546875
2019,44.20226388054655,44.20226388054655
2020,47.49627618226535,47.49627618226535
2021,50.93126863283807,51.11732663631013
2022,51.80774598638085,55.197048981503364
2023,48.897601457930286,43.17319006704356
2024,49.02304119906394,51.14828841534714
2025,45.767173907631644,48.308757102430675
2026,48.4146666639729,51.59537683301785
2027,47.224335465974605,48.811866514440155
2028,45.399384258251494,48.02692405053352
2029,50.901484903725965,49.944735967146244
2030,49.32420330007754,50.19252050292089
2031,50.76291832057187,48.082620773290145
2032,44.281029037372896,48.75827550461553
2033,51.351532812671486,48.43401213190363
2034,47.84169109247928,49.692362372779066
2035,49.50159216960736,44.76952570466918
2036,48.263391918562576,46.74135552027794
2037,57.18967322540343,47.89129643513635
2038,46.322068259894436,48.8459232399698
2039,46.33470664218994,48.39679888932778
2040,47.61456142507451,46.18578799662946
2041,51.37040623969153,51.922349310086716
2042,51.706322865841855,48.21370037713053
2043,47.72710418758768,54.5693577114066
2044,50.718070329353715,50.97079282352446
2045,48.108874457331076,50.82279773626748
2046,49.26149163891785,45.694282581615546
2047,43.08707338612131,48.88029602767442
2048,46.04351897085418,49.4626467421245
2049,48.15672709156327,49.05753712787568
2050,47.2195165439821,46.379222152418826
2051,53.9327017687105,50.1101514163591
2052,53.436845367911204,50.16504361721579
2053,54.61767828184593,52.06513552851195
2054,52.512617997725506,48.7103695092369
2055,49.91355253411639,51.70028484688875
2056,51.02983487969154,51.389300190229434
2057,49.73491172999737,45.27996201255312
2058,50.23908426023177,45.78282103764476
2059,47.612262791074684,48.35478314357372
2060,51.5966492911249,50.099278056599175
2061,52.05796871607676,45.667384459113954
2062,48.98188744105981,44.31701086887741
2063,47.33919328130189,55.263208593662775
2064,48.924782804978285,47.828810532673074
2065,51.31763617058113,53.56227689963771
2066,48.30774734535218,47.45050463274371
2067,51.71864108125882,51.37818875766239
2068,47.952969606292534,54.17080330876088
2069,53.25531895718169,49.968592504301654
2070,55.24804171396747,54.613926582781886
2071,49.9610070121022,50.02484336204036
2072,51.841622104953366,49.67769626691943
2073,47.183419780777605,52.61468145202159
2074,50.98335732115568,47.53027954664857
2075,44.08084674891261,46.374140529397756
2076,49.77158725640539,46.39900271892808
2077,52.357115407636925,54.86179731733157
2078,52.054003572427035,48.554612427526905
2079,47.73327766175865,48.85471141031558
2080,53.25752728770296,54.35694751100791
2081,56.29787711813323,54.81635414409561
2082,54.627336649348784,50.08587209473588
2083,53.5440520157819,55.19254201698226
2084,51.64896373813893,53.53729156900025
2085,52.70888850368253,49.39746404941501
2086,51.39750138796453,50.16755980050488
2087,52.68636599518775,55.89690094038053
2088,51.54846417590346,53.14433598202554
2089,53.08222360758725,50.14925692728123
2090,49.673755751491136,45.974580474377106
2091,50.96740644307828,49.30097067786495
2092,51.05709421610741,54.53782948327678
2093,48.206299596591776,47.596176457779436
2094,46.301955212395924,49.627774862087385
2095,51.39212833098996,47.849637798592966
2096,52.64152621337676,49.00191839448692
2097,48.17661848506896,53.89666657605958
2098,53.387001952447,51.68013075235453
2099,50.47019138539694,53.3175257398021
