Year,rcp45_tmax,rcp45_tmin,rcp85_tmax,rcp85_tmin
1961,9.229173448350695,-5.5159491644965275,9.229173448350695,-5.5159491644965275
1962,8.740814887152778,-5.646254475911459,8.740814887152778,-5.646254475911459
1963,9.280396864149306,-4.963678317599826,9.280396864149306,-4.963678317599826
1964,7.523210991753472,-6.657176378038192,7.523210991753472,-6.657176378038192
1965,9.039297146267359,-5.309148491753471,9.039297146267359,-5.309148491753471
1966,8.879659016927084,-5.325199381510417,8.879659016927084,-5.325199381510417
1967,8.170159912109375,-5.624197726779514,8.170159912109375,-5.624197726779514
1968,8.377200656467013,-5.601077948676215,8.377200656467013,-5.601077948676215
1969,6.79728529188368,-6.6316792805989575,6.79728529188368,-6.6316792805989575
1970,8.795728895399305,-5.414321899414063,8.795728895399305,-5.414321899414063
1971,9.44942626953125,-5.160791015625,9.44942626953125,-5.160791015625
1972,6.831755913628472,-6.887078179253472,6.831755913628472,-6.887078179253472
1973,8.97752685546875,-5.4535257975260425,8.97752685546875,-5.4535257975260425
1974,7.7383694118923625,-6.0742221408420125,7.7383694118923625,-6.0742221408420125
1975,8.68757798936632,-5.570762803819443,8.68757798936632,-5.570762803819443
1976,8.026616075303817,-5.517504204644097,8.026616075303817,-5.517504204644097
1977,8.905414496527778,-4.989099460177951,8.905414496527778,-4.989099460177951
1978,8.587868923611111,-5.140572102864583,8.587868923611111,-5.140572102864583
1979,8.890837266710069,-5.050112575954861,8.890837266710069,-5.050112575954861
1980,9.119474283854167,-4.561253187391493,9.119474283854167,-4.561253187391493
1981,8.675192599826389,-4.694624837239584,8.675192599826389,-4.694624837239584
1982,8.296321614583333,-5.466323513454863,8.296321614583333,-5.466323513454863
1983,9.526345486111113,-4.800126478407118,9.526345486111113,-4.800126478407118
1984,7.826215277777778,-6.1246609157986125,7.826215277777778,-6.1246609157986125
1985,8.454962836371529,-5.685567220052082,8.454962836371529,-5.685567220052082
1986,8.806743028428821,-5.200853814019096,8.806743028428821,-5.200853814019096
1987,8.447488742404515,-4.928605143229166,8.447488742404515,-4.928605143229166
1988,9.274747721354167,-4.696473524305556,9.274747721354167,-4.696473524305556
1989,8.371388075086807,-5.6589121500651025,8.371388075086807,-5.6589121500651025
1990,9.249209933810763,-4.59098646375868,9.249209933810763,-4.59098646375868
1991,8.800391981336805,-5.1230584038628475,8.800391981336805,-5.1230584038628475
1992,8.491904025607639,-4.964696587456596,8.491904025607639,-4.964696587456596
