Year,rcp45_tmax,rcp45_tmin,rcp85_tmax,rcp85_tmin
1961,4.9404666208982215,-8.050939122172785,4.9404666208982215,-8.050939122172785
1962,4.65112639622729,-7.666673908509455,4.65112639622729,-7.666673908509455
1963,5.268493493928438,-7.226553085604374,5.268493493928438,-7.226553085604374
1964,3.348883742352614,-8.626045722098628,3.348883742352614,-8.626045722098628
1965,4.950942308583612,-7.377363013301816,4.950942308583612,-7.377363013301816
1966,4.261508012374861,-7.656877143585465,4.261508012374861,-7.656877143585465
1967,3.694531105163143,-8.218193826473861,3.694531105163143,-8.218193826473861
1968,4.456695228494624,-7.890846600389321,4.456695228494624,-7.890846600389321
1969,2.9105737422367444,-8.865429180571004,2.9105737422367444,-8.865429180571004
1970,4.49722492584353,-7.872294447534298,4.49722492584353,-7.872294447534298
1971,4.9966281979977785,-7.316322244623656,4.9966281979977785,-7.316322244623656
1972,3.075301043404709,-8.534235087597331,3.075301043404709,-8.534235087597331
1973,5.046830100574713,-7.532324689469781,5.046830100574713,-7.532324689469781
1974,3.4060360035456063,-8.412055061179089,3.4060360035456063,-8.412055061179089
1975,4.437499275815722,-7.785626969781238,4.437499275815722,-7.785626969781238
1976,3.81964516418706,-7.886045982804968,3.81964516418706,-7.886045982804968
1977,4.768058259176863,-7.154164349276974,4.768058259176863,-7.154164349276974
1978,4.749640804597702,-7.152463964590286,4.749640804597702,-7.152463964590286
1979,4.847601936179088,-7.358898486744533,4.847601936179088,-7.358898486744533
1980,5.43216602069429,-6.573232411012236,5.43216602069429,-6.573232411012236
1981,4.401056512444383,-7.212203374119393,4.401056512444383,-7.212203374119393
1982,4.472007380886169,-7.3924477718298105,4.472007380886169,-7.3924477718298105
1983,5.376637380654431,-6.877864873007045,5.376637380654431,-6.877864873007045
1984,3.399478152808676,-8.592394327030034,3.399478152808676,-8.592394327030034
1985,4.183087183096959,-8.052231066926215,4.183087183096959,-8.052231066926215
1986,4.292755839822025,-7.568160948507601,4.292755839822025,-7.568160948507601
1987,4.335162622821653,-7.124154876946608,4.335162622821653,-7.124154876946608
1988,4.465099024958287,-7.324356345012977,4.465099024958287,-7.324356345012977
1989,4.160656299244532,-7.675946364015572,4.160656299244532,-7.675946364015572
1990,5.13385749791435,-6.812250880608082,5.13385749791435,-6.812250880608082
1991,4.667420904593066,-7.373748609566183,4.667420904593066,-7.373748609566183
1992,4.384834422506488,-7.3266505608083055,4.384834422506488,-7.3266505608083055
1993,3.667870985122358,-7.783646325778643,3.667870985122358,-7.783646325778643
1994,4.603148101478495,-7.4825283300889875,4.603148101478495,-7.4825283300889875
1995,4.827943953930292,-7.338320066277344,4.827943953930292,-7.338320066277344
1996,3.790138637838339,-7.834629623192438,3.790138637838339,-7.834629623192438
1997,5.96975734033185,-6.7295432424916575,5.96975734033185,-6.7295432424916575
1998,4.947322473465888,-6.723974989571746,4.947322473465888,-6.723974989571746
1999,5.505090291295884,-6.334066207823508,5.505090291295884,-6.334066207823508
2000,5.359918138209121,-6.4534689875324425,5.359918138209121,-6.4534689875324425
2001,5.406418010752689,-6.3378949701056735,5.406418010752689,-6.3378949701056735
2002,5.495064684139785,-5.967110084700593,5.495064684139785,-5.967110084700593
2003,4.12873280786522,-6.8497846275954775,4.12873280786522,-6.8497846275954775
2004,5.532743267982943,-5.678502734519838,5.532743267982943,-5.678502734519838
2005,4.995686034251019,-6.243007276603635,4.995686034251019,-6.243007276603635
2006,5.6463485904477215,-5.833951062523174,5.6463485904477215,-5.833951062523174
2007,6.09222269535595,-5.903748667500928,6.09222269535595,-5.903748667500928
2008,5.427756462620504,-6.111182563959956,5.427756462620504,-6.111182563959956
2009,5.224679620875047,-6.445220528596589,5.224679620875047,-6.445220528596589
2010,5.1210455917454585,-6.040815025954765,5.1210455917454585,-6.040815025954765
2011,4.847419079648684,-6.463454764553207,4.847419079648684,-6.463454764553207
2012,4.5267448496014095,-7.267945286429366,4.5267448496014095,-7.267945286429366
2013,6.029810683745827,-5.9754566706062295,6.029810683745827,-5.9754566706062295
2014,4.404828788352799,-7.1735804539766415,4.404828788352799,-7.1735804539766415
2015,5.721372271273638,-5.5534650769373375,5.721372271273638,-5.5534650769373375
2016,5.967375498238784,-5.844527049731183,5.967375498238784,-5.844527049731183
2017,5.482930614455878,-6.518403695077863,5.482930614455878,-6.518403695077863
2018,5.338591635381905,-6.970990626158695,5.338591635381905,-6.970990626158695
2019,6.517283258594914,-6.214195627802668,6.517283258594914,-6.214195627802668
2020,6.4816190209267575,-6.273355754857987,6.4816190209267575,-6.273355754857987
2021,6.623762144992554,-6.117759715993997,6.516792787742872,-6.245328849028398
2022,6.472930680119588,-6.191143497757821,6.3800448430493475,-6.259972907324368
2023,6.480100896860961,-6.269712257100139,6.59944880418533,-6.0432782137518775
2024,6.576093049327369,-6.16694693572498,6.6143964872944725,-6.153330530642734
2025,6.781763826606891,-6.005091554559042,6.881726457399111,-5.9141442451419834
2026,6.497851270553043,-6.2265041106128365,6.811916106128535,-5.828568759342318
2027,6.826676943198778,-5.929535687593442,6.955577354260073,-5.7763452914797995
2028,6.874299327354264,-5.87168348281017,6.92829783258594,-5.73449177877427
2029,6.7625887518684635,-5.909192825112085,7.0434417040358985,-5.672972720478299
2030,6.5577821375187,-6.025831464872963,6.949247944693582,-5.761374252615839
2031,6.834898168908807,-5.91545216741406,7.239816890881912,-5.509809417040343
2032,6.823757473841567,-5.913443572496249,7.1893217488789105,-5.596926382660683
2033,6.8797178624813,-5.813784566517199,7.2745468983557675,-5.5120515695067525
2034,7.268824738415557,-5.536878736920755,7.426032324364713,-5.340199925261572
2035,6.925868834080745,-5.7935818385650455,7.224939275037342,-5.593329596412558
2036,7.243927503736928,-5.5332118834080575,7.580974402092693,-5.116031390134538
2037,7.042881165919255,-5.492759715993998,7.288396860986552,-5.425962257100139
2038,7.382497197309419,-5.45324177877427,7.4764807548580166,-5.266582585949152
2039,7.219380605381161,-5.578802316890858,7.695861360239178,-5.103746263079245
2040,7.345104633781773,-5.4457679372197285,7.675355007473854,-5.169095665171881
2041,7.178157698056793,-5.5233557548580166,7.6047505605380925,-5.142283258594944
2042,7.103209080717478,-5.632006726457405,7.7363135276532375,-5.149476831091191
2043,7.212140321375159,-5.521580717488803,7.707072122570993,-4.864980381165935
2044,7.0642049701046385,-5.572145926756377,7.774990657698082,-4.965013079222729
2045,7.474402092675632,-5.30628736920778,7.747337443946207,-5.168394992526147
2046,7.321562032884913,-5.485659566517199,8.066470478325868,-4.6036528400597945
2047,7.3611967488789105,-5.4201933856502365,7.887471973094192,-4.887378550074743
2048,7.614957025411059,-5.196235052316865,8.115984678624839,-4.698010089686079
2049,7.775457772795223,-4.985893124065797,8.236033258594944,-4.624859865470853
2050,7.798766816143483,-5.06861920777277,8.432291666666687,-4.428928437967102
2051,7.661388266068741,-5.074224588938705,8.165592301943207,-4.6905362481315365
2052,7.560071001494747,-5.095571748878911,8.325322309417059,-4.339662742899861
2053,7.569973841554543,-5.120142002989553,8.405362481315423,-4.218609865470853
2054,7.813644431988053,-4.868039985052292,8.444810351270577,-4.283398729446958
2055,7.644081651718977,-4.955016816143483,8.561916106128535,-4.089289050822117
2056,7.851574177877411,-4.968282884902862,8.756866591928258,-3.9272701793722153
2057,7.863088565022394,-5.032090807174882,9.000607249626285,-3.7052503736920808
2058,7.892259902840067,-4.974845852017951,8.893754671150989,-3.8525551195814387
2059,8.145249439461907,-4.73598654708519,8.871239723467852,-3.8537462630792447
2060,7.849495515695082,-4.94700579222723,8.880441890881912,-3.881352765321367
2061,7.961089312406558,-4.924841180866963,9.179839312406557,-3.593212817638289
2062,7.7733557548580166,-4.9958893871449845,9.205203662182383,-3.5795029895366497
2063,8.035173766816172,-4.888055866965601,9.212864349775767,-3.5429278774290083
2064,7.885533445440958,-4.870655829596386,9.269525411061297,-3.563621076233176
2065,8.284052690582941,-4.617619581464852,9.143451046337816,-3.4908445440956366
2066,8.03082959641256,-4.6231782511210895,9.474308669656182,-3.167320627802667
2067,7.9484071375187,-4.716601270553042,9.400878176382662,-3.2219030269058067
2068,8.129671150971602,-4.867572869955153,9.38261397608369,-3.345525037369214
2069,8.121519992526146,-4.7339312406576814,9.546384529147986,-3.291806801195833
2070,8.143684603886413,-4.630465246636788,9.80990751121078,-3.02013266068758
2071,8.085598841554543,-4.6236220104633485,9.761304185351264,-2.9592909192825227
2072,8.231128550074741,-4.542927877429008,9.69831371449925,-3.0307828849028624
2073,8.280362481315423,-4.6416526532137246,9.693455717488805,-2.8749065769805497
2074,8.327144058295971,-4.4418908819133085,10.221505979073244,-2.614162929745873
2075,8.244020926756379,-4.586089312406557,10.017610239162934,-2.7659753363228674
2076,8.320744581464849,-4.483370702541095,10.273332399103142,-2.5199925261584326
2077,8.25191517189836,-4.639620702541095,10.35893124065768,-2.47033819133037
2078,8.107716741405056,-4.762121636771326,10.343049327354263,-2.5507053437967206
2079,8.231875934230175,-4.576069693572492,10.606292040358767,-2.2424327354260067
2080,8.273309043348263,-4.475569880418561,10.538163303437956,-2.3408305306427337
2081,8.212093609865462,-4.528867713004502,10.500560538116588,-2.3610566143497635
2082,8.074948617339318,-4.6856782511210895,10.524173206278023,-2.1867526158445685
2083,8.243366965620341,-4.516605941704028,10.790078475336315,-1.945020553064296
2084,8.274803811659183,-4.4494114349776055,10.902886771300473,-1.9350009342301744
2085,8.43107716741406,-4.325929559043345,10.883828475336315,-1.9230661434977487
2086,8.488252055306418,-4.330717488789219,10.948033445440958,-1.8592582212257296
2087,8.334360986547098,-4.440419469357266,10.873131539611334,-1.8952727952167263
2088,8.364559977578494,-4.379017189835565,11.253947122570992,-1.6882006726457348
2089,8.220034566517201,-4.474005044843068,11.30096225710014,-1.5550495142002774
2090,8.377195440956656,-4.472346786248124,11.192124439461908,-1.6520459641255345
2091,8.254367526158433,-4.539564648729424,11.393918161434955,-1.4799140508221171
2092,8.229703849028398,-4.5868133408071685,11.301195814648736,-1.4329456278026669
2093,8.371239723467854,-4.52963845291481,11.648309043348265,-1.2561659192825232
2094,8.46062219730942,-4.3300635276532375,11.665171898355766,-1.2677503736920812
2095,8.271020179372215,-4.376214499252626,11.715994020926757,-1.2489957025410945
2096,8.216180866965601,-4.534099402092694,11.7957772795217,-1.1310257847533762
2097,8.3028774289985,-4.509856128550098,11.728512705530648,-1.0347066517189774
2098,8.499602952167438,-4.2968049327354265,11.623808856502247,-1.2006259342301746
2099,8.31819880418533,-4.442451420029896,11.800261584454406,-1.0413863976083917
