Year,rcp45_tmax,rcp45_tmin,rcp85_tmax,rcp85_tmin
1961,7.4126889293244655,-6.384140453937231,7.4126889293244655,-6.384140453937231
1962,6.922998945746492,-6.247494880788258,6.922998945746492,-6.247494880788258
1963,7.582805150636608,-5.661065733719893,7.582805150636608,-5.661065733719893
1964,5.787222624888492,-7.175252539331765,5.787222624888492,-7.175252539331765
1965,7.176297289352039,-5.9686796741951165,7.176297289352039,-5.9686796741951165
1966,6.906016847782012,-5.993250623428756,6.906016847782012,-5.993250623428756
1967,6.199475027370043,-6.421217358689482,6.199475027370043,-6.421217358689482
1968,6.71495620793123,-6.226591010461439,6.71495620793123,-6.226591010461439
1969,5.181132030046225,-7.1531803736517725,5.181132030046225,-7.1531803736517725
1970,7.0591446354715774,-6.009564309463952,7.0591446354715774,-6.009564309463952
1971,7.600923232097965,-5.643951220501176,7.600923232097965,-5.643951220501176
1972,5.265334826859135,-7.128325586935366,5.265334826859135,-7.128325586935366
1973,7.34430310295191,-5.971369794623308,7.34430310295191,-5.971369794623308
1974,5.884283639810232,-6.678402628537833,5.884283639810232,-6.678402628537833
1975,6.720342150879897,-6.20857683379288,6.720342150879897,-6.20857683379288
1976,6.2311938660692565,-6.151754217014028,6.2311938660692565,-6.151754217014028
1977,7.101480770010543,-5.445330873408484,7.101480770010543,-5.445330873408484
1978,6.916364244586814,-5.652906039656153,6.916364244586814,-5.652906039656153
1979,7.165311891776823,-5.650807669694268,7.165311891776823,-5.650807669694268
1980,7.586151645243695,-5.0542259473075966,7.586151645243695,-5.0542259473075966
1981,6.862123408482686,-5.425260775687292,6.862123408482686,-5.425260775687292
1982,6.607983055915984,-5.954572697875272,6.607983055915984,-5.954572697875272
1983,7.65067145304517,-5.426819347579272,7.65067145304517,-5.426819347579272
1984,6.0132884092936525,-6.720449857067552,6.0132884092936525,-6.720449857067552
1985,6.7668021652745125,-6.2186536979969205,6.7668021652745125,-6.2186536979969205
1986,6.862407879531263,-5.863388005838942,6.862407879531263,-5.863388005838942
1987,6.708707348349688,-5.625311714378396,6.708707348349688,-5.625311714378396
1988,7.301729381234287,-5.4905041156435,7.301729381234287,-5.4905041156435
1989,6.534631340726624,-6.313245706958072,6.534631340726624,-6.313245706958072
1990,7.57932814147271,-5.288432418802206,7.57932814147271,-5.288432418802206
1991,7.000770416024653,-5.827379293041928,7.000770416024653,-5.827379293041928
1992,6.75469725691347,-5.736564603438487,6.75469725691347,-5.736564603438487
1993,5.978338384964722,-6.301337837563863,5.978338384964722,-6.301337837563863
1994,6.980292935487795,-5.916356641797098,6.980292935487795,-5.916356641797098
1995,7.38673110453329,-5.720996624361366,7.38673110453329,-5.720996624361366
1996,6.272688625212878,-6.318885709796448,6.272688625212878,-6.318885709796448
1997,8.083020563011921,-5.294240633363068,8.083020563011921,-5.294240633363068
1998,7.272575216932934,-5.1460210800016215,7.272575216932934,-5.1460210800016215
1999,7.80936004784689,-4.800632678817613,7.80936004784689,-4.800632678817613
2000,7.768963258251562,-4.80684732584543,7.768963258251562,-4.80684732584543
2001,7.9331448686237955,-4.691509838009893,7.9331448686237955,-4.691509838009893
2002,7.871691519341497,-4.479543743917769,7.871691519341497,-4.479543743917769
2003,6.597738930338173,-5.1136794461114246,6.597738930338173,-5.1136794461114246
2004,7.9798893540669855,-4.015687723015166,7.9798893540669855,-4.015687723015166
2005,7.484158954058876,-4.583127002067958,7.484158954058876,-4.583127002067958
2006,8.007306914483822,-4.315986512651042,8.007306914483822,-4.315986512651042
2007,8.36276711134539,-4.376900697429243,8.36276711134539,-4.376900697429243
2008,7.667695366353094,-4.621023424195118,7.667695366353094,-4.621023424195118
2009,7.521659714337847,-4.834409656049793,7.521659714337847,-4.834409656049793
2010,7.69681911949558,-4.456100225042576,7.69681911949558,-4.456100225042576
2011,7.276172603600683,-4.829161830447652,7.276172603600683,-4.829161830447652
2012,6.930227931635715,-5.618014936947532,6.930227931635715,-5.618014936947532
2013,8.33422877301111,-4.418757856216041,8.33422877301111,-4.418757856216041
2014,6.829645557943393,-5.559693303462817,6.829645557943393,-5.559693303462817
2015,7.955652927580893,-4.0777835080285465,7.955652927580893,-4.0777835080285465
2016,8.362521921377018,-4.3043922583326575,8.362521921377018,-4.3043922583326575
2017,7.748627062890277,-4.9795244201605735,7.748627062890277,-4.9795244201605735
2018,7.7697938630281405,-5.106171691265915,7.7697938630281405,-5.106171691265915
2019,8.391762374636045,-3.7969811549660335,8.391762374636045,-3.7969811549660335
2020,8.388041895826602,-3.809345681009376,8.388041895826602,-3.809345681009376
2021,8.515549175024262,-3.6167502426399096,8.41501536719511,-3.76997735360726
2022,8.37136040116468,-3.734835004852812,8.24462148172114,-3.800266903914576
2023,8.370935781300545,-3.8246522161113035,8.502123099320611,-3.6387293756066015
2024,8.539327887415084,-3.6805847622129018,8.474239728243276,-3.7153227110967455
2025,8.687884179877074,-3.5485279844710362,8.686185700420594,-3.5562722419928723
2026,8.372209640892889,-3.824874636040136,8.598794888385612,-3.4656057910061686
2027,8.737301844063436,-3.4764639275315403,8.864829343254597,-3.2732934325460974
2028,8.783282109349727,-3.419099805888038,8.844164509867369,-3.2851423487544484
2029,8.646109673244894,-3.5112827563895053,8.923608864445159,-3.2353202846975364
2030,8.443424458104175,-3.643521514073143,8.801358783565206,-3.3250363959883766
2031,8.757602717567124,-3.5051763183435583,9.17391216434811,-3.0268925913943576
2032,8.732671465545138,-3.487463604011624,9.076633775477204,-3.142753154318996
2033,8.778955030734378,-3.4206971853769232,9.206971853769005,-2.9927814623099493
2034,9.181838401811717,-3.113555483662253,9.330920414105492,-2.87043028146229
2035,8.862868003882227,-3.3483500485280047,9.188814299579406,-3.0930321902296782
2036,9.172800064704006,-3.1055079262374647,9.523980912326122,-2.675610643804589
2037,8.951209155613071,-3.0389032675509497,9.166450986735695,-2.9636646716273285
2038,9.34070689097382,-2.9429391782594507,9.41673406664512,-2.8481478485927028
2039,9.13393723714006,-3.1603849886768103,9.652741831122627,-2.571983176965375
2040,9.294585085732765,-2.9753518278874367,9.624231640245851,-2.662892267874497
2041,9.126415399547056,-3.0446861857004137,9.503113879003537,-2.615112423164021
2042,9.010231316725992,-3.208164833387228,9.698014396635415,-2.6657635069556704
2043,9.115375283079914,-3.066382238757683,9.606397605952793,-2.458549013264303
2044,8.951714655451326,-3.13856761565836,9.647262212876118,-2.57248867680363
2045,9.370915561307015,-2.870875121319955,9.649951472015516,-2.748746360401185
2046,9.28888304755742,-2.9781421869944893,10.039428987382736,-2.151225331607918
2047,9.327624555160126,-2.971469589129754,9.878316078938838,-2.38678825622776
2048,9.577260595276583,-2.72929472662571,10.068161598188283,-2.2203170494985334
