Year,rcp45_prec,rcp85_prec
1961,26.80387638159087,26.80387638159087
1962,22.82206355317993,22.82206355317993
1963,28.734377831128825,28.734377831128825
1964,30.06892666243885,30.06892666243885
1965,21.155939991393367,21.155939991393367
1966,26.74005424442834,26.74005424442834
1967,25.116713285921364,25.116713285921364
1968,22.435185552183366,22.435185552183366
1969,30.76243998006885,30.76243998006885
1970,23.914185654104003,23.914185654104003
1971,26.855133969016126,26.855133969016126
1972,26.44703241076282,26.44703241076282
1973,24.73099463217975,24.73099463217975
1974,21.07408781029172,21.07408781029172
1975,20.225309725493744,20.225309725493744
1976,20.953602045207464,20.953602045207464
1977,25.10018798695416,25.10018798695416
1978,23.53630639608625,23.53630639608625
1979,28.725541878057623,28.725541878057623
1980,23.318504824243522,23.318504824243522
1981,22.784788911034607,22.784788911034607
1982,24.078810133176304,24.078810133176304
1983,23.97252106359848,23.97252106359848
1984,22.719670116869,22.719670116869
1985,26.78948575375973,26.78948575375973
1986,23.44307732379055,23.44307732379055
1987,29.26814470465664,29.26814470465664
1988,22.260169414749047,22.260169414749047
1989,24.92539409313281,24.92539409313281
1990,31.53997553904693,31.53997553904693
1991,18.717055569396628,18.717055569396628
1992,25.097407818445372,25.097407818445372
1993,30.05233341637977,30.05233341637977
1994,28.96424850516398,28.96424850516398
1995,23.971388612067408,23.971388612067408
1996,24.32230136800145,24.32230136800145
1997,19.804939470465666,19.804939470465666
1998,18.755785411759373,18.755785411759373
1999,23.93439425167603,23.93439425167603
2000,25.61500894636709,25.61500894636709
2001,32.18371478075739,32.18371478075739
2002,29.264328342996922,29.264328342996922
2003,23.721499026091685,23.721499026091685
2004,25.01016941474905,25.01016941474905
2005,25.318360436673302,25.318360436673302
2006,27.272586745787287,27.272586745787287
2007,25.089511800144955,25.089511800144955
2008,23.487947884580546,23.487947884580546
2009,27.208184227215074,27.208184227215074
2010,18.980405757383586,18.980405757383586
2011,26.07239196412393,26.07239196412393
2012,24.994275457510422,24.994275457510422
2013,35.68759342725131,35.68759342725131
2014,26.64696106631636,26.64696106631636
2015,30.77294913027723,30.77294913027723
2016,31.69715131817358,31.69715131817358
2017,22.91823983058525,22.91823983058525
2018,30.28319781663345,30.28319781663345
2019,29.71857526405713,29.71857526405713
2020,30.010997755379567,30.010997755379567
2021,30.9889304755954,29.884505863252567
2022,33.66651252084427,30.61165662478621
2023,29.15441933428988,30.50772277701057
2024,30.09099315071765,28.90556610653492
2025,30.84651375200728,29.874138934518705
2026,29.586100892372656,30.294064621573785
2027,32.666442066003476,28.526299518241178
2028,28.921115432859768,29.347941026793904
2029,31.53617587291881,30.761500242575327
2030,31.032555211512555,27.81451886467189
2031,31.236975087176212,30.1349144503504
2032,28.350405231622968,31.655496897074087
2033,30.733680859212303,28.54528813024601
2034,31.468226511668266,30.61496149669582
2035,31.277875277303465,30.498522901171842
2036,30.01973678400561,30.04050691185584
2037,33.682138655037896,30.245842081289158
2038,30.995008964988862,30.794331339376477
2039,30.930515957833578,28.083500021151966
2040,32.514934277724066,29.853929930820986
2041,30.24073862511888,28.32403453000728
2042,32.46023640739061,28.830669900263285
2043,30.095776574101357,29.96125825968647
2044,33.01960891377417,30.64153488574303
2045,30.03994792125524,31.36991030607339
2046,31.87592267917148,29.903744100830952
2047,28.08512578770789,33.06816855526068
2048,30.609567877465693,29.906257424981703
2049,31.20763874840471,29.689345602881154
2050,29.859054722510372,28.61270410351889
2051,29.088599257846173,29.350356207556768
2052,29.564820845615788,29.277956257020605
2053,32.16918152284289,31.30161744296524
2054,32.439858853091934,30.911220114353622
2055,31.968638311000905,29.300576174377362
2056,30.312189145054802,31.071483999674363
2057,31.057202003184447,29.377074678133887
2058,28.741154596299854,31.41456341401148
2059,32.20610263865678,31.92241917596038
2060,32.62386063697063,28.700826198084656
2061,33.944913309009884,29.602582580882483
2062,30.585260320547594,31.324813419337872
2063,33.693766512950965,31.891764302108086
2064,29.981247507537397,29.984196076277925
2065,31.848118230671826,31.627186796771607
2066,30.945186260771244,31.154178338179435
2067,32.763674427227755,31.824548882714826
2068,30.6371034984246,30.270330990119657
2069,33.385769092680746,30.71323716480441
2070,33.205996008688984,31.32843832403408
2071,33.88484955562113,31.81119071420222
2072,33.591149066704205,32.275321463294155
2073,30.284907416773247,31.42776583323461
2074,31.75545380408827,30.49813459472411
2075,31.39215685184579,31.37216333689104
2076,32.23694313152529,31.771340231615014
2077,32.31995750281696,33.89391715124141
2078,33.77428036140335,30.774497840815037
2079,34.322594668234004,30.206401240668807
2080,32.23114200388022,30.684700907999392
2081,31.583103347193656,30.63075191438657
2082,31.78576944318676,33.036476775179814
2083,31.703809046538954,32.231829007595465
2084,31.43895844655791,32.073005269814395
2085,32.2786562049305,33.421847455489925
2086,32.21813160432905,34.255567001408856
2087,33.570547489454924,34.12786111824471
2088,30.88689548902025,31.136446388249983
2089,31.88324289577693,31.942547104685488
2090,32.5072321553266,32.66456880742593
2091,30.139441847504806,31.537165841005354
2092,31.825284958123994,35.416541407143605
2093,33.25492475465603,31.02150981327111
2094,30.226046986662105,29.221436333355452
2095,30.730032485445083,29.125121399452762
2096,31.78452344887093,32.295410988084875
2097,33.84471744418171,32.229776530657404
2098,31.921516683502173,33.461941162994954
2099,32.331156516795986,31.554334533230392
