Year,rcp45_prec,rcp85_prec
1961,18.944686884041023,18.944686884041023
1962,18.938303878662342,18.938303878662342
1963,18.524872214612635,18.524872214612635
1964,22.348528380048776,22.348528380048776
1965,18.35794315638259,18.35794315638259
1966,18.363106771790328,18.363106771790328
1967,18.38751545117429,18.38751545117429
1968,17.319899859686632,17.319899859686632
1969,21.255545718771923,21.255545718771923
1970,16.00875810142652,16.00875810142652
1971,17.75358926602746,17.75358926602746
1972,20.722966708983396,20.722966708983396
1973,18.983970450673173,18.983970450673173
1974,11.967411594227107,11.967411594227107
1975,13.52968400260582,13.52968400260582
1976,16.3120427287609,16.3120427287609
1977,15.191219765810313,15.191219765810313
1978,20.96173328767581,20.96173328767581
1979,18.977247101860822,18.977247101860822
1980,17.391431488658007,17.391431488658007
1981,22.075639762135435,22.075639762135435
1982,17.660556492833997,17.660556492833997
1983,18.584352971636655,18.584352971636655
1984,13.875471887214779,13.875471887214779
1985,17.986215046938163,17.986215046938163
1986,16.9868591938663,16.9868591938663
1987,22.891607924364408,22.891607924364408
1988,20.278240153008387,20.278240153008387
1989,18.81007374803729,18.81007374803729
1990,20.101558063007385,20.101558063007385
1991,13.250326771456251,13.250326771456251
1992,17.14243059499549,17.14243059499549
1993,20.032881769284735,20.032881769284735
1994,16.467835457521794,16.467835457521794
1995,14.851086175792606,14.851086175792606
1996,16.369778964687804,16.369778964687804
1997,14.311048842414724,14.311048842414724
1998,15.216881243109613,15.216881243109613
1999,18.017361691110143,18.017361691110143
2000,18.055450923729662,18.055450923729662
2001,18.67611206694952,18.67611206694952
2002,22.14958407109211,22.14958407109211
2003,19.866685597835165,19.866685597835165
2004,19.145664901613603,19.145664901613603
2005,15.324193824541476,15.324193824541476
2006,18.18181020946781,18.18181020946781
2007,17.94646376908429,17.94646376908429
2008,16.246765693381885,16.246765693381885
2009,18.64868623258611,18.64868623258611
2010,16.95276221060368,16.95276221060368
2011,18.02429801556811,18.02429801556811
2012,19.222858133164067,19.222858133164067
2013,20.46535178565463,20.46535178565463
2014,18.21656282363946,18.21656282363946
2015,23.531714579226946,23.531714579226946
2016,22.69772700698226,22.69772700698226
2017,16.081213668860453,16.081213668860453
2018,19.82740411919955,19.82740411919955
2019,19.630038263702353,19.630038263702353
2020,20.07074623882918,20.07074623882918
2021,20.24388899014044,19.945749564807702
2022,22.56478767293665,20.38085476517892
2023,19.72372227058194,20.54494464915036
2024,20.19141716622949,19.972995967411002
2025,20.332467236283602,19.708745999568784
2026,19.991451336558388,19.99146858310165
2027,21.444725032232427,19.077560145360913
2028,19.425242617986868,20.58191183067761
2029,20.954551619257025,20.215101373717424
2030,19.59876636111725,17.80610578012156
2031,21.016327169318725,20.230339478614503
2032,18.906212602415444,20.2877673319091
2033,20.56563736531783,19.22027842650778
2034,20.233501867499925,19.867039477139926
2035,20.68743402163224,19.176439281428326
2036,20.722198349225913,20.682785294292
2037,22.20668201671611,20.28531205129702
2038,19.67862726358021,20.49601463807637
2039,20.530647264794307,19.93426963847203
2040,22.17908127604236,20.184331972687982
2041,20.318143198178888,19.779000577440293
2042,21.280912660820587,19.412680863029014
2043,20.86281098422845,20.92170792943461
2044,21.277207789756503,21.451750646806328
2045,20.977437782152656,20.696627997053216
2046,19.73204137589976,19.860330571814828
2047,19.257610921178454,20.91570142878016
2048,20.553238668587085,20.72426323081347
2049,21.689683957513303,19.71487479389358
2050,20.680905421077508,18.950279088292312
2051,19.676880659109038,19.585516312296875
2052,19.32988804821317,20.78678822157287
2053,22.112724416945838,20.719542381565077
2054,21.419217394762466,19.40942440208949
2055,21.55079754470356,20.74036052713802
2056,19.86426748727904,20.697974795294453
2057,20.069471562496084,19.745195784798465
2058,19.613645424341165,20.060627221542852
2059,21.148854311271133,20.659696876480048
2060,21.82106342040565,19.16151161430978
2061,23.43485069412765,19.921985396073765
2062,21.57090074266532,19.088168337328568
2063,21.966919004556843,21.241287943764934
2064,20.32754256425132,19.17120103588237
2065,21.864869640266164,20.673484703876365
2066,19.761321302739248,20.265353097151554
2067,22.55390353627695,21.719346444039477
2068,20.563020594346206,20.872086488762978
2069,21.846922260210924,21.003411076290426
2070,22.368688204689175,20.900671850269667
2071,22.285319982475734,20.125549481814307
2072,21.733734764714487,21.86642182915886
2073,19.706922569586762,20.657619451951934
2074,22.262938672937125,18.902661382373065
2075,20.63712271923052,19.404513840865327
2076,20.62260112981219,20.615464196640925
2077,22.7747768799724,22.024497373137997
2078,22.955418741863213,20.716246723936347
2079,23.22170223394162,20.754339634377693
2080,21.131886848446136,21.070968921944324
2081,22.58396426116549,22.261646750060788
2082,21.52417515339248,21.210371163184067
2083,21.0988706931912,21.35192138299249
2084,21.406732465315454,21.345701652348726
2085,20.820629075168764,21.682213068549977
2086,22.535107939867224,22.72950783967058
2087,21.307894093804823,23.054056426325086
2088,20.718230076410347,20.6649649115098
2089,22.180884323746,21.047449340551065
2090,21.55624118090097,21.024592967139235
2091,21.042091937069927,20.060235254650763
2092,21.36995029216128,23.41801963578111
2093,20.66576295610211,20.76323257922553
2094,20.29746302495197,19.534582566470505
2095,21.058104568545765,19.6321384223102
2096,21.914392305280995,20.45084437343137
2097,22.080178621961426,21.62306212879773
2098,21.846790559335183,21.589039402563905
2099,22.6989234470142,20.877630468484767
