Year,rcp45_prec,rcp85_prec
1961,23.202295077875398,23.202295077875398
1962,21.6871900792066,21.6871900792066
1963,26.01849956735889,26.01849956735889
1964,26.88659602968584,26.88659602968584
1965,20.889102436102238,20.889102436102238
1966,23.748184155351442,23.748184155351442
1967,21.975293696751862,21.975293696751862
1968,20.99296126198083,20.99296126198083
1969,27.63462210463259,27.63462210463259
1970,22.42881805777423,22.42881805777423
1971,22.851782980564426,22.851782980564426
1972,20.25648129659212,20.25648129659212
1973,25.15796184438232,25.15796184438232
1974,20.045215155750803,20.045215155750803
1975,15.4780923439164,15.4780923439164
1976,21.254199530750803,21.254199530750803
1977,23.97657498003195,23.97657498003195
1978,21.52510358426517,21.52510358426517
1979,23.847065528487754,23.847065528487754
1980,21.877477286341854,21.877477286341854
1981,23.11764926118211,23.11764926118211
1982,24.98312907681043,24.98312907681043
1983,22.922944122736954,22.922944122736954
1984,20.19643154286475,20.19643154286475
1985,22.886215388711395,22.886215388711395
1986,23.344538322018103,23.344538322018103
1987,26.93613551650693,26.93613551650693
1988,20.853367944621933,20.853367944621933
1989,23.141194921458997,23.141194921458997
1990,28.06464448548988,28.06464448548988
1991,16.32274506622737,16.32274506622737
1992,24.354511947550588,24.354511947550588
1993,26.984204439563364,26.984204439563364
1994,23.772222776890306,23.772222776890306
1995,18.385204506123536,18.385204506123536
1996,19.37172815162407,19.37172815162407
1997,23.03247928314697,23.03247928314697
1998,16.988391490282215,16.988391490282215
1999,23.44470721845048,23.44470721845048
2000,24.85939580005325,24.85939580005325
2001,25.132602419462195,25.132602419462195
2002,23.286545693556967,23.286545693556967
2003,22.709554296458997,22.709554296458997
2004,21.941832651091584,21.941832651091584
2005,20.033161524893504,20.033161524893504
2006,24.31877953607561,24.31877953607561
2007,21.541040585063897,21.541040585063897
2008,20.490567175851968,20.490567175851968
2009,22.44633586261981,22.44633586261981
2010,17.18573095547125,17.18573095547125
2011,24.43732735955804,24.43732735955804
2012,19.368038222177848,19.368038222177848
2013,26.358266357161874,26.358266357161874
2014,23.231683473109694,23.231683473109694
2015,27.849108093716715,27.849108093716715
2016,27.00558065428648,27.00558065428648
2017,22.85130665934505,22.85130665934505
2018,23.229815628328012,23.229815628328012
2019,27.296143480745773,27.296143480745773
2020,28.092163993171354,28.092163993171354
2021,28.266318959534306,27.27514817114677
2022,30.755148906202017,27.86686660599031
2023,27.150052683064928,28.433974706997084
2024,28.14825633678772,27.346888405392274
2025,28.592613238157732,27.209436107188644
2026,28.621699316288854,28.024394025805147
2027,30.063818556734446,25.825877129503546
2028,26.49167382725544,27.599830555846005
2029,28.88889499088001,27.87963030195703
2030,28.305790016384787,25.155435673337074
2031,28.627264262691217,28.321965293666786
2032,26.08686310012267,29.144325404770125
2033,30.63061679852085,26.051870917457656
2034,28.956503768853803,28.506738415637173
2035,28.68118289692825,27.63464120482635
2036,28.921921601924844,27.98468822712105
2037,31.294138065432183,27.677486284298745
2038,28.518879263272012,27.57115449345095
2039,29.790691738480483,24.580734456485466
2040,30.21104237499892,27.21425613950565
2041,28.10264130367861,26.63618090003213
2042,29.911267663792373,25.160024093711577
2043,28.156447261835517,27.784065336544607
2044,29.440604027601296,29.458938929752602
2045,28.0424221986272,27.75044091629683
2046,30.79965595785643,27.430797656292647
2047,25.91720735223744,29.27313920349652
2048,29.729596263916893,26.83427170869657
2049,29.72182787416961,26.986866420114268
2050,28.20271018240541,27.014299915736707
2051,28.62846927077046,27.198143460045948
2052,27.46526714714147,27.134841412246324
2053,29.24755860341413,29.219104763288232
2054,30.191536893570625,27.81362715812521
2055,29.371968645341806,27.90249728644277
2056,28.642369117211903,29.564992160291165
2057,27.94071951673839,27.983232827752598
2058,26.817695805351853,28.868888726873326
2059,29.462932670815267,29.28063216282569
2060,28.811073378198195,26.159775478590714
2061,31.04975929706892,27.879921381830712
2062,28.50199976048915,29.947493023556646
2063,31.595787581416587,31.1070801229479
2064,27.691486287255863,27.32621234468699
2065,29.374403700629234,29.49454144118503
2066,28.15079780837305,28.04124848945909
2067,29.927180030220704,28.363905834606967
2068,29.10216264156079,27.805865028160163
2069,30.66492040514057,28.75262579151784
2070,30.538175464441146,30.40861362173829
2071,31.070288252891803,30.93899245051125
2072,31.113051955195203,29.2788105661968
2073,28.63655690941146,30.177677735713676
2074,29.121039014874988,28.16772112963152
2075,29.03687311290318,29.505784010069885
2076,30.269342856796875,28.69718603019893
2077,29.96938974179677,31.342122426115303
2078,31.858322848137608,29.899483623744626
2079,31.699102157229586,27.93142687001814
2080,30.500654329755267,29.17045373579763
2081,31.145490146710426,29.277661896157603
2082,30.16750558959013,30.7642600192376
2083,28.919768236837765,30.19022546919345
2084,29.884810694197782,30.93987820969678
2085,28.662068651889324,30.2635650777987
2086,30.19095473382325,30.674413364892178
2087,30.47367466834451,31.014641918759303
2088,30.34338043112074,29.66121753272883
2089,28.71332687867867,31.14756213462851
2090,30.42739296842791,29.8726385476518
2091,28.051214062769056,28.983236168866487
2092,29.810939004103016,32.276501340222275
2093,30.402134747130354,28.649110902673478
2094,28.12211235630464,28.02127039447244
2095,28.967292503526988,27.88508883206148
2096,29.76374963576309,29.583749597743
2097,30.25270122573875,30.87292357896603
2098,29.559445993235503,30.066766914164724
2099,28.457696151757197,29.48322688480453
