Year,rcp45_prec,rcp85_prec
1961,24.436404293974114,24.436404293974114
1962,19.610629840335246,19.610629840335246
1963,21.72504243581583,21.72504243581583
1964,26.091772424676428,26.091772424676428
1965,21.483128447910037,21.483128447910037
1966,23.78403982336092,23.78403982336092
1967,21.31795200774453,21.31795200774453
1968,25.08889971886272,25.08889971886272
1969,25.60092098981541,25.60092098981541
1970,25.628244019202214,25.628244019202214
1971,26.31926155049862,26.31926155049862
1972,25.58125629906641,25.58125629906641
1973,22.382134521536173,22.382134521536173
1974,18.9539803469128,18.9539803469128
1975,21.788697817207726,21.788697817207726
1976,22.056588823467006,22.056588823467006
1977,23.17985492255464,23.17985492255464
1978,23.90766231699555,23.90766231699555
1979,30.87563985253554,30.87563985253554
1980,24.45249012041163,24.45249012041163
1981,19.92754415977085,19.92754415977085
1982,25.15432546944621,25.15432546944621
1983,24.876324461595587,24.876324461595587
1984,25.15979902662848,25.15979902662848
1985,27.891967695735197,27.891967695735197
1986,25.413994536388717,25.413994536388717
1987,28.38061611500105,28.38061611500105
1988,19.281700880543173,19.281700880543173
1989,22.059149891258226,22.059149891258226
1990,28.741665340547428,28.741665340547428
1991,22.278814913537026,22.278814913537026
1992,28.39945363887121,28.39945363887121
1993,27.89423535964353,27.89423535964353
1994,24.824390316677274,24.824390316677274
1995,24.274286216316572,24.274286216316572
1996,23.499272292064504,23.499272292064504
1997,17.272514189475913,17.272514189475913
1998,20.707206131975386,20.707206131975386
1999,21.50086529280713,21.50086529280713
2000,29.423303893486104,29.423303893486104
2001,30.795011802461282,30.795011802461282
2002,29.464665552726498,29.464665552726498
2003,22.150318931678335,22.150318931678335
2004,26.76444806917038,26.76444806917038
2005,22.208837258646298,22.208837258646298
2006,24.20749787820921,24.20749787820921
2007,25.397837431041797,25.397837431041797
2008,21.063143167833648,21.063143167833648
2009,29.464446743051127,29.464446743051127
2010,20.736324395289625,20.736324395289625
2011,22.5185391470401,22.5185391470401
2012,23.385814502440056,23.385814502440056
2013,30.521191385529388,30.521191385529388
2014,28.413928230426478,28.413928230426478
2015,29.27541839062168,29.27541839062168
2016,31.348053256948862,31.348053256948862
2017,25.96892571079991,25.96892571079991
2018,30.21918430405262,30.21918430405262
2019,27.35866256576675,27.35866256576675
2020,27.24119862067827,27.24119862067827
2021,27.564839196487107,27.667883869984106
2022,29.55762642167405,27.5893883679756
2023,27.235652363324512,27.92620629264113
2024,27.92621377410337,26.211851660660077
2025,28.018968943175203,27.90714103298757
2026,26.695725207464317,26.907108935916074
2027,30.39893680312621,27.18032445610755
2028,26.280601311167466,27.77102580249048
2029,28.374248622872148,28.311354463491835
2030,29.286947117187953,26.583730211286262
2031,28.78401828601318,27.27165315970889
2032,27.521394345156242,28.724233921111345
2033,26.64588121208229,26.624569019930664
2034,28.509423682945517,27.738862996244325
2035,29.375939110744124,27.25547823830759
2036,28.566881313085194,27.694487949772743
2037,29.86936897867228,28.405935109354548
2038,28.877037800084768,29.4803578794758
2039,27.94905717219709,27.71423651631249
2040,29.76563351682681,28.577622199066592
2041,28.67155195771288,27.11222070517508
2042,29.34763673902297,27.238143690256337
2043,27.90008601407849,27.63260628161797
2044,29.63130884963007,28.089030343398466
2045,27.378830094192942,30.188543121513227
2046,28.43498313348072,27.552804017535106
2047,27.33287645918497,31.924212439466658
2048,28.474801969437323,28.974710783680703
2049,28.39853594318161,28.32432981286756
2050,29.01866188062435,27.459739614689962
2051,27.579163702889986,29.165513009461346
2052,27.37846350254231,28.11656711214855
2053,29.206406682162317,28.717712579843322
2054,30.353870968306165,27.666028467344184
2055,31.42527870913753,27.09273398981433
2056,28.09054409259528,29.27533090012239
2057,30.25078639367711,27.97681838481493
2058,27.14387227816695,28.82992453842685
2059,30.46795329245413,29.634381236797253
2060,31.525024057778865,27.374495833724946
2061,32.14232699012966,27.47202916335873
2062,31.120638553642674,27.49481270975438
2063,31.262786336540287,29.18833645698905
2064,27.950628279271232,27.013590094410148
2065,29.26125328197401,29.127464786239084
2066,28.969344081421127,29.42287531112861
2067,30.512824609255482,30.61073699964366
2068,29.09184055678833,29.80565684608512
2069,30.503719669687772,29.25560727179016
2070,31.069617474865442,29.572334976472806
2071,31.11745643836237,30.326483828801226
2072,30.976705195086204,30.834108524453125
2073,27.695056540904325,28.403516103224536
2074,30.570930632790823,28.116684321723927
2075,29.433863085364518,28.95076761063509
2076,29.116811183984016,29.52663321736086
2077,29.764137224375247,30.238419536565022
2078,31.42540340017517,28.208960677211252
2079,31.78309211071911,28.232991133983198
2080,30.321259274324554,28.33043717989064
2081,28.720600424274824,29.27629351493289
2082,29.549122492907706,29.712385456117506
2083,30.568369478877912,30.083667983583823
2084,29.318451554755416,30.029404937828218
2085,30.819070785315013,31.15159933828608
2086,31.099882483518872,32.61272642340766
2087,31.92213508677975,31.62166709340398
2088,29.29291732406965,28.82517131607241
2089,29.78105779818157,29.928801714848
2090,29.77065357800177,30.552825494127024
2091,28.681931239685163,29.510031852610865
2092,30.147230486925825,31.717315094548802
2093,31.095416050550977,30.194179156414084
2094,28.83945342752249,27.999342573852324
2095,29.58910342721323,27.94841875408444
2096,30.449446648649165,31.754672529422606
2097,31.108867719690448,30.95293160185177
2098,29.096878074708577,31.044073268896664
2099,30.84929339901565,29.570841177842016
