Year,rcp45_tmax,rcp45_tmin,rcp85_tmax,rcp85_tmin
1961,7.269921573203709,-2.613569968452228,7.269921573203709,-2.613569968452228
1962,8.227557421774401,-2.0229634283253928,8.227557421774401,-2.0229634283253928
1963,7.785080297933298,-2.632489577968066,7.785080297933298,-2.632489577968066
1964,5.910816680884626,-4.0017436280743,5.910816680884626,-4.0017436280743
1965,7.612717393928663,-2.8861267262747874,7.612717393928663,-2.8861267262747874
1966,5.899811679114088,-4.760578463011846,5.899811679114088,-4.760578463011846
1967,7.874617221703581,-3.0218475365374715,7.874617221703581,-3.0218475365374715
1968,6.488323501480813,-4.850608823718773,6.488323501480813,-4.850608823718773
1969,4.406082000064383,-5.776376492885658,4.406082000064383,-5.776376492885658
1970,6.45550566974633,-3.959422482616533,6.45550566974633,-3.959422482616533
1971,7.506042464750192,-3.0368246804983263,7.506042464750192,-3.0368246804983263
1972,5.213995702420808,-5.152323630247231,5.213995702420808,-5.152323630247231
1973,7.036392608807622,-3.2679131188835955,7.036392608807622,-3.2679131188835955
1974,6.707789764679371,-4.401856851983003,6.707789764679371,-4.401856851983003
1975,8.26225494141128,-2.9260817888069792,8.26225494141128,-2.9260817888069792
1976,6.08152674719933,-4.959797716005665,6.08152674719933,-4.959797716005665
1977,7.106955599729591,-3.3748747545390163,7.106955599729591,-3.3748747545390163
1978,7.194905075006439,-3.1507590679725728,7.194905075006439,-3.1507590679725728
1979,6.632843182622973,-3.7510995444887967,6.632843182622973,-3.7510995444887967
1980,6.730519552375741,-4.134197241984291,6.730519552375741,-4.134197241984291
1981,8.306451499323977,-2.464553019572496,8.306451499323977,-2.464553019572496
1982,8.052990901847798,-2.7924526783414887,8.052990901847798,-2.7924526783414887
1983,8.946311445724955,-1.2526094061856168,8.946311445724955,-1.2526094061856168
1984,5.900988684651043,-4.717867748841101,5.900988684651043,-4.717867748841101
1985,6.3387321336595415,-4.099855841971413,6.3387321336595415,-4.099855841971413
1986,6.283521520087563,-3.9806390134078034,6.283521520087563,-3.9806390134078034
1987,6.559856264486222,-3.9383804906805295,6.559856264486222,-3.9383804906805295
1988,8.304585895248518,-3.021287704416688,8.304585895248518,-3.021287704416688
1989,8.176753034058718,-2.6290714834696107,8.176753034058718,-2.6290714834696107
1990,8.118132122392481,-1.9750801772147824,8.118132122392481,-1.9750801772147824
