Year,rcp45_prec,rcp85_prec
1961,24.72869394618834,24.72869394618834
1962,20.41849915919283,20.41849915919283
1963,28.584506726457402,28.584506726457402
1964,26.181726457399105,26.181726457399105
1965,21.45404988789237,21.45404988789237
1966,19.13772701793722,19.13772701793722
1967,22.432432735426,22.432432735426
1968,20.601698430493272,20.601698430493272
1969,22.13896020179372,22.13896020179372
1970,24.357127242152465,24.357127242152465
1971,19.65913957399103,19.65913957399103
1972,13.194105941704034,13.194105941704034
1973,26.709246076233182,26.709246076233182
1974,20.863911154708518,20.863911154708518
1975,14.519223654708519,14.519223654708519
1976,20.797040358744393,20.797040358744393
1977,22.50332819506727,22.50332819506727
1978,24.10778587443945,24.10778587443945
1979,18.9595894058296,18.9595894058296
1980,22.75444366591929,22.75444366591929
1981,21.122497197309414,21.122497197309414
1982,22.40301008968611,22.40301008968611
1983,24.30479260089686,24.30479260089686
1984,16.192059977578474,16.192059977578474
1985,21.957575672645746,21.957575672645746
1986,20.07506025784753,20.07506025784753
1987,24.472494394618835,24.472494394618835
1988,20.02735846412556,20.02735846412556
1989,26.71186659192825,26.71186659192825
1990,28.48188901345292,28.48188901345292
1991,19.236233183856505,19.236233183856505
1992,24.45288677130045,24.45288677130045
1993,27.04083800448431,27.04083800448431
1994,21.0888326793722,21.0888326793722
1995,19.485249439461885,19.485249439461885
1996,15.608803251121076,15.608803251121076
1997,26.62411434977579,26.62411434977579
1998,18.051132286995514,18.051132286995514
1999,23.03396580717489,23.03396580717489
2000,27.372732623318385,27.372732623318385
2001,25.84839405829597,25.84839405829597
2002,22.363695347533632,22.363695347533632
2003,25.442948430493274,25.442948430493274
2004,26.28570908071749,26.28570908071749
2005,19.181974495515696,19.181974495515696
2006,22.321740470852017,22.321740470852017
2007,23.00793721973094,23.00793721973094
2008,20.92286855381166,20.92286855381166
2009,20.64778167040359,20.64778167040359
2010,18.860200392376683,18.860200392376683
2011,23.972539237668162,23.972539237668162
2012,18.750634809417036,18.750634809417036
2013,26.43351457399104,26.43351457399104
2014,18.69977158071749,18.69977158071749
2015,21.573759809417037,21.573759809417037
2016,29.579335762331837,29.579335762331837
2017,21.043895739910315,21.043895739910315
2018,17.506863789237663,17.506863789237663
2019,26.699423926062156,26.699423926062156
2020,28.683238799369224,28.683238799369224
2021,29.009968859560214,28.752249528581643
2022,30.71282243549132,28.28534932619536
2023,26.921452466454802,26.604175133732546
2024,26.2403778981278,28.068775543813768
2025,28.37158020594036,29.386059401621214
2026,28.481936435119827,26.475541868207262
2027,26.24373369572497,26.268756181465374
2028,27.456780471043402,26.96615059018776
2029,30.20500520035957,28.858831014436163
2030,27.445498558818823,26.945336604712683
2031,29.01268565912817,29.313909753281802
2032,26.85928557540637,30.47279827179222
2033,28.593767437896556,26.875717557839984
2034,29.16356959775053,27.617930695883626
2035,29.68524166432385,28.60932344289938
2036,30.42728129959135,28.37060689768392
2037,30.47194133734905,27.65929629678205
2038,27.91483837950873,26.669773994328665
2039,30.29615551857459,26.88200385964404
2040,31.035700522463088,27.92668100192451
2041,28.210624642751426,27.24251723782709
2042,29.72250667522018,26.00472727392011
2043,28.274693716674925,28.894432937746487
2044,28.4898752450723,28.465741432087768
2045,27.441833841644602,26.618601254802908
2046,28.954088270315818,25.571677039982585
2047,28.512261334970283,28.665599703108875
2048,29.34047895279493,25.359635488655954
2049,29.69318047427633,27.043052521883588
2050,28.80687751241773,27.547414512705
2051,29.306366614294443,28.227979152141128
2052,28.765613474119977,27.13094225743956
2053,30.62902059461237,30.466241136386383
2054,29.804429607986712,26.00657655960733
2055,28.46988433984016,27.174009031899228
2056,30.030816876658157,29.409423031550652
2057,29.134133370655945,30.34859567472123
2058,27.481428444693822,27.036776799517106
2059,28.98782186495131,30.00583247689301
2060,28.60373961574997,27.04103819697028
2061,29.798424719222016,30.64442848748923
2062,29.678830525156478,29.31334481131557
2063,29.47837980563147,30.368696606104088
2064,27.648839580687927,26.519749106036983
2065,29.699062641565213,29.121996639875725
2066,28.071284986405363,27.42990869961577
2067,29.59949320693205,28.095139502238045
2068,29.75676289407162,29.110363490323824
2069,29.815887138874945,26.901417127584864
2070,29.82169525010084,31.79093906404283
2071,28.49902434268279,27.639601615801872
2072,29.501146755281958,27.66086628531743
2073,28.91983839912693,28.91719142384693
2074,29.380812000586534,27.867757766435016
2075,30.16710542320905,27.40293113381245
2076,31.1306467428782,30.26225688471301
2077,30.731636907265692,32.503965649718545
2078,31.1323711912021,29.5342371201132
2079,30.50418746306221,30.87496924335063
2080,31.49956865804183,28.18215326036321
2081,33.58073022614862,31.70402898440584
2082,30.743041540966072,29.075605806131566
2083,29.286060441822706,31.122762946001085
2084,29.46997126865089,32.75730297765564
2085,29.261941440050784,31.316578242282237
2086,29.962289627742692,30.179601854866647
2087,27.855428489891025,33.41298054815226
2088,30.369451977946586,30.474088963175763
2089,29.55376676186729,30.60736237001921
2090,30.730278507481714,30.47467929579216
2091,28.763525093143677,30.71455746325279
2092,28.931854524318858,33.05078927117062
2093,28.9679727241826,29.71779882550157
2094,28.717297182738104,29.20610316855668
2095,29.817554458235964,29.338219184929986
2096,27.986518300820045,28.34993044489725
2097,29.48726864907773,30.39300603775229
2098,31.63369053577839,29.29116607839396
2099,28.57381038686463,28.78259981908225
