Year,rcp45_prec,rcp85_prec
1961,16.572099169134585,16.572099169134585
1962,20.66633418339366,20.66633418339366
1963,21.389968602610512,21.389968602610512
1964,19.98999808050894,19.98999808050894
1965,18.76923604255786,18.76923604255786
1966,23.657290295601626,23.657290295601626
1967,20.665751480750245,20.665751480750245
1968,21.19824229461445,21.19824229461445
1969,27.070112838653067,27.070112838653067
1970,19.536996476362837,19.536996476362837
1971,17.019465695952615,17.019465695952615
1972,22.62378317977405,22.62378317977405
1973,17.861546424262368,17.861546424262368
1974,15.625490155752988,15.625490155752988
1975,14.936314028737526,14.936314028737526
1976,19.85915734342437,19.85915734342437
1977,19.008870790830322,19.008870790830322
1978,24.347493007568282,24.347493007568282
1979,21.065692867719644,21.065692867719644
1980,19.891430500712953,19.891430500712953
1981,22.47816921684765,22.47816921684765
1982,16.99194499287046,16.99194499287046
1983,18.161547452561148,18.161547452561148
1984,16.54532055500713,16.54532055500713
1985,19.13844843424372,19.13844843424372
1986,17.512118501151694,17.512118501151694
1987,25.6336994076999,25.6336994076999
1988,21.501986330481518,21.501986330481518
1989,17.550914500383893,17.550914500383893
1990,20.691601198310853,20.691601198310853
1991,17.036096714928156,17.036096714928156
1992,18.842210979488872,18.842210979488872
1993,25.76862249095097,25.76862249095097
1994,20.236015136558077,20.236015136558077
1995,12.895330323845565,12.895330323845565
1996,17.108466669408795,17.108466669408795
1997,16.90080344411539,16.90080344411539
1998,24.010529779532746,24.010529779532746
1999,21.995146429746622,21.995146429746622
2000,18.091443183064605,18.091443183064605
2001,18.809502509049032,18.809502509049032
2002,26.545868981024466,26.545868981024466
2003,27.11426798837337,27.11426798837337
2004,21.437352610507844,21.437352610507844
2005,18.881066962816718,18.881066962816718
2006,20.40140671273445,20.40140671273445
2007,18.524960239113746,18.524960239113746
2008,17.553915418997473,17.553915418997473
2009,20.985298755072943,20.985298755072943
2010,22.48780609027092,22.48780609027092
2011,22.23271086980366,22.23271086980366
2012,16.077340065262696,16.077340065262696
2013,20.379058352528247,20.379058352528247
2014,19.66132465449161,19.66132465449161
2015,21.72331393276297,21.72331393276297
2016,26.90604091258089,26.90604091258089
2017,21.445220810025226,21.445220810025226
2018,19.366149775145328,19.366149775145328
2019,24.13772667857689,24.13772667857689
2020,25.73141748637711,25.73141748637711
2021,27.06162479432281,25.78784204852836
2022,28.317590209643672,28.546775412957594
2023,27.094126624204605,24.35523355618649
2024,25.857694875848665,26.00025419839048
2025,25.214451248542773,26.616566334878932
2026,26.44856180688489,26.537307259829998
2027,26.673562147579236,25.49218240915032
2028,24.376571444342552,26.43208859535025
2029,27.46294510652399,26.87901072739988
2030,26.304379202239875,26.037605195828995
2031,27.05302501795757,25.92922268215445
2032,23.36674780971948,25.60433879523041
2033,28.19645407511365,26.38739405578558
2034,26.033205791148003,26.12373737137545
2035,26.937940003497,23.516500753428865
2036,26.106816981809178,27.11289000762373
2037,30.021762424538515,25.931843714085442
2038,25.200405205630588,26.23085331143443
2039,26.500390516202522,25.38589878889585
2040,26.56667625864635,24.502150925903486
2041,26.95501289886595,27.99118901922505
2042,27.94897076032102,26.33697667135386
2043,25.322890628787807,28.29719837443311
2044,26.50303222688641,27.14784485456913
2045,27.521698613221396,27.237102106648678
2046,25.90170443172328,25.34885280306272
2047,24.073950819767155,26.85171735840657
2048,25.82153549154642,26.55072518562261
2049,26.739162906333018,26.95972765452878
2050,26.526275145154038,25.15457850434427
2051,27.475897760376192,25.63632882597775
2052,28.529190718454185,26.862152374092336
2053,30.28766016879495,27.504013109797558
2054,28.11683053704472,26.182361635867192
2055,27.254694555684427,28.01049521990799
2056,27.37638901654293,27.16134549537337
2057,26.810478755421514,24.403944943503376
2058,26.834706499296328,24.830648424898058
2059,25.61103354148409,25.602764625165356
2060,27.822468489411612,26.1011070611627
2061,27.52155127710693,24.865174187720648
2062,27.032173080494818,23.88369595364503
2063,25.834643236045434,29.08190535037674
2064,25.752365063072038,25.829558847674395
2065,27.600510510238728,28.476092850676885
2066,25.601560087808515,26.21232256398552
2067,28.66101259854896,27.924435419996705
2068,25.767483816291275,29.4254363027348
2069,29.564565537138144,26.765543825354296
2070,28.785664121073193,28.799567997559127
2071,27.490845913883945,26.27032129620181
2072,28.042105278570666,25.805594757899126
2073,26.04068633001216,28.94960268927688
2074,28.459379248639692,25.443155670851606
2075,25.01976595961029,24.757869554041385
2076,26.73133858320178,25.12870679961332
2077,28.48927814049929,28.606650742000213
2078,29.404152696305125,26.154150647213626
2079,26.621565423394237,26.77429610752225
2080,28.74159769862809,29.135465905250346
2081,31.048216946187143,29.499884982888734
2082,29.161244555593203,27.49737523011437
2083,28.804264659313173,29.004920938147567
2084,28.061483854888763,28.11191157869693
2085,27.255914602105946,26.65977200423429
2086,28.246788744533745,27.42292396511633
2087,27.851478194896213,29.594658292306253
2088,28.18079508947472,27.445797250675746
2089,28.83442979011645,26.421123686621236
2090,28.024921234904827,25.43237428605465
2091,27.87313143403409,25.553143372720555
2092,27.5333769389257,29.58335476899839
2093,26.23681396195991,25.30735830051043
2094,25.49309227427824,26.647548276422054
2095,27.01142453679663,25.49357305528332
2096,28.75633906460677,25.46634430739285
2097,25.72282804938831,27.96004681734691
2098,28.29950664022637,27.79772119186999
2099,28.293109151045734,28.52719004911043
