Year,rcp45_tmax,rcp45_tmin,rcp85_tmax,rcp85_tmin
1961,5.4714863774152205,-9.366682275236592,5.4714863774152205,-9.366682275236592
1962,4.963369664333597,-9.31098894666798,4.963369664333597,-9.31098894666798
1963,6.049876312352129,-8.295771361149447,6.049876312352129,-8.295771361149447
1964,4.4700523400532335,-9.692030079357256,4.4700523400532335,-9.692030079357256
1965,5.896800910636832,-9.139479002365931,5.896800910636832,-9.139479002365931
1966,4.755105773733241,-9.916681042981073,4.755105773733241,-9.916681042981073
1967,4.9129734941837535,-9.557113503055994,4.9129734941837535,-9.557113503055994
1968,4.74052703568612,-9.584794583004733,4.74052703568612,-9.584794583004733
1969,3.9192760960912856,-10.50263779697358,3.9192760960912856,-10.50263779697358
1970,4.273851845918768,-10.218425762766168,4.273851845918768,-10.218425762766168
1971,4.684368915738368,-9.970654604938881,4.684368915738368,-9.970654604938881
1972,5.515601125049289,-9.23945266290418,5.515601125049289,-9.23945266290418
1973,5.758464825266168,-8.50637307152011,5.758464825266168,-8.50637307152011
1974,4.667220154771293,-10.019411105086752,4.667220154771293,-10.019411105086752
1975,5.984783569721018,-8.676666933655362,5.984783569721018,-8.676666933655362
1976,4.597285033024448,-9.744558821717273,4.597285033024448,-9.744558821717273
1977,5.435852628401025,-9.525662491374213,5.435852628401025,-9.525662491374213
1978,5.877848435651616,-9.330086596756702,5.877848435651616,-9.330086596756702
1979,5.734860200611199,-9.107494270011827,5.734860200611199,-9.107494270011827
1980,4.90788466396392,-9.620754879731859,4.90788466396392,-9.620754879731859
1981,5.22360816738959,-9.177360847545348,5.22360816738959,-9.177360847545348
1982,5.828681055303629,-8.67324280362776,5.828681055303629,-8.67324280362776
1983,5.405257264146293,-9.014971904574134,5.405257264146293,-9.014971904574134
1984,4.278689989156152,-9.862952391807966,4.278689989156152,-9.862952391807966
1985,4.2017109867902205,-9.812543128943217,4.2017109867902205,-9.812543128943217
1986,5.2589469452385655,-9.295404765132098,5.2589469452385655,-9.295404765132098
1987,4.552569560824132,-9.790664432176657,4.552569560824132,-9.790664432176657
1988,5.160495505347988,-9.217646361149447,5.160495505347988,-9.217646361149447
1989,6.267424093059938,-8.370640125936514,6.267424093059938,-8.370640125936514
1990,5.662160975699921,-8.521395806634464,5.662160975699921,-8.521395806634464
1991,4.995388668794361,-8.956623065358832,4.995388668794361,-8.956623065358832
1992,5.735694283566638,-8.405821791206625,5.735694283566638,-8.405821791206625
1993,5.227031527257492,-8.714256888308357,5.227031527257492,-8.714256888308357
1994,5.864967129583992,-8.075715940457414,5.864967129583992,-8.075715940457414
1995,6.281818377858832,-7.8600743050078865,6.281818377858832,-7.8600743050078865
1996,5.156083645504731,-9.192036240634858,5.156083645504731,-9.192036240634858
1997,6.424349138037263,-8.108430784207414,6.424349138037263,-8.108430784207414
1998,6.7399910045347005,-7.356479199526813,6.7399910045347005,-7.356479199526813
1999,6.479699360459385,-7.7907091014392735,6.479699360459385,-7.7907091014392735
2000,5.443881543276813,-8.560904229100947,5.443881543276813,-8.560904229100947
2001,5.515688153095425,-8.3518089511041,5.515688153095425,-8.3518089511041
2002,6.1236121722200325,-7.826427568020505,6.1236121722200325,-7.826427568020505
2003,5.168425454702287,-8.324244935429808,5.168425454702287,-8.324244935429808
2004,6.450609658418768,-7.703949070879338,6.450609658418768,-7.703949070879338
2005,5.4709892393286665,-8.83367169016167,5.4709892393286665,-8.83367169016167
2006,6.297035963377367,-8.083667839363171,6.297035963377367,-8.083667839363171
2007,8.147332320830047,-6.31769780781743,8.147332320830047,-6.31769780781743
2008,6.847955842123422,-7.620938947900237,6.847955842123422,-7.620938947900237
2009,6.067489094538644,-8.643107224714116,6.067489094538644,-8.643107224714116
2010,4.645651062204259,-9.394083787214116,4.645651062204259,-9.394083787214116
2011,5.426412780954259,-8.822375757837143,5.426412780954259,-8.822375757837143
2012,4.092679863096412,-9.902332967764195,4.092679863096412,-9.902332967764195
2013,5.7495871944006325,-8.283346374704259,5.7495871944006325,-8.283346374704259
2014,6.69731414506112,-7.810486802543376,6.69731414506112,-7.810486802543376
2015,7.176814034158123,-7.60461310257295,7.176814034158123,-7.60461310257295
2016,5.6578126540319404,-8.178044749359227,5.6578126540319404,-8.178044749359227
2017,6.9864274756013405,-7.445933248718454,6.9864274756013405,-7.445933248718454
2018,6.597874205195189,-7.641458312795741,6.597874205195189,-7.641458312795741
2019,6.2986675941780845,-7.388564854452058,6.2986675941780845,-7.388564854452058
2020,6.250321061643858,-7.459265303938366,6.250321061643858,-7.459265303938366
2021,6.2246361301370134,-7.447131849315043,6.539383561643831,-7.051262842465746
2022,6.268541309931492,-7.383748929794535,6.3644852311643945,-7.429821275684957
2023,6.062018407534254,-7.6338827054794365,6.488709332191775,-7.257063356164394
2024,6.423828125,-7.321784032534254,6.416523972602763,-7.1836205051370134
