Year,rcp45_prec,rcp85_prec
1961,40.46985778808594,40.46985778808594
1962,44.19898376464844,44.19898376464844
1963,50.760601806640615,50.760601806640615
1964,54.87484130859375,54.87484130859375
1965,37.02442016601562,37.02442016601562
1966,47.37929077148439,47.37929077148439
1967,51.7342529296875,51.7342529296875
1968,46.928955078125,46.928955078125
1969,67.75181274414062,67.75181274414062
1970,37.00220947265625,37.00220947265625
1971,29.925360107421874,29.925360107421874
1972,51.921435546875,51.921435546875
1973,47.89188232421875,47.89188232421875
1974,38.97106323242188,38.97106323242188
1975,42.74774169921875,42.74774169921875
1976,51.95425415039063,51.95425415039063
1977,41.512042236328135,41.512042236328135
1978,47.56092834472656,47.56092834472656
1979,44.60262756347656,44.60262756347656
1980,44.35323791503906,44.35323791503906
1981,51.69830322265625,51.69830322265625
1982,46.070947265625,46.070947265625
1983,41.3466064453125,41.3466064453125
1984,49.54207763671875,49.54207763671875
1985,41.04040832519532,41.04040832519532
1986,39.6942626953125,39.6942626953125
1987,52.99193725585938,52.99193725585938
1988,45.52241516113281,45.52241516113281
1989,43.76065979003904,43.76065979003904
1990,41.77574462890625,41.77574462890625
1991,56.91566162109375,56.91566162109375
1992,55.812445068359395,55.812445068359395
1993,64.29429931640625,64.29429931640625
1994,48.14303588867188,48.14303588867188
1995,36.99200439453125,36.99200439453125
1996,41.978030395507815,41.978030395507815
1997,52.52071533203125,52.52071533203125
1998,67.32583618164061,67.32583618164061
1999,47.30414123535157,47.30414123535157
2000,40.329888916015626,40.329888916015626
2001,35.624029541015624,35.624029541015624
2002,61.5522216796875,61.5522216796875
2003,57.308349609375,57.308349609375
2004,52.98577880859375,52.98577880859375
2005,46.81305236816407,46.81305236816407
2006,47.44505615234375,47.44505615234375
2007,49.0871826171875,49.0871826171875
2008,41.06365966796875,41.06365966796875
2009,65.44070434570311,65.44070434570311
2010,46.12984619140625,46.12984619140625
2011,48.3186767578125,48.3186767578125
2012,55.79513549804688,55.79513549804688
2013,51.01875305175781,51.01875305175781
2014,53.22732543945313,53.22732543945313
2015,55.3466552734375,55.3466552734375
2016,51.64954833984375,51.64954833984375
2017,40.43923950195313,40.43923950195313
2018,41.64839477539064,41.64839477539064
2019,54.09825684198076,54.09825684198076
2020,54.07753769331157,54.07753769331157
2021,60.521990813255975,59.76248577460355
2022,57.90326721874881,63.565515792238514
2023,58.35300964795825,55.02408908712678
2024,58.79616810057159,57.2435378393755
2025,58.595015274192704,59.67208381522104
2026,56.24975344519335,55.71960843518063
2027,55.02044981845904,59.97449900527173
2028,53.59397130412616,53.96377610641575
2029,59.00673480804689,57.399521257005844
2030,61.153306344198064,62.97198780962426
2031,57.03663910142495,53.683374473685035
2032,54.00574823969437,58.25084607737664
2033,58.90711987356699,57.985856804855565
2034,54.67918514837147,57.38643366621327
2035,55.833918208445176,49.56959453712624
2036,51.244886520974255,58.1251248433684
2037,63.908060520548325,55.07370712871053
2038,52.69930818968351,53.94991933265555
2039,53.05645017386414,58.53684437722258
2040,55.54386160741925,50.86285515360214
2041,60.11245254453388,64.17059299971007
2042,60.91604209954021,56.36173270886938
2043,57.19934425976498,63.88169017313557
2044,63.911286496875256,62.580743467154754
2045,55.18707551386542,59.20245743228115
2046,58.066207724116246,54.16178905903872
2047,50.88354273132863,55.93493948491814
2048,52.516173761329995,62.59644857610582
2049,50.951954094076775,58.190333190475215
2050,56.52187201059351,57.845153723492686
2051,62.922077019299095,57.21934875709485
2052,60.55817111359174,59.73566195365019
2053,62.4292660840736,55.798874462046655
2054,57.902004381040754,53.12546425460933
2055,51.73176785914328,60.27707492012159
2056,57.61209128429982,61.91907390984816
2057,54.77169375065786,53.52142127779843
2058,51.37893674368424,58.64480552091845
2059,54.74748170769162,53.54343483511839
2060,61.78665389581583,58.3545135728651
2061,58.147603354571764,53.76010908496355
2062,53.461981802948856,53.9691948282176
2063,56.240695454723756,64.44055326066373
2064,58.374305683853166,55.11171854372297
2065,54.14041266074419,60.31958088934043
2066,54.91163912939592,53.35218380440492
2067,59.17084056820859,66.0665371721836
2068,49.08693222493639,63.03961850906197
2069,58.79907262730012,56.02097317386506
2070,62.153439367948884,59.10691801949542
2071,56.09590537132389,55.81314452814768
2072,60.05953964456639,64.11166440011512
2073,53.04970547246885,60.74648317654828
2074,53.564753831698894,59.72210366880282
2075,47.6455235247915,50.37238046813654
2076,55.373378516831856,56.37463661417714
2077,55.738556740972854,58.485314858562575
2078,56.62081534501958,55.78031648790966
2079,51.15688969340845,56.81168178424923
2080,62.96100112156419,58.72570749663355
2081,62.4410219551013,59.45418116869622
2082,58.76476362284085,55.88813412732053
2083,57.35395003625926,58.693941388104584
2084,58.07307296911095,55.545262209240896
2085,56.36468315696912,55.05740504193382
2086,52.499538744612074,54.64678762098846
2087,58.82139041370429,59.005070158340814
2088,54.47554682777627,60.38896808122664
2089,64.00714735925939,58.056323148965035
2090,51.84833351976813,54.17973283483589
2091,58.84358191633764,57.96136923366212
2092,54.35105399044768,54.26222483802885
2093,53.11378300580982,53.493346099479815
2094,51.87350417135822,48.92536362053361
2095,57.71730862606637,50.369349657637216
2096,51.907853357017295,57.77488254521086
2097,55.013751038434926,54.475707552575464
2098,58.864108769264924,61.86668910564949
2099,58.84179672303217,59.03598098133116
