Year,rcp45_prec,rcp85_prec
1961,23.09213951935915,23.09213951935915
1962,29.560169809746327,29.560169809746327
1963,24.284158044058746,24.284158044058746
1964,32.39917807076102,32.39917807076102
1965,37.79017857142857,37.79017857142857
1966,40.6142523364486,40.6142523364486
1967,31.152549232309745,31.152549232309745
1968,35.76537883845127,35.76537883845127
1969,45.88043224299066,45.88043224299066
1970,28.132328521361817,28.132328521361817
1971,20.3735856141522,20.3735856141522
1972,34.25624582777036,34.25624582777036
1973,29.437360230307075,29.437360230307075
1974,32.73258094125501,32.73258094125501
1975,28.374390854472622,28.374390854472622
1976,30.5338367823765,30.5338367823765
1977,35.521003004005344,35.521003004005344
1978,27.92862566755673,27.92862566755673
1979,27.94045185246996,27.94045185246996
1980,32.14140937917223,32.14140937917223
1981,35.66919642857143,35.66919642857143
1982,28.578273114152204,28.578273114152204
1983,24.63363234312417,24.63363234312417
1984,31.273364485981308,31.273364485981308
1985,30.84594459279039,30.84594459279039
1986,33.976944259012015,33.976944259012015
1987,45.65447263017357,45.65447263017357
1988,32.346128170894524,32.346128170894524
1989,28.305146445260352,28.305146445260352
1990,32.04178487983979,32.04178487983979
1991,38.28393691588785,38.28393691588785
1992,29.346718541388523,29.346718541388523
1993,34.692431575433915,34.692431575433915
1994,28.32920352136182,28.32920352136182
1995,28.861131508678238,28.861131508678238
1996,34.47592832109479,34.47592832109479
1997,25.11672021028037,25.11672021028037
1998,40.651193257676894,40.651193257676894
1999,38.368049065420564,38.368049065420564
2000,28.997221295060076,28.997221295060076
2001,28.62525450600801,28.62525450600801
2002,34.37820218624832,34.37820218624832
2003,41.89546895861148,41.89546895861148
2004,36.781329272363145,36.781329272363145
2005,34.911181575433915,34.911181575433915
2006,33.02246328437917,33.02246328437917
2007,29.53780457276369,29.53780457276369
2008,30.12676902536716,30.12676902536716
2009,33.21849132176235,33.21849132176235
2010,37.31447763684913,37.31447763684913
2011,30.816033878504683,30.816033878504683
2012,31.460472296395192,31.460472296395192
2013,30.450287883845128,30.450287883845128
2014,30.685726802403213,30.685726802403213
2015,35.4275867823765,35.4275867823765
2016,40.97405707610147,40.97405707610147
2017,33.90100550734312,33.90100550734312
2018,30.906800734312416,30.906800734312416
2019,49.02320805679083,49.02320805679083
2020,47.47440952775648,47.47440952775648
2021,53.99898822100854,52.816217668885
2022,50.18858997662246,54.66230168776324
2023,50.46553693508154,52.066727795808184
2024,53.299189078019616,52.73233996635575
2025,49.65346984842576,54.85638599631899
2026,54.55308827169074,50.903717975882365
2027,52.9254310849575,55.6676660267848
2028,52.70284409866561,52.08328096170797
2029,52.19200715252003,53.65658129951288
2030,52.61552458692474,52.69279976252716
2031,55.21811951981239,51.97284948248437
2032,53.75022224668418,50.430669096571094
2033,51.61928010534231,52.226953072001706
2034,50.788917085508956,54.37298358022319
2035,53.57231631536634,50.34664772505477
2036,51.99815084040026,50.01160540076509
2037,60.05760310227835,49.21367409313999
2038,51.98807214863447,54.06101574455007
2039,48.204921039967225,52.013879471243925
2040,53.82158825438425,49.14876069690197
2041,53.805372398280156,59.15641127182696
2042,57.426155688903435,52.88326111401805
2043,54.77966051075398,60.93254098696485
2044,60.01209751224813,56.264260865246754
2045,50.1307913184825,52.792918307071325
2046,52.725393883155526,52.910908024309556
2047,52.03501442853522,55.87606101574676
2048,54.2882875891155,56.68515477901826
2049,55.544591676700364,59.66995294281578
2050,53.83721694158476,58.53047048113963
2051,58.979767129004145,55.77772896382422
2052,61.00482522688655,57.92408741212486
2053,59.1706095156346,60.37885320381075
2054,57.45468335255038,59.09762567021072
2055,51.70884834905447,56.199472398562676
2056,56.731035157710345,62.02436907028267
2057,56.40180830415754,54.44501796103697
2058,53.44753043039264,61.27825854164049
2059,58.09933859042103,55.193583355414496
2060,60.892001346704596,60.545584186526774
2061,60.033685339172536,56.53865613756616
2062,54.96314454665615,56.83175336411351
2063,57.590862812845316,60.26803444296986
2064,59.66318176099111,56.87652811625306
2065,52.88493517004111,60.07282576842845
2066,57.520340079634465,63.16779305938627
2067,58.99979333650403,63.419651040171175
2068,52.01105294008556,62.46024828405177
2069,59.04872824279047,59.063432451291646
2070,64.61421494218861,64.63884480375201
2071,53.6832787451943,66.4913439552261
2072,53.77007979928624,66.47276693055214
2073,56.0128401379007,68.12312381724004
2074,52.93734311792765,60.53550237152215
2075,51.86156223581611,61.29166972925818
2076,57.63465062150856,62.712424835199286
2077,55.51870002664198,63.01164360989071
2078,58.03042744845628,61.343271881521645
2079,52.969025252812116,65.25117451953528
2080,59.88092148058932,65.18665465139225
2081,63.89487681696024,62.196290875965786
2082,59.55241921844949,67.52777202784003
2083,60.259308113625686,66.52737363858839
2084,61.47697149017048,65.03204808188809
2085,58.00838987513757,61.46550295711688
2086,57.99938245429703,63.37703132283746
2087,59.66436859175373,67.05536965897048
2088,52.19662329953889,60.17860362176703
2089,61.66019317400934,70.79874632089545
2090,50.25455278111374,62.45853050268482
2091,58.157205959815656,65.69861596352347
2092,51.73044866893429,68.49493290926037
2093,54.47254618825222,60.136427404349874
2094,57.0068921058111,62.72025167175492
2095,58.98630719115396,66.35577040326788
2096,60.03077448056526,63.87592500362439
2097,58.91494118345389,69.96231172473965
2098,59.53970763633398,70.56704572364212
2099,60.66119399576208,68.97605536099638
