Year,rcp45_prec,rcp85_prec
1961,39.703514234875435,39.703514234875435
1962,43.65542148576513,43.65542148576513
1963,45.40125667259787,45.40125667259787
1964,47.869584074733105,47.869584074733105
1965,37.477368772241995,37.477368772241995
1966,43.73536754893239,43.73536754893239
1967,48.32659030249111,48.32659030249111
1968,46.26145740658363,46.26145740658363
1969,65.90594973309608,65.90594973309608
1970,34.125461521352314,34.125461521352314
1971,27.684311054270463,27.684311054270463
1972,46.71072064056939,46.71072064056939
1973,42.6765346975089,42.6765346975089
1974,34.040519350533806,34.040519350533806
1975,44.669506227758006,44.669506227758006
1976,48.41423487544484,48.41423487544484
1977,41.328230649466185,41.328230649466185
1978,42.38326290035587,42.38326290035587
1979,40.868516459074726,40.868516459074726
1980,36.930110097864784,36.930110097864784
1981,48.762516681494645,48.762516681494645
1982,42.92155249110321,42.92155249110321
1983,39.59104759786477,39.59104759786477
1984,45.84514012455516,45.84514012455516
1985,38.6420540480427,38.6420540480427
1986,38.756099866548034,38.756099866548034
1987,52.29366103202847,52.29366103202847
1988,41.93606539145907,41.93606539145907
1989,42.683282362099646,42.683282362099646
1990,39.5210131227758,39.5210131227758
1991,56.037661254448395,56.037661254448395
1992,45.92962355427046,45.92962355427046
1993,57.1619884341637,57.1619884341637
1994,45.039423932384345,45.039423932384345
1995,31.92586743772242,31.92586743772242
1996,38.742565613879,38.742565613879
1997,43.66766014234874,43.66766014234874
1998,62.00516014234876,62.00516014234876
1999,49.964690836298935,49.964690836298935
2000,37.31537477758007,37.31537477758007
2001,32.55934441725979,32.55934441725979
2002,51.88692170818506,51.88692170818506
2003,49.70785142348755,49.70785142348755
2004,46.713695507117436,46.713695507117436
2005,43.49211521352313,43.49211521352313
2006,43.832578959074716,43.832578959074716
2007,43.506697620106756,43.506697620106756
2008,36.20787366548043,36.20787366548043
2009,56.81288923487544,56.81288923487544
2010,41.76393738879003,41.76393738879003
2011,40.983602090747326,40.983602090747326
2012,49.08351868327402,49.08351868327402
2013,45.188189501779355,45.188189501779355
2014,47.35262455516014,47.35262455516014
2015,50.286232206405685,50.286232206405685
2016,50.847325400355864,50.847325400355864
2017,39.016133785587186,39.016133785587186
2018,41.17302602313167,41.17302602313167
2019,44.68317988746587,44.68317988746587
2020,43.07861475310595,43.07861475310595
2021,49.64747849472398,48.29735029539465
2022,48.8158597811732,52.57029032603864
2023,47.03052083934738,44.89116223857285
2024,48.0562457776671,46.99109668615088
2025,46.47710481366728,49.08472075010224
2026,45.97323978436897,47.946399758489285
2027,44.55911346286987,48.32224335229583
2028,44.87299941783505,45.006831612434766
2029,46.7738020057798,46.550574809065104
2030,48.9788381388709,49.19848819197289
2031,48.483017484175825,44.4291481101332
2032,43.88643832413905,46.309201585714035
2033,47.84930466085113,47.9975000107315
2034,44.558517272267764,47.335841802563785
2035,46.49967608604048,42.56494406781293
2036,43.27363835566757,45.273807443474034
2037,52.789612894162005,46.29778999376643
2038,42.79921338624296,45.33757464674861
2039,42.8386165468126,48.61452369572223
2040,45.272871172317174,41.66106873269539
2041,47.62881070415038,50.5363902854334
2042,49.448569156935164,45.20843640350922
2043,46.67500230684264,51.65086785148696
2044,51.076950426439616,48.89516152830581
2045,43.823452046582744,47.50627254278798
2046,44.61062097207271,43.29233858765237
2047,41.39862730905253,45.547165033071174
2048,42.59162149799509,48.13527462065086
2049,41.820881402266345,48.97426594474618
2050,45.55386587955697,48.61007745735854
2051,51.25467400522636,47.8289921951254
2052,50.61736724418748,49.919929202841864
2053,49.986937667699785,47.01763136647057
2054,46.53475896400745,43.657047692185536
2055,42.916444611541394,46.88830418958968
2056,47.519959735484534,50.627867756130435
2057,45.11183253333904,44.03059889114169
2058,42.2493325189219,47.49419758383238
2059,45.15907434076896,43.04166143208796
2060,50.72101623992357,47.70190703079051
2061,47.285169799909,43.84508284927372
2062,45.03689305406278,44.06817989170206
2063,46.616235547280205,51.62636105891957
2064,47.825645970407884,45.83401248467261
2065,44.49488022327953,50.65031307274264
2066,45.64922278769314,45.78062823463072
2067,49.36007263924873,51.66287143551134
2068,41.11458027387091,49.81725006646557
2069,48.71024587556533,44.86130652468784
2070,50.82526982331249,50.163603218094046
2071,44.3294499267675,46.182977119079396
2072,47.6385009006975,52.9999758091521
2073,43.545870740466356,51.027046753927
2074,43.37935302588425,46.6579269041749
2075,40.42346101320268,45.18913998092232
2076,44.47877467997159,45.786040133828834
2077,45.797665850570155,48.497619955402406
2078,46.1074792359293,46.22133064830729
2079,39.85995173254024,46.512641132373886
2080,52.05528241041623,49.28162739129099
2081,51.596803440335606,46.866144372702436
2082,48.72126700465382,46.42463164363003
2083,46.528284837891476,47.996190070816965
2084,49.56081253409759,46.077144890152454
2085,45.68387741607268,45.48946889747732
2086,45.06135366285113,46.15604777737522
2087,48.09109773673889,49.16380417391578
2088,43.49872969764525,46.57860836294082
2089,52.5505656538643,50.75231204800947
2090,42.45230602926601,46.044262039477815
2091,48.06355121180575,48.34152717930664
2092,44.879494536577866,45.60460086009226
2093,43.7875630517453,41.84008965582055
2094,42.98692525687788,43.02078636396304
2095,47.7962059105342,42.03542604852201
2096,42.678682120006,45.07893708708829
2097,44.47322422943637,46.681510021161564
2098,48.34564173416634,48.24095570266459
2099,48.728303733168964,50.029023685979006
