Year,rcp45_prec,rcp85_prec
1961,41.569994093325455,41.569994093325455
1962,50.208381017424685,50.208381017424685
1963,53.276709243945646,53.276709243945646
1964,58.75507143384525,58.75507143384525
1965,47.572670555227404,47.572670555227404
1966,57.321318480507976,57.321318480507976
1967,51.6351428676905,51.6351428676905
1968,55.73833431777909,55.73833431777909
1969,80.53233904311871,80.53233904311871
1970,47.727785366213816,47.727785366213816
1971,34.213069440342586,34.213069440342586
1972,58.498790977554634,58.498790977554634
1973,49.456567483756636,49.456567483756636
1974,45.5071156969876,45.5071156969876
1975,45.54501070584761,45.54501070584761
1976,52.82861414648553,52.82861414648553
1977,52.127953337271116,52.127953337271116
1978,51.64017738481984,51.64017738481984
1979,48.193965039870044,48.193965039870044
1980,50.62764415977554,50.62764415977554
1981,60.39387367099823,60.39387367099823
1982,50.948787285883036,50.948787285883036
1983,47.33037230507975,47.33037230507975
1984,56.03137920850561,56.03137920850561
1985,48.89689622711165,48.89689622711165
1986,48.38938829001772,48.38938829001772
1987,71.45124686207916,71.45124686207916
1988,55.622485048730056,55.622485048730056
1989,49.73317059214412,49.73317059214412
1990,51.565116472238635,51.565116472238635
1991,64.09626956585942,64.09626956585942
1992,55.68248394122859,55.68248394122859
1993,70.61839190785588,70.61839190785588
1994,52.07817576048435,52.07817576048435
1995,41.72858830478441,41.72858830478441
1996,48.82190453337271,48.82190453337271
1997,50.1078475708801,50.1078475708801
1998,78.60083800945068,78.60083800945068
1999,61.75443923508565,61.75443923508565
2000,48.16211052864738,48.16211052864738
2001,42.31272150029533,42.31272150029533
2002,68.04099601299468,68.04099601299468
2003,69.22425981984642,69.22425981984642
2004,60.94192539131718,60.94192539131718
2005,53.2538577968104,53.2538577968104
2006,51.626495126993504,51.626495126993504
2007,52.87349564382753,52.87349564382753
2008,44.26062739958653,44.26062739958653
2009,65.6829454001772,65.6829454001772
2010,56.89971574128766,56.89971574128766
2011,53.246608276727706,53.246608276727706
2012,54.3973715298287,54.3973715298287
2013,51.41267350856468,51.41267350856468
2014,54.19588932368576,54.19588932368576
2015,61.53970392793857,61.53970392793857
2016,66.44079481689309,66.44079481689309
2017,48.191953078854105,48.191953078854105
2018,51.69989478735972,51.69989478735972
2019,63.31375553739967,63.31375553739967
2020,63.66540302951597,63.66540302951597
2021,71.63627544866965,71.10859778299795
2022,69.9957366492107,74.08570214534221
2023,66.1858617778566,64.90090308927444
2024,69.3267646098536,67.43539190988322
2025,66.89647619131243,70.78477251898053
2026,65.95398421937733,68.37396525814242
2027,65.22880092289789,71.46839041432632
2028,64.68612752412358,65.45854423098223
2029,69.67952471119219,66.78993861012383
2030,70.51284102849974,71.73580849003757
2031,69.28124559733263,66.93893727785775
2032,65.54052043877365,68.10343327611729
2033,68.34924294127285,68.60988739605861
2034,64.48452133354066,71.1551314391493
2035,67.37037774457464,62.52382398221819
2036,62.85715890619194,66.63446021824011
2037,76.48786744146653,65.67930269478111
2038,63.08259872577509,67.11533832115387
2039,62.13460668560917,67.67018044595031
2040,66.66163167490713,60.57484051666977
2041,69.74944415363794,73.20790245177092
2042,71.21910996820068,66.81140706983396
2043,69.03651355368795,76.51909047511273
2044,75.62725371173096,71.88102848494115
2045,64.68563769616411,69.51604812848426
2046,68.26877120507126,63.58828311606576
2047,61.432781185255,69.47966790617889
2048,63.7172968030526,70.43038898783338
2049,64.0590287777604,70.91918131106401
2050,66.87577046371065,70.27565933297345
2051,76.2261803528813,68.45330339249489
2052,74.83993223981932,73.13964142684516
2053,72.86722010840485,70.3742127184224
2054,70.02354488222505,67.43404138422349
2055,62.70373779173807,68.86669020013352
2056,69.67578102607325,75.48460181484353
2057,66.74714863909142,64.85729440579544
2058,65.06971879674077,70.21434686753011
2059,69.00902021007613,66.25520042429324
2060,76.60648977816992,72.97509422016863
2061,71.2553502396605,67.7045523736218
2062,67.38402994955979,66.53289089206916
2063,68.03958070282691,74.93768090790627
2064,71.09341311625383,68.69525041431277
2065,65.94131866785344,72.35222898688389
2066,68.70578171544176,69.2595182285582
2067,71.4941133797417,75.37827415992328
2068,61.22865587945186,75.78269011836099
2069,71.69198988029024,68.69554431108847
2070,74.76684990826372,76.00495305374973
2071,67.2369626034947,73.21939941373431
2072,69.815374996985,78.49476256691095
2073,64.62171514745093,77.26786948415494
2074,65.74382703213021,71.25987764951462
2075,59.84369531416911,66.32106828975978
2076,69.29034939983683,69.86661100154743
2077,67.7048742605666,74.89455505484449
2078,69.7104888357741,69.01083257352623
2079,62.29925885541986,72.94548761878872
2080,75.26620852033473,76.82426029141594
2081,76.21184238875284,73.7423537383681
2082,72.59927721702272,72.93025396924865
2083,71.5957946665891,74.22699651902764
2084,74.6831872927832,72.49721106535
2085,70.02092080387065,69.49821839075891
2086,68.312197952451,71.43485119418595
2087,71.91092198555445,74.6671909111348
2088,65.28302487801317,73.455384529531
2089,75.00030191375564,77.80288757167668
2090,62.910599136572074,69.11506796330525
2091,72.49267665795361,71.43096056067917
2092,64.72342442446742,71.4375592430477
2093,65.31996490370082,66.22055559247289
2094,64.26859117391386,67.17651083575163
2095,70.98840099928191,67.68214624324635
2096,66.02039089559932,69.98062195788934
2097,68.26819040906217,72.07859009608715
2098,71.62318304706676,77.39930432077009
2099,71.40551749695491,74.69029679573806
