Year,rcp45_prec,rcp85_prec
1961,27.77997548256538,27.77997548256538
1962,31.88106611924035,31.88106611924035
1963,38.95929327521793,38.95929327521793
1964,37.20750311332503,37.20750311332503
1965,30.5942632121731,30.5942632121731
1966,35.26786513465132,35.26786513465132
1967,34.749489220112075,34.749489220112075
1968,37.880995582970115,37.880995582970115
1969,57.06964605386053,57.06964605386053
1970,30.325588126556664,30.325588126556664
1971,22.72105094178082,22.72105094178082
1972,40.951884534557905,40.951884534557905
1973,31.72067150529265,31.72067150529265
1974,29.626860698163142,29.626860698163142
1975,25.496852622976338,25.496852622976338
1976,37.552503307907855,37.552503307907855
1977,38.06103333203612,38.06103333203612
1978,36.716118267434624,36.716118267434624
1979,36.01297380915317,36.01297380915317
1980,34.026397591064764,34.026397591064764
1981,39.6976912749066,39.6976912749066
1982,34.68750243228518,34.68750243228518
1983,30.77370991594023,30.77370991594023
1984,34.44459740815691,34.44459740815691
1985,31.99715909090909,31.99715909090909
1986,26.80080070828145,26.80080070828145
1987,44.708028486924036,44.708028486924036
1988,34.71063589663761,34.71063589663761
1989,28.024395820361143,28.024395820361143
1990,34.01648602895393,34.01648602895393
1991,41.06226163605231,41.06226163605231
1992,40.70528973381071,40.70528973381071
1993,54.05188550747198,54.05188550747198
1994,36.37925163449564,36.37925163449564
1995,25.882396579234122,25.882396579234122
1996,29.072576957503113,29.072576957503113
1997,38.378541407222905,38.378541407222905
1998,54.35499688667497,54.35499688667497
1999,39.180054775062274,39.180054775062274
2000,30.104753658156923,30.104753658156923
2001,27.165774828767123,27.165774828767123
2002,45.23969197540473,45.23969197540473
2003,47.65781152708593,47.65781152708593
2004,38.748073630136986,38.748073630136986
2005,35.909915453767134,35.909915453767134
2006,33.225553101650064,33.225553101650064
2007,33.88487994240349,33.88487994240349
2008,29.37182343555417,29.37182343555417
2009,44.35222408156912,44.35222408156912
2010,37.16574564134496,37.16574564134496
2011,37.246969372665006,37.246969372665006
2012,35.764209410024904,35.764209410024904
2013,35.17308627801992,35.17308627801992
2014,36.781366749688665,36.781366749688665
2015,41.01892804327522,41.01892804327522
2016,40.4312028136675,40.4312028136675
2017,30.01858752334993,30.01858752334993
2018,32.51082123676837,32.51082123676837
2019,54.45580394703014,54.45580394703014
2020,55.84704057115322,55.84704057115322
2021,61.16053775170525,61.21732833166992
2022,60.446552732621406,64.02024913503692
2023,57.89901275908001,54.507812259285075
2024,59.79967046107042,57.36167148752186
2025,58.9334410195106,60.57418790377939
2026,56.15562666125506,59.069171242209556
2027,55.06833749328668,60.61591903617756
2028,53.559921499336355,56.229988438172505
2029,60.427920855575934,58.11310808946306
2030,60.44484754205568,61.63044481320157
2031,58.9273789381473,59.13453197000679
2032,54.448060614061575,57.718266242028996
2033,58.83029724632699,58.37951557275263
2034,56.08599374975104,59.65194497773947
2035,58.439734948433724,52.411672689372146
2036,54.2509067018262,56.48041206173141
2037,65.78364452086109,56.88167691639365
2038,54.087134749175775,54.18967084105624
2039,54.22408770031499,57.9977443977112
2040,55.14833045027972,53.05653672241339
2041,61.165502323805896,62.68220119806366
2042,60.87215061982753,57.36539491659736
2043,58.395267408712996,62.952055891654574
2044,62.67858457358083,63.71240146979129
2045,55.33982740202056,60.3107672661676
2046,59.2339375824469,53.605578621244405
2047,51.769662916997135,59.3587811025275
2048,54.577688243310384,56.950223367386045
2049,54.467134441145674,59.31292142018508
2050,56.95253255633792,56.301801636533824
2051,65.20272329257647,57.055186501562005
2052,62.17964507746312,62.13706319124058
2053,62.46538050910901,59.16542059479043
2054,58.891363692915476,55.56754952526153
2055,55.069335563790595,59.27928165641092
2056,59.65093954140157,63.73208297817854
2057,55.51415459476038,54.870314412642
2058,54.91403432021402,58.11443393957897
2059,57.17710946847061,55.40224179622688
2060,62.99072652003521,61.64712474424308
2061,60.29580725735978,55.77647404019257
2062,55.639296431117046,55.26763486320941
2063,57.41569619682806,65.485659707311
2064,58.121100019328395,57.18862226697709
2065,56.46850887402415,63.219884980901746
2066,57.262604703444694,55.92192716374153
2067,59.041549364794854,62.02366617716064
2068,52.83444946216499,63.87587878908261
2069,60.528188270591386,56.988875581181716
2070,63.44881510091502,64.72177116303125
2071,58.808181329810274,60.59414563094077
2072,60.04649219181445,64.46379019381166
2073,54.3619761123693,61.80017204262261
2074,55.27910346671203,58.16124381450446
2075,49.45336225242087,52.8148489779515
2076,57.754303584762745,56.7774540485324
2077,58.02902341169564,60.56683680147008
2078,58.49093854332664,54.886493466973064
2079,51.762414936363506,57.363921749801904
2080,63.56809005050882,63.37688036629309
2081,64.75452702672811,61.8218423261837
2082,60.666039853475816,58.41714761854245
2083,59.68106211945158,62.76117766996784
2084,60.2342178365589,59.00005393908394
2085,58.184718727390006,57.49297484400049
2086,55.484503430084935,58.74946826717754
2087,59.79364520887701,62.35191720252328
2088,56.36984352789875,61.46342821068418
2089,62.29506769588679,60.352155887285825
2090,54.897888412135885,55.17264506823866
2091,58.38455380319309,59.09249515549856
2092,55.583953237528895,57.573118800590066
2093,53.65030764807132,52.862266534180115
2094,53.204195913238536,52.92608043684212
2095,59.47378755133146,53.33665938856859
2096,55.281018583546114,58.898239698933246
2097,56.38344822325474,56.791202377650954
2098,61.619060916789714,60.86934055416521
2099,59.63320261318432,60.66229064398139
