Year,rcp45_tmax,rcp45_tmin,rcp85_tmax,rcp85_tmin
1961,9.168300774323207,-3.260445605272491,9.168300774323207,-3.260445605272491
1962,8.460609631753162,-3.2070432564428417,8.460609631753162,-3.2070432564428417
1963,9.330106986641448,-2.5997391369399456,9.330106986641448,-2.5997391369399456
1964,7.525550172153919,-4.188324750265989,7.525550172153919,-4.188324750265989
1965,8.488877416065728,-3.2150104548409977,8.488877416065728,-3.2150104548409977
1966,8.884171998758719,-2.7962490487202984,8.884171998758719,-2.7962490487202984
1967,7.873140848504549,-3.1854695258009222,7.873140848504549,-3.1854695258009222
1968,8.228552798794183,-2.971026375384206,8.228552798794183,-2.971026375384206
1969,6.95294028549474,-3.6353525553404658,6.95294028549474,-3.6353525553404658
1970,9.292573922745003,-2.57292644114257,9.292573922745003,-2.57292644114257
1971,9.625829368128619,-2.4863179657022108,9.625829368128619,-2.4863179657022108
1972,6.885645096938172,-4.052330081126612,6.885645096938172,-4.052330081126612
1973,8.933976570812153,-2.9359255397357837,8.933976570812153,-2.9359255397357837
1974,7.802186465598773,-3.468967963116208,7.802186465598773,-3.468967963116208
1975,8.13319485902589,-3.4448636437522167,8.13319485902589,-3.4448636437522167
1976,7.971406194585647,-3.0305552425670883,7.971406194585647,-3.0305552425670883
1977,8.811386171533279,-2.2234359761053315,8.811386171533279,-2.2234359761053315
1978,8.564440425877763,-2.6277095308990424,8.564440425877763,-2.6277095308990424
1979,8.890843886688732,-2.35437131494562,8.890843886688732,-2.35437131494562
1980,9.112447725795011,-2.1344386803256885,9.112447725795011,-2.1344386803256885
1981,8.854086623714386,-2.1874429693965007,8.854086623714386,-2.1874429693965007
1982,7.963477324447334,-2.9982519081008387,7.963477324447334,-2.9982519081008387
1983,9.139377253516962,-2.5049060172597235,9.139377253516962,-2.5049060172597235
1984,8.129357415179099,-2.9751489722484927,8.129357415179099,-2.9751489722484927
1985,8.987819001950585,-2.5046698135861214,8.987819001950585,-2.5046698135861214
1986,8.729189140264808,-2.6446252235045518,8.729189140264808,-2.6446252235045518
