Year,rcp45_prec,rcp85_prec
1961,9.221056666564193,9.221056666564193
1962,12.442883823167731,12.442883823167731
1963,14.106168147442204,14.106168147442204
1964,13.744101235858338,13.744101235858338
1965,13.539733076119035,13.539733076119035
1966,12.905852265740284,12.905852265740284
1967,12.656355678184948,12.656355678184948
1968,16.152291871618303,16.152291871618303
1969,21.541781311485487,21.541781311485487
1970,12.493465245327105,12.493465245327105
1971,9.42661514695032,9.42661514695032
1972,14.728350382747172,14.728350382747172
1973,13.541011782156913,13.541011782156913
1974,11.309801363440727,11.309801363440727
1975,8.905538113317759,8.905538113317759
1976,13.915467059149039,13.915467059149039
1977,11.735354924987705,11.735354924987705
1978,15.623184256640437,15.623184256640437
1979,15.374143045991143,15.374143045991143
1980,13.650305121741269,13.650305121741269
1981,17.78830930275455,17.78830930275455
1982,11.837459265863256,11.837459265863256
1983,9.557767538735858,9.557767538735858
1984,13.767219779881945,13.767219779881945
1985,9.98712839707329,9.98712839707329
1986,11.227662513834233,11.227662513834233
1987,15.789510191219875,15.789510191219875
1988,15.350763188637481,15.350763188637481
1989,10.360333789350712,10.360333789350712
1990,11.861484720855875,11.861484720855875
1991,14.801308680213973,14.801308680213973
1992,15.2847613978726,15.2847613978726
1993,13.411418623954749,13.411418623954749
1994,12.355649363625185,12.355649363625185
1995,9.29725832359813,9.29725832359813
1996,9.518464861042792,9.518464861042792
1997,10.900627920560748,10.900627920560748
1998,9.362068833005411,9.362068833005411
1999,9.511304683657157,9.511304683657157
2000,10.5627805275455,10.5627805275455
2001,9.063305075627152,9.063305075627152
2002,14.513396151008365,14.513396151008365
2003,13.91211802139695,13.91211802139695
2004,14.093696200196753,14.093696200196753
2005,14.061161729894245,14.061161729894245
2006,12.487128397073288,12.487128397073288
2007,11.977317618666994,11.977317618666994
2008,8.024014887174129,8.024014887174129
2009,12.625228649163795,12.625228649163795
2010,11.805054491515007,11.805054491515007
2011,14.056357215322185,14.056357215322185
2012,13.109111765248402,13.109111765248402
2013,10.352171590629613,10.352171590629613
2014,8.741104778959665,8.741104778959665
2015,12.965418255041811,12.965418255041811
2016,13.141553046605999,13.141553046605999
2017,10.04691342843089,10.04691342843089
2018,10.552078209542547,10.552078209542547
2019,10.34040077636802,10.34040077636802
2020,11.187086310222519,11.187086310222519
2021,12.370442642036725,11.724083885027945
2022,12.755516638239467,12.009252445632914
2023,11.95980121264142,10.805799227331695
2024,12.407371536207176,10.838415568471193
2025,12.671075393388211,12.370595502970106
2026,11.683747345710476,12.63011154741016
2027,11.218629740659782,11.2045672558307
2028,11.09969456094012,11.495837996054625
2029,11.293783241723757,11.747165164926615
2030,11.446348547829787,11.00280452356596
2031,11.543380630505247,10.866110075972617
2032,11.017427258136737,11.028229190415079
2033,12.341006817770582,11.588132831879495
2034,11.92551926416176,11.056767317218664
2035,11.797774391592698,10.409944930114767
2036,11.052662424323623,11.13674963748483
2037,13.281152031024856,11.158333312861632
2038,11.42080563006994,11.484097987953966
2039,12.261312914359856,11.078372623859622
2040,11.820571580888766,11.508727345324207
2041,12.005658050572,11.430007569842733
2042,12.550747881298912,10.998397514014847
2043,12.743704525924947,11.330920517072265
2044,11.980400665499037,11.837292548082859
2045,11.505985222071118,11.321406366053456
2046,11.993936068524803,11.068213140126774
2047,10.87876869175785,11.379143815301724
2048,11.105165828687804,10.336097957405936
2049,11.989914816517842,11.94013911456398
2050,12.42837549370455,10.783504604406232
2051,12.660405411821234,11.282610693786173
2052,12.206838180788749,11.988302566295935
2053,13.106356995785834,11.182666321912912
2054,11.386577038708534,9.785103512606039
2055,12.3386720833258,11.536988591946573
2056,11.557120088456239,11.663962670469472
2057,11.552668374292535,10.922530902275806
2058,11.032257652843427,11.410003697791595
2059,11.620366299643395,10.68924492875368
2060,12.456002944287086,11.728429605997276
2061,11.918045662395187,10.529731660600117
2062,11.261863427290145,10.734789555438251
2063,12.411941501281614,12.458301626624934
2064,10.933816653829146,10.949897335604167
2065,11.36417498050442,11.468974129096866
2066,10.978068451959203,10.823316946088944
2067,11.192719812451394,11.451152851599266
2068,10.860003570100828,11.359514164120526
2069,12.84859308374258,11.623275704672643
2070,11.694071948093065,11.649370219668516
2071,11.808148024840715,10.487528343185812
2072,11.478813470120178,11.668883783065406
2073,10.671412114581868,11.657777571004575
2074,11.699262009406695,10.03753171282367
2075,10.271686542122804,10.695580004983409
2076,11.820039451790473,11.410444975580418
2077,12.392929062171055,11.914408725848096
2078,13.201091838207724,11.716226688843632
2079,10.724457021592134,11.277504273360615
2080,12.880840972349253,11.807278448021565
2081,13.62567750152138,11.514865577050099
2082,12.34671891359256,10.998861144109966
2083,12.376789254940665,12.25870274181813
2084,11.765812756715047,10.228508375737118
2085,11.212807325390603,10.70984366056916
2086,12.354011533782346,11.404042121389663
2087,11.148098840746368,11.397332824290011
2088,10.8604700843645,11.15150215964055
2089,12.102002980089376,11.884119187689855
2090,11.079053287638464,10.316963662173947
2091,10.4660621976776,12.283310467924215
2092,11.493739763431304,9.974911366212817
2093,10.78831683963924,10.265903784171243
2094,11.672649786155304,10.3070096754506
2095,11.542393523817509,11.549057395262434
2096,10.945976308454464,11.157995865140768
2097,11.289112330749914,10.448900673736821
2098,12.134873849103801,10.522284016350532
2099,11.620059856734494,10.971580514796095
