Year,rcp45_prec,rcp85_prec
1961,10.80551340576014,10.80551340576014
1962,13.01093309021048,13.01093309021048
1963,14.031120362814104,14.031120362814104
1964,14.39222580672583,14.39222580672583
1965,12.714831131626372,12.714831131626372
1966,12.260653626440885,12.260653626440885
1967,14.320004080383553,14.320004080383553
1968,15.29515093168758,15.29515093168758
1969,21.24819358019654,21.24819358019654
1970,11.311119682750178,11.311119682750178
1971,10.271320004080383,10.271320004080383
1972,14.832259044850217,14.832259044850217
1973,14.387741635213713,14.387741635213713
1974,13.710962205447311,13.710962205447311
1975,10.351765190927948,10.351765190927948
1976,15.689849408344386,15.689849408344386
1977,12.516237588833349,12.516237588833349
1978,17.103159321976268,17.103159321976268
1979,15.041533841681119,15.041533841681119
1980,14.845148381447856,14.845148381447856
1981,18.73365083817879,18.73365083817879
1982,15.042563500969093,15.042563500969093
1983,11.403460675303473,11.403460675303473
1984,12.727574892039852,12.727574892039852
1985,11.345146256248087,11.345146256248087
1986,11.324701834472439,11.324701834472439
1987,14.416792053453026,14.416792053453026
1988,14.756988719439628,14.756988719439628
1989,11.44066123465606,11.44066123465606
1990,12.72490882892992,12.72490882892992
1991,14.63225968241015,14.63225968241015
1992,16.89140654221497,16.89140654221497
1993,14.756922838246794,14.756922838246794
1994,12.975528324662518,12.975528324662518
1995,9.637706569417526,9.637706569417526
1996,9.321670237002275,9.321670237002275
1997,11.575889821143189,11.575889821143189
1998,12.213758968343024,12.213758968343024
1999,10.197746650685163,10.197746650685163
2000,10.028418171308102,10.028418171308102
2001,10.820055085178009,10.820055085178009
2002,15.338373244584991,15.338373244584991
2003,16.18135817266823,16.18135817266823
2004,15.234282022510117,15.234282022510117
2005,13.74288270597436,13.74288270597436
2006,12.88836325614608,12.88836325614608
2007,13.6305340201979,13.6305340201979
2008,8.270809424835935,8.270809424835935
2009,15.307332576762214,15.307332576762214
2010,11.19158675915536,11.19158675915536
2011,13.160647038321605,13.160647038321605
2012,13.717712902512837,13.717712902512837
2013,12.24960790064266,12.24960790064266
2014,11.855966710870822,11.855966710870822
2015,15.324977047842493,15.324977047842493
2016,14.524598124723726,14.524598124723726
2017,12.436021923560816,12.436021923560816
2018,11.723926986636744,11.723926986636744
2019,11.664630291929035,11.664630291929035
2020,11.805495644212652,11.805495644212652
2021,13.197646809119993,12.600623355729908
2022,13.242830389868374,12.943887273401911
2023,13.069272569559768,11.264553660717773
2024,13.277429528718116,11.968119592909716
2025,13.582494461848176,13.10962890276399
2026,12.80608003081394,13.167448725510116
2027,12.244795960599921,12.204028627687617
2028,11.9964913665327,12.008838949202394
2029,12.1155101652669,12.061099880955146
2030,12.47865639372002,11.790053569577427
2031,12.70631185070252,11.793228022575654
2032,11.987020781819586,11.854023195348587
2033,13.846439433911714,12.416358753142633
2034,12.341284139149947,12.354567265902245
2035,12.926671663061375,11.066560548426056
2036,12.011713548327998,11.657650893189723
2037,14.468301182889727,11.83392019211722
2038,12.315860528802647,11.265353271044786
2039,12.793848391641664,11.684588965496378
2040,12.683494170410947,11.51475493048066
2041,12.890350163567252,12.53732860107474
2042,13.198679905662491,12.2087647196545
2043,13.376561219009245,12.43750045018879
2044,13.358264535506587,12.889552152460894
2045,12.113695849434915,12.337593937490787
2046,12.492567214579024,11.835948003906518
2047,11.117846755190179,12.332062233248534
2048,11.736314158330035,11.215030594724707
2049,12.369215327482747,12.820760076807527
2050,12.764751371452082,11.158892352496279
2051,13.690905629984254,11.803782079281865
2052,12.986480916301105,12.676537560565956
2053,14.556319089245735,11.861593905924726
2054,12.32997205185373,10.829816720466757
2055,13.243427698782652,12.42598606147984
2056,12.497048230851588,12.454975134275275
2057,12.552033434988465,12.113851773448687
2058,11.340947631750026,12.409099890594034
2059,12.255127725635226,11.205987001926218
2060,13.220877887950628,12.985147166275649
2061,12.62491471785416,11.13576522300816
2062,11.864477300763928,11.237037470144687
2063,12.706074366435395,13.275263384342248
2064,11.987575711386535,11.629504609678953
2065,12.056641253771735,12.557856197389755
2066,11.808045601545489,11.138776555499678
2067,12.503624226180921,13.266002297534811
2068,11.47335590541002,12.15272722832728
2069,13.875308565158106,11.954052048426616
2070,12.893924421728988,12.58363883277388
2071,12.658431184321131,11.091860219172666
2072,12.385131571041892,12.4209789016121
2073,11.571695981477404,12.026823784677514
2074,12.494695777269525,10.711669496988993
2075,10.993050771843329,11.132382871324904
2076,12.181718699953699,11.887127062886822
2077,13.135913693433476,12.567377957163794
2078,13.46167014299558,12.41345456843493
2079,11.171618150850652,12.116105075350196
2080,14.032815807372627,11.997270986601537
2081,14.797446381017703,12.717084201028008
2082,13.072439026454727,12.072848555489912
2083,13.141963545167634,12.750047337148686
2084,12.318158608882475,11.127113439269905
2085,11.949750944477632,11.43294279987258
2086,12.148125470895335,11.791412107523014
2087,11.516095876999055,12.008081718222716
2088,11.877817199849446,11.796072236508833
2089,14.201610348963232,11.933904267016935
2090,11.73919515433825,10.828315052272627
2091,11.83564495159258,12.217426898327002
2092,12.78089870239573,10.912150197008042
2093,11.41388888539025,10.555559973626083
2094,12.117611541206285,10.290572309696119
2095,12.000901217486165,11.188603473417013
2096,11.772952303513653,11.659503590317405
2097,11.541708994993856,10.833372587590967
2098,13.060982209689325,11.495609060810725
2099,13.025309194170408,11.965922263731091
