Year,rcp45_prec,rcp85_prec
1961,23.36736463305489,23.36736463305489
1962,26.075675436306682,26.075675436306682
1963,30.934805713007158,30.934805713007158
1964,29.451954989558484,29.451954989558484
1965,21.77852308323389,21.77852308323389
1966,20.931617318019093,20.931617318019093
1967,28.666230049224342,28.666230049224342
1968,27.87650563096659,27.87650563096659
1969,43.19551760143198,43.19551760143198
1970,22.342123172732702,22.342123172732702
1971,15.900380136858592,15.900380136858592
1972,31.56201055340096,31.56201055340096
1973,25.08938693317423,25.08938693317423
1974,22.53148073911098,22.53148073911098
1975,21.310581835471357,21.310581835471357
1976,28.434355888275658,28.434355888275658
1977,24.335131078460627,24.335131078460627
1978,29.14763573985681,29.14763573985681
1979,26.028770137231504,26.028770137231504
1980,25.21617924000597,25.21617924000597
1981,30.565548553102627,30.565548553102627
1982,27.686385926312646,27.686385926312646
1983,22.807433062350835,22.807433062350835
1984,23.81104564439141,23.81104564439141
1985,22.782298814140812,22.782298814140812
1986,19.57691536769093,19.57691536769093
1987,28.495431831742245,28.495431831742245
1988,26.913561399910503,26.913561399910503
1989,22.702598262231504,22.702598262231504
1990,24.44208914454057,24.44208914454057
1991,30.979820815930786,30.979820815930786
1992,32.689604620375896,32.689604620375896
1993,37.384555862171844,37.384555862171844
1994,29.76088669078162,29.76088669078162
1995,21.61689383204057,21.61689383204057
1996,22.21263890960621,22.21263890960621
1997,33.842055582488065,33.842055582488065
1998,37.59374300790573,37.59374300790573
1999,27.523721845167064,27.523721845167064
2000,23.144267881115752,23.144267881115752
2001,21.45390811455848,21.45390811455848
2002,35.62540554146778,35.62540554146778
2003,32.65828236873509,32.65828236873509
2004,30.073300454952268,30.073300454952268
2005,27.35496998060859,27.35496998060859
2006,26.25461245152148,26.25461245152148
2007,27.657079728520287,27.657079728520287
2008,22.493306235083534,22.493306235083534
2009,37.65976236202268,37.65976236202268
2010,23.348313506861572,23.348313506861572
2011,24.97458140662291,24.97458140662291
2012,32.70998191378282,32.70998191378282
2013,28.32777073389021,28.32777073389021
2014,30.27287347106205,30.27287347106205
2015,31.921504419003572,31.921504419003572
2016,29.786452118138428,29.786452118138428
2017,24.12944231056085,24.12944231056085
2018,21.98964237768497,21.98964237768497
2019,27.786988156395765,27.786988156395765
2020,27.57874886764744,27.57874886764744
2021,30.64420704155032,29.92194158563283
2022,30.739476224728588,30.760448161715217
2023,30.37077353534785,25.98187380684987
2024,30.392540265297594,28.239824096438287
2025,30.842340096221037,29.41715621131477
2026,29.503612023635426,28.083352322687286
2027,27.87533734217521,29.90076476868237
2028,26.97694753183885,28.24444272665725
2029,28.870928565693504,28.153382413770302
2030,29.54215594993316,29.65963164850077
2031,29.8590999553495,27.032017853149533
2032,27.1533633103442,28.57025308912875
2033,30.97147099204101,29.635678354799165
2034,27.26663543724023,29.79686236771813
2035,28.92142971056959,25.44739673363656
2036,27.680362264877925,28.24594576846082
2037,33.10567025106642,27.72760652481184
2038,26.91631542599297,25.95258480305593
2039,27.888762278425457,28.34165473707869
2040,28.33141603750723,26.044538816474727
2041,31.41075836137237,31.04288932149961
2042,30.72353091168199,29.004003400817105
2043,30.10888748779611,29.479082946587233
2044,30.698320078892106,31.16924727298163
2045,26.930755931029395,29.4604176754002
2046,28.81184189060923,27.50659403004304
2047,25.895545161403323,28.434883951651635
2048,25.71989415034913,27.177821739129016
2049,25.976926662206154,29.22959566926001
2050,27.716951000486397,25.926059912567034
2051,32.137199129656075,27.06245312501695
2052,31.304513970476822,28.989866683313217
2053,31.898778902788536,27.667567864378423
2054,28.587003792377963,26.3978578465028
2055,28.350120165239115,29.540741218458816
2056,30.612040887229924,30.457519005548395
2057,28.57868142695089,28.55728206797077
2058,25.938637069656625,29.7067116512223
2059,28.5523755460785,25.684723678628174
2060,30.454421079198863,30.769745473177036
2061,29.97871099767799,24.86272406928631
2062,26.07204925023789,25.820781636673303
2063,28.95497173981947,32.17400687488105
2064,28.25888499790027,27.08454307077168
2065,27.340083138064642,29.904138223259128
2066,27.91513880756124,26.59670091622057
2067,29.779638321104226,31.369853016870913
2068,25.723534302120186,30.097968798689546
2069,30.54744011518823,27.493986847441498
2070,30.491783413291426,30.19563649040983
2071,29.437269771901235,26.97176194930619
2072,28.954989401885317,29.325064433782355
2073,26.895765612380075,29.079738339168678
2074,27.78382488040258,26.47681434566486
2075,24.722151687210694,25.10172361191362
2076,27.30409491269496,26.347210106480183
2077,30.10542925530328,26.464632818850237
2078,29.88918905072631,27.21000025689549
2079,24.055484648372712,26.838593505233607
2080,31.716739522517532,28.59221763421597
2081,32.20525106936425,29.270637011668487
2082,29.95865042328906,28.503214952000192
2083,29.612858965724946,29.04007110548309
2084,28.09933295986557,26.89806168094017
2085,26.544670236442137,25.749312087223764
2086,26.10419244387269,26.87825190788628
2087,27.3680421883003,28.532498657174372
2088,28.087972719112834,26.190346234867377
2089,32.969304973075545,26.940351731404036
2090,26.390019421679945,24.47956144659669
2091,29.041823182415104,27.61069071373159
2092,28.31067017496344,26.10734512262637
2093,27.06821449089621,24.543330335337
2094,25.59280675554764,24.61707652507421
2095,28.649780073017663,24.20925235984256
2096,25.839422180968146,26.864154046927272
2097,26.372802439892364,25.440450243138965
2098,31.070272588388672,26.082385091171517
2099,30.358699747134906,29.550027932681125
