Year,rcp45_prec,rcp85_prec
1961,21.98829927380452,21.98829927380452
1962,24.335501651635905,24.335501651635905
1963,27.495159789219798,27.495159789219798
1964,26.90843579593121,26.90843579593121
1965,23.85287332214765,23.85287332214765
1966,23.56056326027685,23.56056326027685
1967,27.254992593854862,27.254992593854862
1968,29.57892132445469,29.57892132445469
1969,50.296275298867464,50.296275298867464
1970,23.32736800020973,23.32736800020973
1971,19.644917942533556,19.644917942533556
1972,29.7639373164849,29.7639373164849
1973,23.25252333263423,23.25252333263423
1974,19.064607146602352,19.064607146602352
1975,20.486315016778523,20.486315016778523
1976,27.81910326656879,27.81910326656879
1977,31.39448209416945,31.39448209416945
1978,31.269793414429532,31.269793414429532
1979,30.357258022231544,30.357258022231544
1980,23.36604872325923,23.36604872325923
1981,27.27156138580117,27.27156138580117
1982,25.35040406092701,25.35040406092701
1983,21.428162030725673,21.428162030725673
1984,27.21884339607801,27.21884339607801
1985,23.81671101614933,23.81671101614933
1986,18.858817900587248,18.858817900587248
1987,34.705969484060404,34.705969484060404
1988,23.517786218015946,23.517786218015946
1989,21.15267473259228,21.15267473259228
1990,27.706667496854035,27.706667496854035
1991,29.787541946308732,29.787541946308732
1992,29.334272755872483,29.334272755872483
1993,40.807033871644286,40.807033871644286
1994,29.242901898070468,29.242901898070468
1995,18.03692094431627,18.03692094431627
1996,20.163752818267614,20.163752818267614
1997,27.336897677223156,27.336897677223156
1998,37.56643574349832,37.56643574349832
1999,30.211940278942947,30.211940278942947
2000,21.265389052013425,21.265389052013425
2001,21.36384490352349,21.36384490352349
2002,36.64912895868289,36.64912895868289
2003,37.00706533137584,37.00706533137584
2004,32.759903261325505,32.759903261325505
2005,25.465482775796985,25.465482775796985
2006,26.456718291212248,26.456718291212248
2007,26.608332896392607,26.608332896392607
2008,24.42785071046561,24.42785071046561
2009,32.937545878775175,32.937545878775175
2010,25.18830779414849,25.18830779414849
2011,28.148562028104035,28.148562028104035
2012,27.050833682885905,27.050833682885905
2013,27.56486931103188,27.56486931103188
2014,29.391231255243287,29.391231255243287
2015,31.67654152684564,31.67654152684564
2016,28.992479157927853,28.992479157927853
2017,22.98315921245805,22.98315921245805
2018,22.631701578229862,22.631701578229862
2019,36.21818308147947,36.21818308147947
2020,37.15631017738336,37.15631017738336
2021,40.43191378981891,40.24882468645515
2022,41.022827608920274,41.77645814125214
2023,39.18152136974153,35.11886600884216
2024,39.29756765667615,38.13323069346839
2025,39.78183416040318,38.795886814779024
2026,38.082605065434706,40.11852249747879
2027,36.718434993436325,40.7107245004996
2028,34.681813831288096,37.09087043427621
2029,39.2088594951428,38.355807405014296
2030,39.983046103092725,39.5735634469403
2031,38.982993143550786,38.54217660632105
2032,35.08881792615851,36.588473934646046
2033,38.34603867695861,38.069064821126
2034,37.66858752478071,39.54650919910644
2035,39.21568925544158,34.544822628033806
2036,36.85086268587976,36.47212945698933
2037,43.96160452378514,36.71176506336461
2038,35.76396704596185,34.54620384745853
2039,37.22149944028397,37.34644612389157
2040,36.18358103008805,35.274745805196574
2041,40.978485455782476,41.30500668199768
2042,40.57139071093256,37.72261968362357
2043,37.62317188504339,40.13293107317023
2044,39.397745426144006,42.216735549656335
2045,36.63939298235029,40.47027304430868
2046,39.37271171864304,35.29811918675693
2047,33.56618453338955,38.61347281521007
2048,35.43279404448203,35.158344074921196
2049,36.94288434271697,38.28846401233732
2050,37.81308836318014,35.516533155822465
2051,41.7781232382443,37.82308133065885
2052,41.339634974172654,39.97180550563279
2053,42.14213061651499,39.178117224458134
2054,38.59235375550872,36.56602136603551
2055,37.31140275023146,40.08958129875555
2056,39.690807267814854,41.44226029308742
2057,36.09566724863836,36.333275158103405
2058,37.596036529333134,37.1956665816478
2059,38.35292330435024,36.75455423922175
2060,40.61287977524138,40.77564897003898
2061,39.357551702331946,35.25447122162018
2062,36.598287987691506,35.23173954649375
2063,37.620218604131814,42.865360008348276
2064,37.21292108959087,36.99250327887289
2065,37.852917101548364,41.38365269580481
2066,37.57595278781889,36.849190432310266
2067,38.30227859211034,39.935383298073724
2068,34.7028160002264,41.63797836991317
2069,38.904786066486594,36.9838509768807
2070,41.894670485592044,43.49724284713913
2071,40.05450452773457,41.04669240879064
2072,39.16607986138877,41.28967252230489
2073,36.1110467333209,40.364212568275406
2074,36.9969618265496,36.22888455011386
2075,31.60572843824063,34.06714971755365
2076,38.18185725090118,36.34292222434449
2077,39.232993859425946,39.23603779031705
2078,39.20777885196596,34.06150556356592
2079,34.59465626150963,36.99153714093331
2080,41.7750077415799,41.40341439133921
2081,43.19085545847948,40.829313757912225
2082,41.33852331916071,38.32193055345901
2083,39.74545250678232,41.866444944601824
2084,38.98584623237975,38.345695161246745
2085,38.72271319710372,37.638811392035606
2086,36.47878984495794,38.56877044768
2087,39.1657291890996,39.816114165814746
2088,38.69050621359214,39.69403965524232
2089,40.94744499437572,37.94549458589157
2090,37.040373624634455,35.7724285058919
2091,37.20382507980421,38.7202131660897
2092,36.78227643427309,39.03334205059439
2093,34.311377461049126,33.66338516668803
2094,34.72481054788782,33.38377769039793
2095,39.2923147289158,34.50512747910908
2096,36.37245980451193,38.26271226157755
2097,38.12789427230585,36.97409894750544
2098,41.60461440639988,39.45629099975642
2099,38.9631169427791,41.64251563994051
