Year,rcp45_prec,rcp85_prec
1961,29.742346129441625,29.742346129441625
1962,31.353492491539765,31.353492491539765
1963,37.883737838409466,37.883737838409466
1964,35.78154082064297,35.78154082064297
1965,26.09067324978849,26.09067324978849
1966,25.527089281937393,25.527089281937393
1967,30.82510443104907,30.82510443104907
1968,33.01921399111675,33.01921399111675
1969,46.87526438240272,46.87526438240272
1970,23.974482140968696,23.974482140968696
1971,16.80974877062183,16.80974877062183
1972,36.42010033312183,36.42010033312183
1973,28.858885892554987,28.858885892554987
1974,22.591550668887482,22.591550668887482
1975,24.006981347821487,24.006981347821487
1976,32.09125158629442,32.09125158629442
1977,26.58078865270728,26.58078865270728
1978,31.296993972081214,31.296993972081214
1979,29.359877326565147,29.359877326565147
1980,27.589658682318106,27.589658682318106
1981,31.82819770516075,31.82819770516075
1982,30.33095389170897,30.33095389170897
1983,25.40965227104484,25.40965227104484
1984,27.77523199555837,27.77523199555837
1985,25.46682992280034,25.46682992280034
1986,24.976503013959388,24.976503013959388
1987,32.24468260892555,32.24468260892555
1988,31.544264223773265,31.544264223773265
1989,26.71611774270305,26.71611774270305
1990,29.392439324238573,29.392439324238573
1991,36.201882402707284,36.201882402707284
1992,35.78470349513536,35.78470349513536
1993,39.09220997250422,39.09220997250422
1994,29.62482484665821,29.62482484665821
1995,23.207287370452622,23.207287370452622
1996,26.20953627326565,26.20953627326565
1997,36.80414882085449,36.80414882085449
1998,42.394356096658214,42.394356096658214
1999,30.574155959179357,30.574155959179357
2000,26.26754507719966,26.26754507719966
2001,22.62935239530457,22.62935239530457
2002,40.687024111675136,40.687024111675136
2003,36.35460620241117,36.35460620241117
2004,33.543950269670056,33.543950269670056
2005,31.222461267978005,31.222461267978005
2006,30.73921319796955,30.73921319796955
2007,32.05599949767343,32.05599949767343
2008,26.738912462986466,26.738912462986466
2009,43.94935424598139,43.94935424598139
2010,28.473951723773265,28.473951723773265
2011,29.12091198709814,29.12091198709814
2012,38.4151662965313,38.4151662965313
2013,32.650555864001696,32.650555864001696
2014,35.86487415397631,35.86487415397631
2015,35.92235749788494,35.92235749788494
2016,34.84619553722504,34.84619553722504
2017,26.98193937711505,26.98193937711505
2018,25.437437209179357,25.437437209179357
2019,35.948491736172265,35.948491736172265
2020,34.64521715797899,34.64521715797899
2021,39.42491205158404,38.850584632024095
2022,38.676726320653366,40.99344708661209
2023,38.498059917606,34.93920081194153
2024,39.10365854983637,36.61694679663303
2025,38.445419132790825,37.909333045378865
2026,37.14078801246989,36.42741316314661
2027,35.27968916263215,37.54152271994122
2028,35.12716318986196,35.60281427053582
2029,37.764000593351575,36.23100869963386
2030,38.38764011887361,38.50146058131123
2031,37.46239150953322,34.04217771135453
2032,34.55723677522855,36.485470187527326
2033,38.77304205283604,37.728770213812666
2034,35.54621431885218,37.91796626316484
2035,35.73351642192181,32.031345404562934
2036,35.30793949374835,36.022689501971406
2037,40.804104585319315,34.700734854644054
2038,33.532467866666465,34.504367624675524
2039,34.377944848638315,37.52942926477928
2040,35.481954186004785,33.2945678592411
2041,39.17323315056179,40.99598393209146
2042,38.44498474144163,36.46263113150411
2043,38.16488919947234,39.33711287208213
2044,40.35376238576844,40.197063773809575
2045,35.03481903572919,37.17551946251628
2046,36.3728138939056,34.620404724112234
2047,32.925325283469206,35.43569026619599
2048,33.249018823481286,36.26998973819365
2049,32.45793508513912,37.48957696128479
2050,35.862409023058795,35.55673651844814
2051,41.50301296159584,35.196531764976065
2052,39.66457444676906,38.03367818964871
2053,40.04978028406528,35.757571773722795
2054,37.38815030459916,33.69385542296049
2055,34.51910466147694,37.8142038221386
2056,37.90115655906864,38.504295295144345
2057,36.00828012035911,35.943856159917146
2058,32.81259204052275,37.977981771971415
2059,35.720929001739904,32.93142662024836
2060,38.87763356078021,38.26757683218881
2061,38.20708721625253,32.160518498399696
2062,33.30465566748784,33.58705472472609
2063,36.95563056154721,41.351559314899134
2064,37.05519554102195,34.895856001999434
2065,34.39684956015584,38.533754475329495
2066,35.056712359729275,34.381973518122685
2067,38.64772635418025,40.52300125541987
2068,32.922282061788465,39.8216056783896
2069,39.22208852504814,34.62416282984195
2070,40.343294795370674,38.09951702477096
2071,36.98720708928021,34.88939474095949
2072,37.55776399192904,39.55667908233465
2073,34.04047489726564,38.09691812338456
2074,34.96594194339878,34.58305699702547
2075,31.08868887218257,32.09711225483302
2076,35.57175653018561,33.66147713290867
2077,37.30848789562698,34.96379729125183
2078,36.46990408380799,35.66111951854467
2079,30.66659948598417,35.20305259968673
2080,41.13417995481034,36.34223522515763
2081,40.35114859096435,37.3742770860236
2082,37.66633700686821,35.482716232543105
2083,36.828199997579844,35.71439079137526
2084,37.082403332900064,34.95021449432117
2085,34.43925856701995,33.39257895880382
2086,33.7297584885316,34.875563720400706
2087,36.53490144083091,37.41360563766275
2088,35.166183944202245,34.402464378623904
2089,42.05309389716115,35.566310503784685
2090,32.723519473808594,33.803088712750466
2091,37.84410980485437,37.023765465229545
2092,36.98762906944801,33.73766441108718
2093,34.94967584904815,31.276010833142447
2094,33.06032418585791,30.84794422197896
2095,37.19118237345058,32.18907910905105
2096,33.02939303955803,34.53221583351417
2097,34.25435926867051,34.04226210738809
2098,38.65884925495625,35.06815546898555
2099,39.46599057980143,37.83337661517451
