Year,rcp45_prec,rcp85_prec
1961,12.770235206146793,12.770235206146793
1962,15.420914004011893,15.420914004011893
1963,17.642974039115952,17.642974039115952
1964,16.747957113944906,16.747957113944906
1965,13.471082807966473,13.471082807966473
1966,14.123660090625785,14.123660090625785
1967,17.121932872443313,17.121932872443313
1968,15.937461940752947,15.937461940752947
1969,26.3143044560662,26.3143044560662
1970,13.193487615073252,13.193487615073252
1971,10.464712361643443,10.464712361643443
1972,16.019087831787086,16.019087831787086
1973,16.544688272378842,16.544688272378842
1974,12.855874108965864,12.855874108965864
1975,11.096239522513162,11.096239522513162
1976,16.215161236880753,16.215161236880753
1977,15.257522298241215,15.257522298241215
1978,20.370423935236595,20.370423935236595
1979,16.41292268152022,16.41292268152022
1980,17.197012572984203,17.197012572984203
1981,20.763598345094387,20.763598345094387
1982,15.83994967224272,15.83994967224272
1983,14.198391660995092,14.198391660995092
1984,14.852268555002327,14.852268555002327
1985,14.349444334993017,14.349444334993017
1986,12.964872434358993,12.964872434358993
1987,19.186855231579326,19.186855231579326
1988,16.871581384102875,16.871581384102875
1989,14.081278880252174,14.081278880252174
1990,16.500259698391663,16.500259698391663
1991,18.60377301465057,18.60377301465057
1992,19.04463006411864,19.04463006411864
1993,21.086139269978865,21.086139269978865
1994,17.798055396353476,17.798055396353476
1995,11.124672018841569,11.124672018841569
1996,11.60115140416234,11.60115140416234
1997,17.169035668230823,17.169035668230823
1998,20.169094995880645,20.169094995880645
1999,16.130552172511372,16.130552172511372
2000,13.29358119604542,13.29358119604542
2001,13.677829593079483,13.677829593079483
2002,20.339869076190134,20.339869076190134
2003,22.603959952716984,22.603959952716984
2004,18.416637935666444,18.416637935666444
2005,16.522236674785972,16.522236674785972
2006,15.980939033563779,15.980939033563779
2007,15.778586972095855,15.778586972095855
2008,13.33717806354551,13.33717806354551
2009,19.047390478919656,19.047390478919656
2010,14.087244107533046,14.087244107533046
2011,15.799704257262599,15.799704257262599
2012,15.566492862771788,15.566492862771788
2013,17.44668235304653,17.44668235304653
2014,16.990639664004007,16.990639664004007
2015,19.669750958197515,19.669750958197515
2016,20.6004271590787,20.6004271590787
2017,15.40918280080238,15.40918280080238
2018,13.89870755274564,13.89870755274564
2019,15.950182941289412,15.950182941289412
2020,16.665953685641178,16.665953685641178
2021,18.20760765692282,17.469431655007345
2022,18.151841849798263,18.60572465352869
2023,17.68117216786913,15.527115688517425
2024,17.84501782954893,16.76741485840061
2025,18.19860409233069,17.556064418691243
2026,17.22187913532165,17.361850687595357
2027,16.433379578259895,17.321336332360367
2028,15.914798190853395,16.85703251779635
2029,17.386811899053473,16.842247929888813
2030,17.50074356496473,17.287464254934726
2031,17.310788914311427,16.397629932328893
2032,16.325222193945912,16.84609408009458
2033,18.437892950991472,17.385787157894356
2034,16.944192820925654,17.025594011323527
2035,17.557208825347566,15.243988807572686
2036,16.671422904492072,16.833605047217837
2037,19.92974416485408,16.35085083550108
2038,16.275796972743393,15.826525504228993
2039,16.74254128927847,16.553365307071733
2040,16.957388048778828,15.593235089294053
2041,18.024268317206253,17.855934356666697
2042,18.209834109342548,16.7420238624103
2043,17.387578769493274,17.85071795224652
2044,17.928042088591926,18.734103821439877
2045,16.889330404033476,17.738400927832693
2046,17.579943584385948,15.78179926057849
2047,15.039475416569939,17.317579509920115
2048,15.897389389155158,16.014454268577598
2049,16.583981134629912,17.43042913006796
2050,16.874048614412224,15.751468270612232
2051,18.43204788135361,16.768790168903635
2052,18.754394707648128,17.462282062907054
2053,18.99237061669878,17.066762313219275
2054,17.596521469321942,16.25373807094975
2055,17.703273205401228,17.528468880865198
2056,17.619628708288232,17.90469046234262
2057,16.92668794974375,15.825815938393486
2058,16.251717240933658,16.899518825590825
2059,16.6452582963438,15.789056720169215
2060,18.218868011666352,17.79233130219034
2061,17.62426869580641,15.840096582869155
2062,16.59609263129014,15.604631963830162
2063,17.447829504618507,18.980670364845825
2064,16.42965309355133,16.10302359080069
2065,17.38818552412696,18.020406998134643
2066,16.164701884744627,15.9672639269425
2067,17.673897853983032,18.38986832173505
2068,15.754744745634149,18.37394775431889
2069,18.22167762270623,16.66858127029096
2070,18.15669925772685,18.482342784197733
2071,17.871994814734517,16.505298542076858
2072,17.563288169691212,17.563461768933628
2073,16.19392891836348,17.641876378190133
2074,17.237457560541593,15.55490505074034
2075,14.659050373824694,15.300683286372692
2076,16.78822822776565,16.464794299419104
2077,18.200383905922852,17.065056658526796
2078,18.18830274699431,16.381082385124593
2079,15.604244315036414,16.434008243477578
2080,18.83515880568064,17.87994498586537
2081,20.10361476142603,17.880361286961264
2082,18.468751480403125,17.052353576098714
2083,18.214619043800994,18.37124601076944
2084,17.590652803670547,16.702431437132606
2085,16.307504958642213,16.811052314569555
2086,17.060463863035686,16.992037109221506
2087,16.976367670806507,17.632574492569784
2088,17.05552723991881,17.01516457334225
2089,18.63204769205353,16.62870569285088
2090,16.448393384584598,15.298315257871772
2091,17.333459627027366,16.776836409518154
2092,17.03048849870195,16.94294223220844
2093,16.398905802489182,15.040218690996209
2094,16.10229042895165,15.36566165135208
2095,17.007490812655632,15.624757677943688
2096,16.647853857832356,16.641656533421052
2097,16.477052428449138,16.295117051537748
2098,18.71059545024353,16.665539069974827
2099,18.09871036904164,17.97282058055811
