Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,3.576757358075351e-11,3.0269343601887496e-13,1.0567556786508464e-13,8.59804890907283e-11,1.8520151799770678e-13,8.115805149915367e-20,,4.60391998497281e-13,1.3383088650478376e-11,3.576757358075351e-11,3.0269343601887496e-13,1.0567556786508464e-13,8.59804890907283e-11,1.8520151799770678e-13,8.115805149915367e-20,,4.60391998497281e-13,1.3383088650478376e-11
2010,4.2280099259307855e-11,3.628218983498067e-13,1.0962814718676543e-13,9.143132522022164e-11,2.078590660830221e-13,8.115805149915367e-20,,5.522986304723907e-13,1.6010713810045918e-11,4.223820481604071e-11,3.6016065827319954e-13,1.0962814718676543e-13,9.137118864667228e-11,2.0712715535617157e-13,8.115805149915367e-20,,5.419913630026187e-13,1.6011579682614895e-11
2020,5.538056061429735e-11,5.009620952466269e-13,1.2548257714489373e-13,1.019956924601834e-10,2.583003889418408e-13,8.115805149915367e-20,,7.593031987029266e-13,2.152975717544116e-11,5.526325617314938e-11,4.974028228872871e-13,1.2522945009741286e-13,1.0258536181867984e-10,2.546313458156968e-13,8.115805149915367e-20,,7.318171943627975e-13,2.1363629282669625e-11
2030,6.255082905214569e-11,6.200008796572137e-13,1.1406107064683307e-13,6.838350890114408e-11,2.192233267063756e-13,8.115805149915367e-20,,9.491290300631051e-13,1.653087104037315e-11,6.854596038415553e-11,6.50331893866839e-13,1.334022314227806e-13,1.154184855249488e-10,3.2294980996896803e-13,8.115805149915367e-20,,9.903582266799814e-13,2.696967763271248e-11
2040,6.644704066525369e-11,6.957142878030034e-13,9.221393942704585e-14,5.7103537525112704e-11,2.2211386712628213e-13,8.115805149915367e-20,,1.1003024975160745e-12,1.5608746157579443e-11,8.14935090490246e-11,7.984191694393689e-13,1.49334517988422e-13,1.2884704566602845e-10,4.147109152787779e-13,8.115805149915367e-20,,1.3030124924245856e-12,3.2689171511728215e-11
2050,6.450731983076695e-11,6.869237548135058e-13,6.577857550886467e-14,4.133231149525725e-11,2.1164483471209746e-13,0.0,,1.1441085268426171e-12,1.2634124086847801e-11,9.172209617902904e-11,8.162795655035556e-13,1.564273349360972e-13,1.3703859761825527e-10,5.143117666910152e-13,8.115805149915367e-20,,1.4739415928264728e-12,3.726581296212017e-11
2060,6.422662300526793e-11,6.23755740108192e-13,5.696508713747926e-14,3.023972548773649e-11,1.949295304065142e-13,0.0,,1.0882773626961563e-12,1.011130093909796e-11,9.860957509701962e-11,8.521108729832387e-13,1.6167172876955736e-13,1.4454314559064863e-10,5.929415380810572e-13,8.115805149915367e-20,,1.5847448923909802e-12,4.03832989372215e-11
2070,6.555049552372779e-11,5.678319306385572e-13,5.753121691625341e-14,2.59975866303968e-11,1.919267478329336e-13,0.0,,1.0384587659596543e-12,9.240188523005588e-12,1.0306716819429796e-10,8.790814981076557e-13,1.6535146539658053e-13,1.532228306688805e-10,6.491422062490128e-13,1.6231610299830735e-19,,1.6629085221960253e-12,4.216253525916964e-11
2080,6.710688423012488e-11,5.21064577837399e-13,5.819722399324031e-14,2.4292369232366232e-11,1.935499895819657e-13,0.0,,9.98947626799607e-13,8.877823894595603e-12,1.0505925911067324e-10,9.018424642281416e-13,1.6663226164189827e-13,1.6282816799602726e-10,6.811186571628286e-13,1.6231610299830735e-19,,1.7281878617149498e-12,4.2504362282477506e-11
2090,6.802227578770713e-11,4.665984430387378e-13,5.078486939706785e-14,2.295379513047525e-11,1.923219954676564e-13,0.0,,9.551415974730644e-13,8.473715387410865e-12,1.0499850608452207e-10,6.269916726853886e-13,1.665984701791197e-13,1.5198025689289238e-10,7.692879818706259e-13,1.6231610299830735e-19,,1.2866925941759608e-12,4.160999094749482e-11
2100,6.852082371819524e-11,4.2010199225985527e-13,5.075221857438303e-14,2.2039664867361142e-11,1.891727040109176e-13,0.0,,9.30232299104814e-13,8.034862982969196e-12,1.024680817111872e-10,4.1757629824772703e-13,1.643412068023975e-13,1.3725253911595401e-10,8.192633532511298e-13,1.6231610299830735e-19,,8.099806974300544e-13,3.964214446305091e-11
