Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,5.175511642371956e-13,1.3968316474457216e-13,2.699669150146261e-11,2.7973572257744444e-13,0.0,3.189962941460969e-12,1.46834289251062e-11,3.8631442990440416e-13,,5.175511642371956e-13,1.3968316474457216e-13,2.699669150146261e-11,2.7973572257744444e-13,0.0,3.189962941460969e-12,1.46834289251062e-11,3.8631442990440416e-13
2010,,5.820226855232547e-13,1.4973249613008878e-13,2.7803549908417462e-11,3.200194793775445e-13,0.0,4.063952394453266e-12,1.2011196471316336e-11,4.2027736529797603e-13,,5.759068993665235e-13,1.4825011105237525e-13,2.7785883385646517e-11,3.204578988023519e-13,0.0,4.0701720167895565e-12,1.1769743796624007e-11,4.101822471018536e-13
2020,,7.542159691719594e-13,1.6952807263034066e-13,2.8899169676460285e-11,3.9624690438308313e-13,0.0,5.3786750719722575e-12,9.497323487165305e-12,4.840907959526926e-13,,6.346388181406563e-13,1.6245305443961075e-13,3.0027384115724875e-11,3.984629992019519e-13,0.0,5.341645310292491e-12,1.016929480713591e-11,4.5285911468407175e-13
2030,,9.255245685708163e-13,1.8836313150579928e-13,3.1869345905997863e-11,4.566100730561648e-13,0.0,6.8977666017627066e-12,1.0112696112020198e-11,5.374425831793744e-13,,6.748836116505216e-13,1.73681206655995e-13,3.2546897349294125e-11,5.087427246432164e-13,0.0,7.185151391784512e-12,6.121808787001081e-12,4.996793095416523e-13
2040,,8.548063286501812e-13,2.045522302609454e-13,2.3261553148193068e-11,4.5354047780518224e-13,0.0,5.690882444621598e-12,8.969259222904426e-12,5.779421544136258e-13,,6.67362905502415e-13,1.8295750240758986e-13,3.6054398316188225e-11,6.542504727476216e-13,0.0,9.122375064367099e-12,4.754381633702396e-12,5.423080169148747e-13
2050,,6.947377484596585e-13,2.160806668194562e-13,1.2777081583311074e-11,4.2494478508724935e-13,0.0,3.769075313136299e-12,6.754040451752479e-12,6.09127422558177e-13,,5.815131300744823e-13,1.861964165589878e-13,3.8119482761677115e-11,8.07954257733669e-13,0.0,1.1241927420639412e-11,2.153200288957352e-12,5.638390915419668e-13
2060,,6.404469195672256e-13,2.2178066324575065e-13,1.3103504030050533e-11,4.321468625015071e-13,0.0,4.108393224461071e-12,5.747286521069336e-12,6.330588600180231e-13,,6.426862868758624e-13,1.8346283848144687e-13,3.282633600150643e-11,8.756909818546812e-13,0.0,1.0364944057433678e-11,2.226057554176916e-12,5.664210193515506e-13
2070,,5.882611631911988e-13,2.226176487807345e-13,1.3454580284420907e-11,4.477945462308825e-13,0.0,4.390151478033138e-12,4.8952792202536846e-12,6.507922335102873e-13,,6.848837279833136e-13,1.7490334200747891e-13,2.671641108395468e-11,8.926876129300693e-13,0.0,8.670930429195697e-12,2.206789514914627e-12,5.584029543852867e-13
2080,,5.442054500360282e-13,2.189223169334055e-13,1.3910479524659284e-11,4.646666727823986e-13,0.0,4.608265207802572e-12,4.179351770968685e-12,6.608790448120447e-13,,6.982150408118455e-13,1.62940886700342e-13,1.9480706306464553e-11,8.600754049313029e-13,0.0,6.3643943638582025e-12,2.1176748662904063e-12,5.414642078595197e-13
2090,,4.912834786649903e-13,2.1118052213250322e-13,1.4328943415804151e-11,4.744612264435292e-13,0.0,4.771812398899943e-12,3.512799446944167e-12,6.65468076526717e-13,,7.013375760324703e-13,1.4752160960213126e-13,9.717123384635322e-12,9.121193507535306e-13,0.0,3.896587723901152e-12,1.5089261326308905e-12,5.221545681976737e-13
2100,,4.426639841169067e-13,2.0062893679464977e-13,1.485691696350435e-11,4.772354984142975e-13,0.0,4.886402182853463e-12,2.9263290128381746e-12,6.663338395171789e-13,,6.74452576131816e-13,1.2929742061921547e-13,8.51101915257624e-13,8.816298179758962e-13,0.0,7.436186794331667e-13,9.375091096685262e-13,4.965186351274561e-13
