Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,7.870890253921325e-12,2.8709280887565987e-12,6.211596277988912e-12,8.29343978316314e-12,0.0,,1.375622434391228e-10,0.0,,7.870890253921325e-12,2.8709280887565987e-12,6.211596277988912e-12,8.29343978316314e-12,0.0,,1.375622434391228e-10,0.0
2010,,8.477637968323115e-12,3.059279455780033e-12,6.818005509761245e-12,8.523569384175428e-12,0.0,,1.3150989240685014e-10,0.0,,8.360640770485393e-12,3.0264869201554263e-12,6.818005509761245e-12,8.515334778765952e-12,0.0,,1.2886763742835128e-10,0.0
2020,,1.0200142221376458e-11,3.4104108426191715e-12,8.039468819662289e-12,9.838787643679773e-12,0.0,,9.568170646034336e-11,0.0,,8.895129213150297e-12,3.27208788519502e-12,6.8561789037463605e-12,8.921266164831855e-12,0.0,,1.0728363455067354e-10,0.0
2030,,1.1543128241871087e-11,3.72689413205901e-12,8.931599362543977e-12,1.0358094463448187e-11,0.0,,9.027624176660428e-11,0.0,,9.432582763649265e-12,3.4510883310970233e-12,7.220701001889522e-12,9.394173108788787e-12,0.0,,5.7978077623419065e-11,0.0
2040,,1.0856061984325e-11,3.9869219037314e-12,7.51654700541125e-12,9.32942205873856e-12,0.0,,7.925704537115053e-11,0.0,,9.766493846714683e-12,3.574705572201704e-12,8.065787874998494e-12,9.90238785278984e-12,0.0,,4.954117333169029e-11,0.0
2050,,9.233406722135735e-12,4.144068895627649e-12,5.105641519321233e-12,8.040309610513868e-12,0.0,,5.8143219236540506e-11,0.0,,9.001996979818837e-12,3.5858572209118568e-12,8.181317412154885e-12,1.0058305137293263e-11,0.0,,2.937296476506906e-11,0.0
2060,,8.147718272424277e-12,4.187280603552259e-12,4.402022445746715e-12,7.908064447184276e-12,0.0,,5.083915402480682e-11,0.0,,9.221783228640117e-12,3.4675636346033055e-12,9.576867754108708e-12,9.154317547901632e-12,0.0,,3.1981558323033504e-11,0.0
2070,,7.1516173741822236e-12,4.142334849116931e-12,4.179909805813162e-12,7.70102951597997e-12,0.0,,4.4647954710069096e-11,0.0,,9.226975552176016e-12,3.2649073146936787e-12,1.0460285754108123e-11,7.833105437994829e-12,0.0,,3.3693974439798447e-11,0.0
2080,,6.304295161788303e-12,4.0208923589065234e-12,4.465099360711638e-12,7.45015973033022e-12,0.0,,3.9419202319656855e-11,0.0,,9.003134281453817e-12,2.998664663461794e-12,1.062526489556742e-11,6.205163077133418e-12,0.0,,3.4770016134570327e-11,0.0
2090,,5.44056601937925e-12,3.8332298040340376e-12,4.812551441368559e-12,7.149749627032868e-12,0.0,,3.4382935523104247e-11,0.0,,7.38140713863453e-12,2.6820490273138375e-12,1.1080060310987269e-11,4.932605137350295e-12,0.0,,2.681275526808998e-11,0.0
2100,,4.702809957175914e-12,3.606396685350051e-12,5.042318865967323e-12,6.8255320095098926e-12,0.0,,2.980632542949579e-11,0.0,,5.976208687810612e-12,2.3301773789640726e-12,1.0337356986671761e-11,3.3124932336387863e-12,0.0,,1.8183364028571047e-11,0.0
