Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,7.648887547436475e-12,6.552343989141502e-16,6.959788961679612e-15,1.2034802956738706e-13,1.0355613622304284e-13,,,,0.0,7.648887547436475e-12,6.552343989141502e-16,6.959788961679612e-15,1.2034802956738706e-13,1.0355613622304284e-13,,,,0.0
2010,8.298321200208622e-12,6.620881404938178e-16,7.654662624765476e-15,1.4170023922639736e-13,1.1796119636642288e-13,,,,0.0,8.298321200208622e-12,6.620881404938178e-16,7.654662624765476e-15,1.4170023922639736e-13,1.1796119636642288e-13,,,,0.0
2020,9.580894310843918e-12,1.3484341616127813e-15,9.019476566639232e-15,1.7293181403265118e-13,1.5067514463360602e-13,,,,0.0,9.494769094113149e-12,1.3484341616127813e-15,9.019476566639232e-15,1.7610486362346552e-13,1.4946973127077195e-13,,,,0.0
2030,1.080876686681774e-11,1.3797842593105026e-15,1.0394832741805814e-14,2.0658374609354955e-13,1.866069631481604e-13,,,,0.0,1.05899613041266e-11,1.3797842593105026e-15,1.0239686676592334e-14,2.346086636541774e-13,1.9769251496870317e-13,,,,0.0
2040,1.19528416615582e-11,1.4151699077149982e-15,1.1734398488871277e-14,2.284590062309911e-13,2.283991269206457e-13,,,,0.0,1.1608339457017015e-11,2.122754535005577e-15,1.1265022549316427e-14,3.248654691976541e-13,2.682582444332559e-13,,,,0.0
2050,1.2880438349104925e-11,1.4517241758406505e-15,1.2697838827089382e-14,2.297865712969016e-13,2.76484156854358e-13,,,,0.0,1.2370666739976315e-11,2.177586427044435e-15,1.2070784622427843e-14,4.472631268026149e-13,3.606031554350205e-13,,,,0.0
2060,1.3542674344730913e-11,1.486537189151937e-15,1.3258985296072905e-14,2.0609392706483883e-13,3.113942336917035e-13,,,,0.0,1.280013043349957e-11,2.229805783727905e-15,1.2479044216146453e-14,5.576170382198084e-13,4.4388810732854634e-13,,,,0.0
2070,1.4002398972574767e-11,1.5163364205493171e-15,1.35683970020851e-14,2.067157522799865e-13,3.450813095782025e-13,,,,0.0,1.2943287673243525e-11,2.274504630823976e-15,1.248909202712327e-14,6.377937000489093e-13,5.093067868381788e-13,,,,0.0
2080,1.4280562007349342e-11,1.5387745070159758e-15,1.3624654032160325e-14,2.379368037938289e-13,3.776294036508843e-13,,,,0.0,1.2823407663709848e-11,2.3081619238074234e-15,1.2110803439001656e-14,6.731664255472695e-13,5.518651967802574e-13,,,,0.0
2090,1.437832583918525e-11,1.5534517306425386e-15,1.3290816426842935e-14,2.760415933651555e-13,4.058215025739741e-13,,,,0.0,1.2432352336366212e-11,2.3301775959638073e-15,1.1518707569930546e-14,8.688939795241964e-13,6.918567124825351e-13,,,,0.0
2100,1.4345737449367245e-11,1.5621291035419959e-15,1.2892104343580587e-14,3.071731289675809e-13,4.2775087354369645e-13,,,,0.0,1.1757312660268285e-11,2.3431940635216433e-15,1.0600175408203859e-14,1.0479525547201794e-12,7.898641580152618e-13,,,,0.0
