Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,5.27664419691755e-13,7.286055963742505e-13,7.322813846750419e-14,4.862524242517895e-12,1.5008487652836917e-12,0.0,,2.0115751736862048e-11,0.0,5.27664419691755e-13,7.286055963742505e-13,7.322813846750419e-14,4.862524242517895e-12,1.5008487652836917e-12,0.0,,2.0115751736862048e-11,0.0
2010,5.565986698684184e-13,8.807491162097945e-13,7.282053043068269e-14,4.425852156972113e-12,1.6545734366711168e-12,0.0,,1.82693095457982e-11,0.0,5.497440435272486e-13,8.774881391449815e-13,7.220889988310812e-14,4.4305623444066025e-12,1.657957897150045e-12,0.0,,1.7903464840103123e-11,0.0
2020,6.138301311291993e-13,1.2245489313036594e-12,7.308859939029793e-14,4.5864058558559566e-12,2.061659008965128e-12,0.0,,1.7142866551840597e-11,0.0,5.858392604053043e-13,1.0511761880215198e-12,7.187610080504342e-14,4.0548479872016114e-12,1.735410528671325e-12,0.0,,1.6331476546941074e-11,0.0
2030,6.643913453931745e-13,1.5543177602170382e-12,7.684752050327478e-14,4.8178902321314515e-12,2.4821167636905283e-12,0.0,,1.888533638484087e-11,0.0,6.118129534397138e-13,1.154599580550938e-12,7.481840326450232e-14,3.707913046632114e-12,1.810893402389545e-12,0.0,,1.1564138958535266e-11,0.0
2040,7.081510480995859e-13,1.3306582854380063e-12,8.276555475056869e-14,3.759969594294416e-12,2.3156520998438884e-12,0.0,,1.5630312686601188e-11,0.0,6.312359359329913e-13,1.0995125581968375e-12,7.927493518582954e-14,3.4583416769108508e-12,1.8166496465814153e-12,0.0,,8.771654583768084e-12,0.0
2050,7.362178131958094e-13,9.138999584752093e-13,8.832676281028198e-14,2.4276187403062213e-12,1.9517339609495e-12,0.0,,1.0284005462573327e-11,0.0,6.350908738582106e-13,8.284472932728797e-13,8.268499450951062e-14,2.542983148135946e-12,1.4569486636269851e-12,0.0,,3.575322533377952e-12,0.0
2060,7.494365717140444e-13,8.127804619735301e-13,9.404902791885067e-14,1.729990452568475e-12,1.8567438653678253e-12,0.0,,8.509966277170243e-12,0.0,6.219822354805085e-13,8.329790781857884e-13,8.350739263789011e-14,2.536351581331872e-12,1.649286767763608e-12,0.0,,3.702808614434385e-12,0.0
2070,7.518337851163775e-13,7.200170711894928e-13,9.974066885879324e-14,1.0759325263021631e-12,1.7378923761396795e-12,0.0,,7.000742291613025e-12,0.0,5.97117637768312e-13,8.008982563540107e-13,8.350909828778826e-14,2.4740963185958207e-12,1.677802414804932e-12,0.0,,3.757138159078338e-12,0.0
2080,7.456176638808885e-13,6.412053327212568e-13,1.0406222184954276e-13,6.597902631670479e-13,1.616720413658338e-12,0.0,,5.714839470111236e-12,0.0,5.626446208099344e-13,7.362635415286165e-13,8.286252306172148e-14,2.3736090120663153e-12,1.5587909046045219e-12,0.0,,3.770638786814455e-12,0.0
2090,7.314567663825389e-13,5.548249631296862e-13,1.0675754338449103e-13,4.336277964994365e-13,1.4534312470336802e-12,0.0,,4.526528015344907e-12,0.0,5.179831508697585e-13,5.667960316992719e-13,7.926675934334247e-14,1.7800642738499789e-12,1.6830959626971544e-12,0.0,,3.090346893797041e-12,0.0
2100,7.107526575640961e-13,4.773478040809453e-13,1.0662250102065272e-13,3.4333785180078446e-13,1.2572101251817791e-12,0.0,,3.4800688937425906e-12,0.0,4.654769882557871e-13,4.1020877231663687e-13,7.364533902296787e-14,1.3765138230771409e-12,1.5925999867678277e-12,0.0,,2.3806657226797173e-12,0.0
