Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,4.804429531160747e-12,4.371063691036478e-16,1.5294529679912246e-14,1.5662624420049588e-13,6.198056599395557e-14,,,,0.0,4.804429531160747e-12,4.371063691036478e-16,1.5294529679912246e-14,1.5662624420049588e-13,6.198056599395557e-14,,,,0.0
2010,5.208645219365404e-12,4.363257435394583e-16,1.5902317521320253e-14,1.6837687827638726e-13,7.011926132649443e-14,,,,0.0,5.2087381462178564e-12,4.363257435394583e-16,1.5907572313572037e-14,1.6970962002253167e-13,7.011825876744638e-14,,,,0.0
2020,6.006863808259082e-12,8.48161019101879e-16,1.7759558157810355e-14,1.8591409550640128e-13,8.861851545189032e-14,,,,0.0,5.953384088594876e-12,8.46884824402337e-16,1.7761429930614328e-14,1.9075828303279735e-13,8.792652252787618e-14,,,,0.0
2030,6.7710594742791175e-12,8.59219649758988e-16,2.048675335741309e-14,1.9750573260696005e-13,1.0821866337017866e-13,,,,0.0,6.635458967576076e-12,8.541785340777098e-16,2.022830548774379e-14,2.273896571234264e-13,1.1466420932558986e-13,,,,0.0
2040,7.48233361390512e-12,8.672983063737572e-16,2.280648485406355e-14,2.056832561130736e-13,1.3007354189393148e-13,,,,0.0,7.269936965593231e-12,1.2780220239152832e-15,2.2625708147687308e-14,2.8223858600181083e-13,1.5273538661577884e-13,,,,0.0
2050,8.057661457792082e-12,8.68986034894357e-16,2.5343751909280133e-14,1.977008315854511e-13,1.5413905817989325e-13,,,,0.0,7.744872833213889e-12,1.2873973245944135e-15,2.4865442346504675e-14,3.4993427688946505e-13,2.0083814010834732e-13,,,,0.0
2060,8.466697647448288e-12,8.697785442403662e-16,2.735433716233206e-14,1.7226795316454332e-13,1.6977475178965244e-13,,,,0.0,8.012143103976775e-12,1.2892314397001526e-15,2.5934493777514222e-14,4.0968671713308805e-13,2.416796300452765e-13,,,,0.0
2070,8.750410281696155e-12,8.6566135401184e-16,2.8409224360091498e-14,1.6438946882275826e-13,1.839389257751892e-13,,,,0.0,8.100957785169494e-12,1.2888425930989318e-15,2.6976360054435487e-14,4.474868874025774e-13,2.710168586189764e-13,,,,0.0
2080,8.922318005023439e-12,8.570797973573491e-16,2.9670663415319333e-14,1.7428492417547267e-13,1.9683971732133343e-13,,,,0.0,8.025816626551947e-12,1.2778368221206946e-15,2.726466245339241e-14,4.615034333336119e-13,2.8716704775281633e-13,,,,0.0
2090,8.982611728378713e-12,8.465620331078526e-16,3.0174404888527663e-14,1.8717350721931768e-13,2.0702816685180104e-13,,,,0.0,7.781753414839317e-12,1.2605858151266984e-15,2.7055935092176914e-14,5.463413430637822e-13,3.516727439110498e-13,,,,0.0
2100,8.961848582332412e-12,8.306358362844772e-16,3.050902255227523e-14,1.9487574859465805e-13,2.1381040473105921e-13,,,,0.0,7.361138033643153e-12,1.237286503358521e-15,2.6068424307288683e-14,6.172305055358808e-13,3.930490571210337e-13,,,,0.0
