Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.113525694327604e-12,6.1645703792179366e-12,2.6927810743731534e-12,1.612256820423824e-11,0.0,,2.1035654264230346e-11,0.0,,2.113525694327604e-12,6.1645703792179366e-12,2.6927810743731534e-12,1.612256820423824e-11,0.0,,2.1035654264230346e-11,0.0
2010,,1.965223191152121e-12,6.547048741924977e-12,2.3088154481946925e-12,1.663708299666527e-11,0.0,,2.0818550369455683e-11,0.0,,1.9532242925453927e-12,6.4738380233917245e-12,2.315187910665252e-12,1.672395032916457e-11,0.0,,2.048706825101309e-11,0.0
2020,,1.734849301252931e-12,7.375219389453324e-12,2.20044679645182e-12,1.8005344492055384e-11,0.0,,2.0396634272624484e-11,0.0,,1.463696048896103e-12,7.098045027559613e-12,2.2079473325917144e-12,1.7416658093951823e-11,0.0,,1.9912956686624182e-11,0.0
2030,,1.6033662415189411e-12,8.644294865968159e-12,2.243783590300301e-12,2.317842998144104e-11,0.0,,2.3288921118378052e-11,0.0,,1.175455593427137e-12,8.116405151456235e-12,2.075603741168245e-12,1.9190231974303685e-11,0.0,,1.804410912625951e-11,0.0
2040,,1.3007431733021403e-12,1.0242489209718662e-11,1.867793501563644e-12,1.6118811731980806e-11,0.0,,1.7202796921172232e-11,0.0,,9.041681346988023e-13,9.461887482670508e-12,2.290548143314615e-12,1.867575897850817e-11,0.0,,1.5087856019024414e-11,0.0
2050,,9.736856201488631e-13,1.1904331986398553e-11,1.2198501468200598e-12,7.56929682331568e-12,0.0,,8.23383539998794e-12,0.0,,6.297860925574175e-13,1.0899539223244431e-11,2.3028274276577587e-12,1.6479746543431173e-11,0.0,,7.796163714601793e-12,0.0
2060,,7.785317053341991e-13,1.3452409556672746e-11,1.0389166651153198e-12,7.958886708722417e-12,0.0,,6.809906015998387e-12,0.0,,6.333437587016709e-13,1.2267501176108686e-11,2.423646251013251e-12,1.4475478767720088e-11,0.0,,7.045915485046888e-12,0.0
2070,,6.59251955857942e-13,1.4967286669313275e-11,1.00246575746359e-12,8.51037845859314e-12,0.0,,5.7102126948440375e-12,0.0,,6.419644227970961e-13,1.3440271118270175e-11,2.4607007063778778e-12,1.198011798696736e-11,0.0,,6.38263298422798e-12,0.0
2080,,5.645148836403642e-13,1.645996280451393e-11,1.09477361816513e-12,9.178865075417283e-12,0.0,,4.798318605193184e-12,0.0,,6.353224591295789e-13,1.4327889637260627e-11,2.376477663894289e-12,9.112568651728765e-12,0.0,,5.544155983978485e-12,0.0
2090,,4.881387777648926e-13,1.788532894771183e-11,1.2599703415681764e-12,9.969800148844435e-12,0.0,,3.985049327563198e-12,0.0,,6.326062767307545e-13,1.4921656938382762e-11,2.243510606050717e-12,5.646520288375237e-12,0.0,,5.002502116250677e-12,0.0
2100,,4.198662115152385e-13,1.9092447013347328e-11,1.4178067216995351e-12,1.0887742994762394e-11,0.0,,3.2751326705126715e-12,0.0,,6.349071595265927e-13,1.5275214644370683e-11,1.9376594011217265e-12,2.0734433777767985e-12,0.0,,3.689802276354901e-12,0.0
