Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,6.466904898293729e-13,2.360825478464177e-12,2.266582482703905e-13,6.2383022495003965e-12,2.4945457464381814e-12,0.0,,3.2387038584760395e-12,0.0,6.466904898293729e-13,2.360825478464177e-12,2.266582482703905e-13,6.2383022495003965e-12,2.4945457464381814e-12,0.0,,3.2387038584760395e-12,0.0
2010,6.459155650427241e-13,2.3894931784863114e-12,2.391959723972687e-13,5.916753361766363e-12,2.4269353411464e-12,0.0,,3.2536152421507007e-12,0.0,6.385536435128163e-13,2.386643823747229e-12,2.3644566696724634e-13,5.9375837579978e-12,2.4624792401251697e-12,0.0,,3.199885890028572e-12,0.0
2020,6.45528075438051e-13,2.857666391102331e-12,2.6583808683778397e-13,4.194896282191015e-12,2.4968798270793637e-12,0.0,,3.4274099898071015e-12,0.0,6.195674692242939e-13,2.4840206144739447e-12,2.5596912933472016e-13,4.6254886631142615e-12,2.2876944347597506e-12,0.0,,3.1990284060101407e-12,0.0
2030,6.408784722954603e-13,3.0943557084853246e-12,3.066283610462283e-13,3.853130886250923e-12,2.552775202553457e-12,0.0,,3.981075599898197e-12,0.0,5.998063701491229e-13,2.6182093530261834e-12,2.883757230830692e-13,3.1588507408936915e-12,2.2365664875678712e-12,0.0,,3.1033966246491885e-12,0.0
2040,6.304166883508651e-13,2.625892531738168e-12,3.5834146107932235e-13,3.0349202453982003e-12,1.9595135971345002e-12,0.0,,3.0830244675288955e-12,0.0,5.7927040071e-13,2.4005340199300246e-12,3.310789006784032e-13,2.7511831592842197e-12,1.7987153161260718e-12,0.0,,2.6321200121431583e-12,0.0
2050,6.09105739702396e-13,1.830210928344558e-12,4.118784017551984e-13,1.936282289189613e-12,1.1289776303367293e-12,0.0,,1.7178475417755318e-12,0.0,5.50984965713599e-13,1.870853580986616e-12,3.7700139850896646e-13,2.0025713113913005e-12,1.040438759113002e-12,0.0,,1.5467270166183488e-12,0.0
2060,5.80432869524019e-13,1.437201011795002e-12,4.62163423000171e-13,1.3208899116102768e-12,8.268697273724327e-13,0.0,,1.4528270743304174e-12,0.0,5.16887458760588e-13,1.7675609342195658e-12,4.208453846848001e-13,2.013728617407205e-12,9.901257373902759e-13,0.0,,1.6173689838397234e-12,0.0
2070,5.529223593142671e-13,1.1696440112748027e-12,5.110132360836779e-13,8.125202580472444e-13,6.616313706059632e-13,0.0,,1.2631149938627291e-12,0.0,4.796901438155868e-13,1.6572922772690602e-12,4.575654669973043e-13,2.0269618227883694e-12,9.122494154414308e-13,0.0,,1.6861218303929225e-12,0.0
2080,5.269616986778129e-13,9.7992681507357e-13,5.591122336354333e-13,4.923798841416577e-13,5.628916178484282e-13,0.0,,1.1181732010900238e-12,0.0,4.390056129079683e-13,1.4901180507374467e-12,4.856035508345425e-13,2.005873245281009e-12,8.241152858174166e-13,0.0,,1.7023613455721403e-12,0.0
2090,5.017760716734022e-13,8.553824859753953e-13,6.047481687534396e-13,3.631080458097283e-13,4.96719114641629e-13,0.0,,9.890277050498427e-13,0.0,3.975461027910037e-13,1.3575748368603345e-12,5.041929836598532e-13,2.057073248124095e-12,6.823616290743957e-13,0.0,,1.7321598403984743e-12,0.0
2100,4.758154654596452e-13,7.515171491648101e-13,6.443082451010928e-13,3.160931211765523e-13,4.384964613635134e-13,0.0,,8.725850652057785e-13,0.0,3.587989382727047e-13,1.141376971150084e-12,5.148974384116447e-13,1.969979517204089e-12,6.41741180892831e-13,0.0,,1.5884793480580583e-12,0.0
