Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,4.216653314632605e-12,2.8238655017556408e-11,1.214249346006158e-12,2.2943277841898568e-11,0.0,,8.067182393534346e-12,0.0,,4.216653314632605e-12,2.8238655017556408e-11,1.214249346006158e-12,2.2943277841898568e-11,0.0,,8.067182393534346e-12,0.0
2010,,3.74768915515352e-12,2.8424967952492693e-11,1.0431001488432077e-12,2.3639653151225824e-11,0.0,,7.983922671249128e-12,0.0,,3.724807003319487e-12,2.815924850464563e-11,1.04597937391748e-12,2.37630791314928e-11,0.0,,7.856798982876799e-12,0.0
2020,,3.0402200210540227e-12,2.8521944707895397e-11,9.98598242302038e-13,2.54754731155513e-11,0.0,,7.822117296682307e-12,0.0,,2.5650400135493704e-12,2.7670260054493678e-11,1.0020021090453603e-12,2.4642543876475988e-11,0.0,,7.636628098198372e-12,0.0
2030,,2.5312431786077885e-12,2.872722039218351e-11,1.0250636652151551e-12,3.252661512021321e-11,0.0,,8.931311351198206e-12,0.0,,1.8556985601156e-12,2.727041725979789e-11,9.482314162749465e-13,2.6929922715215944e-11,0.0,,6.9199234495375614e-12,0.0
2040,,1.8555341280304067e-12,2.8931450995870515e-11,8.562807840982232e-13,2.2314369069660185e-11,0.0,,6.597280030370485e-12,0.0,,1.2898125434858842e-12,2.6919628811386362e-11,1.050090701389428e-12,2.585412571028433e-11,0.0,,5.786199420054866e-12,0.0
2050,,1.2758396687534056e-12,2.9051332667932695e-11,5.553788676758032e-13,1.0266048088736914e-11,0.0,,3.157679515690864e-12,0.0,,8.25221331857105e-13,2.6502941446787608e-11,1.048441564901351e-12,2.235106596824701e-11,0.0,,2.989832356455964e-12,0.0
2060,,9.56934934377457e-13,2.903588620853898e-11,4.638437811201269e-13,1.0524103845661317e-11,0.0,,2.6116019616775573e-12,0.0,,7.784766522263632e-13,2.5925645086755198e-11,1.0820821981177019e-12,1.9141050469129694e-11,0.0,,2.7021114052907685e-12,0.0
2070,,7.750132467088496e-13,2.894078107201437e-11,4.3498284189453115e-13,1.0959866032598607e-11,0.0,,2.1898690361941856e-12,0.0,,7.546901239237692e-13,2.5264078246188664e-11,1.067729763699754e-12,1.5428275551618098e-11,0.0,,2.447742499401138e-12,0.0
2080,,6.441923317947723e-13,2.895781056234541e-11,4.587242345528669e-13,1.1519291654443465e-11,0.0,,1.8401571889112647e-12,0.0,,7.249939344975889e-13,2.4525987970294518e-11,9.957747910500595e-13,1.1436092171388607e-11,0.0,,2.126186188205178e-12,0.0
2090,,5.463924090603524e-13,2.9209745032826776e-11,5.08861704963791e-13,1.2231305348154176e-11,0.0,,1.528268223503547e-12,0.0,,7.081004639984771e-13,2.3738100864579143e-11,9.060820793275192e-13,6.9273517871881285e-12,0.0,,1.9184617091573943e-12,0.0
2100,,4.642462369665535e-13,2.930556183281701e-11,5.51991855658998e-13,1.3106194713454813e-11,0.0,,1.2560147454170724e-12,0.0,,7.020171335239961e-13,2.2860073455650546e-11,7.543850752630601e-13,2.4959214505907432e-12,0.0,,1.4150407099134123e-12,0.0
