Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.851667907545873e-12,4.6578508411387887e-11,5.771282025413342e-14,1.5951275023073922e-11,0.0,,1.3465201176288133e-11,0.0,,1.851667907545873e-12,4.6578508411387887e-11,5.771282025413342e-14,1.5951275023073922e-11,0.0,,1.3465201176288133e-11,0.0
2010,,2.0184858558897067e-12,4.691061428196974e-11,5.304057296455153e-14,1.6733722046913257e-11,0.0,,1.3326230743904155e-11,0.0,,2.006161729795064e-12,4.646793019813522e-11,5.318697752728675e-14,1.682109139478083e-11,0.0,,1.3114042837769625e-11,0.0
2020,,2.302584338476076e-12,4.706568468293426e-11,5.885350258354182e-14,1.875773494863786e-11,0.0,,1.3056155115376278e-11,0.0,,1.9426955703838447e-12,4.564324959654975e-11,5.905412064303311e-14,1.8144447749834928e-11,0.0,,1.274654860827784e-11,0.0
2030,,2.76614104885442e-12,4.738196987541521e-11,7.470915975704013e-14,2.563823806034371e-11,0.0,,1.4907547418729905e-11,0.0,,2.027906271725999e-12,4.495716993124788e-11,6.910943171900552e-14,2.1226791158124314e-11,0.0,,1.1550274625626855e-11,0.0
2040,,2.804497736472178e-12,4.770834075018549e-11,7.866120542475778e-14,1.9578668547515215e-11,0.0,,1.1011738396127237e-11,0.0,,1.9494529688440787e-12,4.437703676751781e-11,9.646531620374764e-14,2.268445674358244e-11,0.0,,9.65793677670801e-12,0.0
2050,,2.499645889580959e-12,4.7861551527583757e-11,6.361495938312853e-14,1.0453820101230528e-11,0.0,,5.2705877856551445e-12,0.0,,1.6167872162603514e-12,4.366968592295351e-11,1.200920195535901e-13,2.2759880785594433e-11,0.0,,4.990428209561415e-12,0.0
2060,,2.2874154827212667e-12,4.776202697232002e-11,6.459043640650448e-14,1.2767358351095659e-11,0.0,,4.3591111623109136e-12,0.0,,1.8608367884781485e-12,4.2681407019795614e-11,1.5068038505296205e-13,2.322104140917159e-11,0.0,,4.510183893025044e-12,0.0
2070,,2.153576796060097e-12,4.7524900681494855e-11,7.190604990776892e-14,1.592603306177498e-11,0.0,,3.655182927164713e-12,0.0,,2.097103523820976e-12,4.1530966166103405e-11,1.7650402081743901e-13,2.2419181094912585e-11,0.0,,4.085608153875375e-12,0.0
2080,,2.005716556383041e-12,4.745673298778286e-11,8.807821280047008e-14,1.9868065526118528e-11,0.0,,3.0714671257758837e-12,0.0,,2.2572952621674465e-12,4.023202604397369e-11,1.9119561077592112e-13,1.9724565730738775e-11,0.0,,3.548887746174234e-12,0.0
2090,,1.854923766669847e-12,4.774775713700663e-11,1.1127870272378132e-13,2.4605747994677074e-11,0.0,,2.5508828990078447e-12,0.0,,2.4038991283670263e-12,3.8835913651613645e-11,1.9814350355785992e-13,1.3935772674722458e-11,0.0,,3.2021676976690125e-12,0.0
2100,,1.6848081089981817e-12,4.777855194815218e-11,1.3494035804115926e-13,3.010461324670643e-11,0.0,,2.096455821443133e-12,0.0,,2.547708571887242e-12,3.729730066459602e-11,1.8441755826430206e-13,5.733072003244466e-12,0.0,,2.3618912815132065e-12,0.0
