Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.8927329321904995e-12,1.3518352553020649e-15,5.585547215719576e-13,0.0,4.542812184911947e-14,,,,0.0,1.8927329321904995e-12,1.3518352553020649e-15,5.585547215719576e-13,0.0,4.542812184911947e-14,,,,0.0
2010,1.928050167437912e-12,1.4423719600561169e-15,5.689411073338255e-13,0.0,4.9158573533440025e-14,,,,0.0,1.930091503288267e-12,1.4423719600561169e-15,5.712308881120065e-13,0.0,4.9158573533440025e-14,,,,0.0
2020,1.9811279353132427e-12,1.6545242789484018e-15,5.849588391795837e-13,0.0,6.00488964650793e-14,,,,0.0,1.9802093992327134e-12,1.6545242789484018e-15,5.886442592042961e-13,0.0,6.028624864942711e-14,,,,0.0
2030,2.0223653481032944e-12,2.522081681547621e-15,6.026189746863311e-13,0.0,7.521378810569632e-14,,,,0.0,2.023896241570844e-12,2.522081681547621e-15,6.083964712230717e-13,0.0,8.067915638950568e-14,,,,0.0
2040,2.034307618192788e-12,3.189258193880785e-15,6.203764715481673e-13,0.0,9.526450808761133e-14,,,,0.0,2.0682977899810773e-12,3.189258193880785e-15,6.300156793828671e-13,0.0,1.1094094664199776e-13,,,,0.0
2050,1.9867419341623727e-12,3.255590614529691e-15,6.356321718969936e-13,0.0,1.2129266503940056e-13,,,,0.0,2.0944285802210194e-12,4.0694884799203496e-15,6.496358897871424e-13,0.0,1.490272613429919e-13,,,,0.0
2060,1.888037686262334e-12,3.089599261922159e-15,6.481631637661469e-13,0.0,1.5651531719979017e-13,,,,0.0,2.095551163150411e-12,5.149332244375757e-15,6.647403981430156e-13,0.0,2.035169179449153e-13,,,,0.0
2070,1.80719621125508e-12,3.84663495853069e-15,6.592121596857292e-13,0.0,2.1081660722677147e-13,,,,0.0,2.079321740830476e-12,6.4110585465621315e-15,6.776892415294444e-13,0.0,2.766590396444807e-13,,,,0.0
2080,1.7613655759612938e-12,3.1313122464426447e-15,6.724848000509711e-13,0.0,2.830587869130652e-13,,,,0.0,2.0513538784294742e-12,6.2626244928852895e-15,6.885618919656722e-13,0.0,3.67357755543321e-13,,,,0.0
2090,1.7337037838335845e-12,3.749385835307003e-15,6.9168401475167e-13,0.0,3.699457190239897e-13,,,,0.0,2.0123622820195086e-12,7.498771670614007e-15,6.962957771125544e-13,0.0,4.5313454594478336e-13,,,,0.0
2100,1.6991011462380583e-12,4.410904167552509e-15,7.077162206964306e-13,0.0,4.739266162671896e-13,,,,0.0,1.964490202455149e-12,6.616356463087e-15,7.011862336418764e-13,0.0,5.738289617779333e-13,,,,0.0
