Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,9.090656699628495e-11,6.45679148168765e-13,1.0106620401684194e-12,3.179898011573812e-10,1.0178359891033217e-13,0.0,,2.597692839913929e-13,1.775032031081647e-11,9.090656699628495e-11,6.45679148168765e-13,1.0106620401684194e-12,3.179898011573812e-10,1.0178359891033217e-13,0.0,,2.597692839913929e-13,1.775032031081647e-11
2010,9.321819011143262e-11,7.150297064509312e-13,1.033108603006039e-12,3.2899380442152914e-10,1.0591499872243323e-13,0.0,,2.9721350706078675e-13,1.9366815443011554e-11,9.32023347388622e-11,7.070062309037783e-13,1.0329575736434118e-12,3.286891314679964e-10,1.0591499872243323e-13,0.0,,2.9253297917711247e-13,1.9366815443011554e-11
2020,9.605936879264476e-11,9.297650540099345e-13,1.0583000404837395e-12,2.8590449452359223e-10,1.0553007306988299e-13,0.0,,3.8770370377680385e-13,2.085990061240217e-11,9.823147156806655e-11,9.104067326404228e-13,1.0823046018432203e-12,3.5317646029930927e-10,1.2228087466203965e-13,0.0,,3.775625645463521e-13,2.329608901618929e-11
2030,9.320708788118635e-11,1.21481850186983e-12,9.766132130425986e-13,2.2454349490885758e-10,1.0595877338514734e-13,0.0,,4.703929845466248e-13,2.007449241558934e-11,1.0299583408368562e-10,1.279986641851416e-12,1.1297075471275449e-12,3.835393114215435e-10,1.563275875936243e-13,0.0,,5.156380964571605e-13,2.946821953120349e-11
2040,8.866469364265939e-11,1.553863700036462e-12,8.608426471656827e-13,1.8816578850611163e-10,1.1772406779877315e-13,0.0,,5.226589018351989e-13,1.9303645487633858e-11,1.0624130741820892e-10,1.7494742633739069e-12,1.1594101330045237e-12,4.154136756806537e-10,2.0762245275893906e-13,0.0,,6.583941833566975e-13,3.774465462402787e-11
2050,7.922475869781562e-11,1.7917556544358446e-12,6.760981206312132e-13,1.3143107435720222e-10,1.184775476510691e-13,0.0,,5.203186514458891e-13,1.5179852166924412e-11,1.0623180113356055e-10,2.2094546244660895e-12,1.1495725161722592e-12,4.505025241741122e-10,2.670100468851745e-13,0.0,,7.395233514104205e-13,4.677010514986257e-11
2060,7.337751239955281e-11,1.880505300089208e-12,5.818615446233354e-13,9.630332642451829e-11,1.1771454037218246e-13,0.0,,4.820943449133919e-13,1.3484509515937493e-11,1.0424677787668202e-10,2.6930788328549667e-12,1.1121939957545181e-12,4.854721624703018e-10,3.444240606696042e-13,0.0,,7.754074075536077e-13,5.6378218066255315e-11
2070,7.057756462591769e-11,1.9491506932783897e-12,5.356132746527076e-13,8.532001494199194e-11,1.2990026805950738e-13,0.0,,4.547912610744498e-13,1.3906606768920861e-11,1.0083165552510208e-10,3.274687595741788e-12,1.0623360914910342e-12,5.364383937056516e-10,4.39609855679493e-13,0.0,,8.206525194641434e-13,6.61909138610639e-11
2080,6.827702986322848e-11,2.0092133252297417e-12,5.048592837189614e-13,8.486555208575552e-11,1.49086147073485e-13,0.0,,4.3372887204538857e-13,1.5120588808814617e-11,9.536493122963564e-11,3.7481133648153975e-12,9.904898082280231e-13,5.963917693030396e-10,5.460813008381639e-13,0.0,,8.323538256208017e-13,7.454305922527381e-11
2090,6.540255836906539e-11,2.0913080295281716e-12,4.717165785587951e-13,8.78234776569009e-11,1.7185962397116283e-13,0.0,,4.12666537226436e-13,1.6317057080494912e-11,8.869641132669415e-11,4.408589812654462e-12,9.086024575950813e-13,7.035425575452336e-10,6.381860643243921e-13,0.0,,8.861798556254742e-13,8.115404181996411e-11
2100,6.262639018483895e-11,2.1559989037134297e-12,4.4326765565386167e-13,9.27722482169102e-11,1.9668931739401374e-13,0.0,,3.939443985866847e-13,1.7441811883678326e-11,8.177737653713991e-11,3.983228677451045e-12,8.294008383737117e-13,7.890495479223603e-10,7.537642385258003e-13,0.0,,7.535649621664976e-13,8.584730842864374e-11
