Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.2061023837647844e-12,1.9950027246244235e-15,3.0078720005162485e-13,0.0,6.921122475047473e-14,,,,0.0,1.2061023837647844e-12,1.9950027246244235e-15,3.0078720005162485e-13,0.0,6.921122475047473e-14,,,,0.0
2010,1.2286074935197178e-12,2.0763996262402468e-15,3.124341876794417e-13,0.0,7.386576566332723e-14,,,,0.0,1.2299083192862659e-12,2.0763996262402468e-15,3.136855467218702e-13,0.0,7.386576566332723e-14,,,,0.0
2020,1.2624300476521409e-12,2.260414357657692e-15,3.3493870112318025e-13,0.0,8.807110449997674e-14,,,,0.0,1.2618446868992161e-12,2.260414357657692e-15,3.3432347060040335e-13,0.0,8.841920793624393e-14,,,,0.0
2030,1.2887076388662375e-12,3.2057107500900158e-15,3.566969853166513e-13,0.0,1.0669650520088794e-13,,,,0.0,1.2896833124012574e-12,3.2057107500900158e-15,3.562678038866729e-13,0.0,1.1444953329237811e-13,,,,0.0
2040,1.2963177623351307e-12,3.747729038862174e-15,3.720882922522011e-13,0.0,1.2895159115858254e-13,,,,0.0,1.3179773028157429e-12,3.747729038862174e-15,3.754771829827391e-13,0.0,1.501714605531973e-13,,,,0.0
2050,1.2660074811404742e-12,3.56106923530869e-15,3.7522453677149575e-13,0.0,1.5465749611965474e-13,,,,0.0,1.334628479780775e-12,4.451336438256745e-15,3.8496785511980814e-13,0.0,1.9002127074532047e-13,,,,0.0
2060,1.2031103110293762e-12,3.183215460835073e-15,3.7079738693553133e-13,0.0,1.8688178717203574e-13,,,,0.0,1.3353439447943982e-12,5.30535910139179e-15,3.868054151718453e-13,0.0,2.430024497596106e-13,,,,0.0
2070,1.1515959626867689e-12,3.775161894924899e-15,3.6737328673944187e-13,0.0,2.360897122331146e-13,,,,0.0,1.3250019571114937e-12,6.291936068025025e-15,3.8615101784558726e-13,0.0,3.098254617271701e-13,,,,0.0
2080,1.1223913508676133e-12,2.9561852199825028e-15,3.6556722276051567e-13,0.0,2.9931092326851427e-13,,,,0.0,1.3071800586406109e-12,5.9123704399650055e-15,3.830854904129932e-13,0.0,3.8844996013212563e-13,,,,0.0
2090,1.1047646087877783e-12,3.431471076796415e-15,3.6593807411361433e-13,0.0,3.7189796056082136e-13,,,,0.0,1.2823333974537612e-12,6.86294215359283e-15,3.762518183299257e-13,0.0,4.555258080463087e-13,,,,0.0
2100,1.0827147555250716e-12,3.936504730717897e-15,3.650093194276088e-13,0.0,4.560609160285388e-13,,,,0.0,1.251827959868057e-12,5.9047577313515575e-15,3.6922635088254547e-13,0.0,5.521971768729372e-13,,,,0.0
