Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,4.041657265273758e-11,1.995052760815309e-13,6.370861103623436e-13,8.795544805305045e-11,1.554875352403575e-14,0.0,,7.021863058957853e-14,4.913864187345168e-12,4.041657265273758e-11,1.995052760815309e-13,6.370861103623436e-13,8.795544805305045e-11,1.554875352403575e-14,0.0,,7.021863058957853e-14,4.913864187345168e-12
2010,4.144430781466851e-11,2.1288626577387914e-13,6.432845709105969e-13,9.092677380259863e-11,1.617084037455111e-14,0.0,,8.034022832687375e-14,5.328011109229945e-12,4.143725704444443e-11,2.1049745813927192e-13,6.429609515741401e-13,9.084256765626938e-11,1.617084037455111e-14,0.0,,7.907503444772356e-14,5.328011109229945e-12
2020,4.270747857923688e-11,2.582907445617485e-13,6.428933240466303e-13,7.880677307307102e-11,1.6059160878771734e-14,0.0,,1.0480077676404516e-13,5.650355397243893e-12,4.367318814283513e-11,2.52912968345953e-13,6.602208630229327e-13,9.734962921251841e-11,1.860823361051243e-14,0.0,,1.0205951335119963e-13,6.310249758620593e-12
2030,4.1439371592297475e-11,3.096636995970369e-13,5.69506194340127e-13,6.149325151647225e-11,1.5946323788672813e-14,0.0,,1.2715265539193947e-13,5.2930198685557504e-12,4.579139802383626e-11,3.262753849149373e-13,6.826650356117624e-13,1.0503569979592753e-10,2.3526606677772333e-14,0.0,,1.3938292293851183e-13,7.769853990971307e-12
2040,3.941984858193756e-11,3.6301050306745215e-13,4.863918562785913e-13,5.089243898099154e-11,1.73288500269294e-14,0.0,,1.412807237652571e-13,4.904265882288427e-12,4.723431902019771e-11,4.08708590475644e-13,7.072644820232527e-13,1.1235524647409315e-10,3.056179107862301e-14,0.0,,1.779715530930277e-13,9.589371177462718e-12
2050,3.5222901518549273e-11,3.8670946786658945e-13,3.688978609763292e-13,3.482233646733535e-11,1.688652890062216e-14,0.0,,1.4064812348967543e-13,3.690198574063813e-12,4.72300899244916e-11,4.768602179794358e-13,7.230189737515393e-13,1.1935953763825708e-10,3.8056773944801393e-14,0.0,,1.9990168708384515e-13,1.1369739338052706e-11
2060,3.262325110907883e-11,3.790754569218317e-13,3.2160977940616413e-13,2.4785009941843746e-11,1.6182051025014612e-14,0.0,,1.3031565676984842e-13,3.126642321117966e-12,4.6347558269898254e-11,5.428753600502144e-13,7.312636607359479e-13,1.249430644415602e-10,4.734748250519065e-14,0.0,,2.0960155352809038e-13,1.307237224451158e-11
2070,3.1378407564593895e-11,3.708547624974984e-13,3.0799601651139317e-13,2.1170825776222885e-11,1.72414566598137e-14,0.0,,1.2293531577338534e-13,3.0747233818846537e-12,4.482921384535005e-11,6.230578553090283e-13,7.334161056249399e-13,1.3310877186803247e-10,5.83487184850735e-14,0.0,,2.2183183441868941e-13,1.4634681500834945e-11
2080,3.03556017928923e-11,3.6409729398112487e-13,3.053112250197041e-13,2.017803018689462e-11,1.9159710543542167e-14,0.0,,1.1724191329314919e-13,3.1924576230443117e-12,4.2398734096265725e-11,6.792100535847932e-13,7.218267116505273e-13,1.4180088214743592e-10,7.017927238271394e-14,0.0,,2.249948357965984e-13,1.5738511348873684e-11
2090,2.9077629193352553e-11,3.636534449637561e-13,3.0109074955486653e-13,1.9924424503432627e-11,2.144696179465436e-14,0.0,,1.1154851748492647e-13,3.297835081939892e-12,3.9433946706314884e-11,7.666010454637345e-13,7.00084968629201e-13,1.5961200224760084e-10,7.964146169471019e-14,0.0,,2.395446554790062e-13,1.6402018205168972e-11
2100,2.7843356680097466e-11,3.619077260097471e-13,2.9837793560702696e-13,2.0044653116822427e-11,2.3909239972479237e-14,0.0,,1.0648771528027217e-13,3.3837332508595683e-12,3.6357785158604475e-11,6.686280268769069e-13,6.762088752191394e-13,1.7048445390453427e-10,9.162637262164572e-14,0.0,,2.0369728873733583e-13,1.6654486337039578e-11
