Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,8.309929133698546e-13,1.620844655073702e-11,1.4833558526793607e-12,7.880632044368405e-12,0.0,,1.1099494827522431e-11,0.0,,8.309929133698546e-13,1.620844655073702e-11,1.4833558526793607e-12,7.880632044368405e-12,0.0,,1.1099494827522431e-11,0.0
2010,,7.716802090491806e-13,1.6456999865419253e-11,1.2752832977670238e-12,8.149253067229595e-12,0.0,,1.0984939453788478e-11,0.0,,7.669687534645347e-13,1.629083363934132e-11,1.2788033452683686e-12,8.191801083621787e-12,0.0,,1.0810032356435894e-11,0.0
2020,,6.796553704451031e-13,1.6877675325697687e-11,1.2241532573944794e-12,8.864132504927424e-12,0.0,,1.0762314970837504e-11,0.0,,5.734266693958343e-13,1.6319653321025165e-11,1.228325987931647e-12,8.57431817854385e-12,0.0,,1.0507102026042939e-11,0.0
2030,,6.271638657125049e-13,1.7503938469605355e-11,1.2654605995566525e-12,1.1513934250473313e-11,0.0,,1.2288435226646645e-11,0.0,,4.59784720980166e-13,1.6539342545102573e-11,1.1706096562177272e-12,9.53278823400384e-12,0.0,,9.521001935570876e-12,0.0
2040,,5.092222050012271e-13,1.823050428566393e-11,1.0761295700699126e-12,8.113696039821699e-12,0.0,,9.077081821227643e-12,0.0,,3.539688040540193e-13,1.6909605339885904e-11,1.3196999049114308e-12,9.400781008340486e-12,0.0,,7.96113089981313e-12,0.0
2050,,3.8280505901907483e-13,1.8877371460873215e-11,7.237492122707651e-13,3.874972565043322e-12,0.0,,4.3445960504420505e-12,0.0,,2.476007913656029e-13,1.7249555630026127e-11,1.366290414139826e-12,8.436524982886776e-12,0.0,,4.1136581320809175e-12,0.0
2060,,3.08224653065527e-13,1.9388403703037336e-11,6.381047399874373e-13,4.150876223937198e-12,0.0,,3.593257315624389e-12,0.0,,2.50744003551859e-13,1.7481542709145525e-11,1.4886083818601912e-12,7.549537917893848e-12,0.0,,3.717787616225748e-12,0.0
2070,,2.630926726476801e-13,1.991365192402292e-11,6.38406742000578e-13,4.5196513198675365e-12,0.0,,3.0130024543704685e-12,0.0,,2.561935973195599e-13,1.762000801674136e-11,1.567063466169681e-12,6.362343557980282e-12,0.0,,3.3678060340491815e-12,0.0
2080,,2.270294796175448e-13,2.052235304771644e-11,7.224673850622857e-13,4.95219378325264e-12,0.0,,2.5318399086661824e-12,0.0,,2.555059796217362e-13,1.7616964297618465e-11,1.5682945327004478e-12,4.916425386461208e-12,0.0,,2.925382372240484e-12,0.0
2090,,1.9758955422687605e-13,2.1219248580450767e-11,8.597196672514958e-13,5.445092240344925e-12,0.0,,2.102717359205778e-12,0.0,,2.5606733613856226e-13,1.7473470533738796e-11,1.5308217300617869e-12,3.0838957456079082e-12,0.0,,2.6395778725156583e-12,0.0
2100,,1.707919062587083e-13,2.176785247780362e-11,9.970270335830814e-13,5.994150902129019e-12,0.0,,1.7281287512105337e-12,0.0,,2.582656311034271e-13,1.7202152522945478e-11,1.3625967875386691e-12,1.1415159416007837e-12,0.0,,1.9469297968682368e-12,0.0
