Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.1510163308655286e-12,5.136883173102631e-16,1.9856589663123608e-13,0.0,1.7766702572282656e-14,,,,0.0,2.1510163308655286e-12,5.136883173102631e-16,1.9856589663123608e-13,0.0,1.7766702572282656e-14,,,,0.0
2010,2.1911528147455785e-12,5.335285915654941e-16,2.035997305578523e-13,0.0,1.892696069316635e-14,,,,0.0,2.1934727538581892e-12,5.335285915654941e-16,2.044175993006684e-13,0.0,1.892696069316635e-14,,,,0.0
2020,2.251473793726597e-12,5.765416022534255e-16,2.1355590906768639e-13,0.0,2.241107940251871e-14,,,,0.0,2.2504297570745934e-12,5.765416022534255e-16,2.1419913118855184e-13,0.0,2.2499658720010773e-14,,,,0.0
2030,2.2983384426403027e-12,8.044510111801409e-16,2.258788508799561e-13,0.0,2.6692483693443366e-14,,,,0.0,2.3000782902225473e-12,8.044510111801409e-16,2.270141873629027e-13,0.0,2.863207467592636e-14,,,,0.0
2040,2.3119104921074896e-12,9.162751019992517e-16,2.395701425700763e-13,0.0,3.130402587788653e-14,,,,0.0,2.3505389942138995e-12,9.162751019992517e-16,2.426064691021588e-13,0.0,3.6455317263859824e-14,,,,0.0
2050,2.257853733038491e-12,8.413130510429771e-16,2.522397888850601e-13,0.0,3.598169105082457e-14,,,,0.0,2.3802353250783444e-12,1.0516413919913778e-15,2.5826192146399383e-13,0.0,4.420921094483443e-14,,,,0.0
2060,2.14568021470121e-12,7.230021994759276e-16,2.637735916440812e-13,0.0,4.1405447446753485e-14,,,,0.0,2.381511227538952e-12,1.2050037700434214e-15,2.728011726772249e-13,0.0,5.3839514977692945e-14,,,,0.0
2070,2.0538071243692e-12,8.225384745481527e-16,2.76072514208222e-13,0.0,4.978133957406632e-14,,,,0.0,2.363067007029083e-12,1.3708975444554285e-15,2.871021796370708e-13,0.0,6.53290922960967e-14,,,,0.0
2080,2.001722292195478e-12,6.177869463993696e-16,2.896877716339875e-13,0.0,6.021075064814693e-14,,,,0.0,2.331282602860632e-12,1.2355738927987392e-15,3.0037516277699934e-13,0.0,7.814236704287799e-14,,,,0.0
2090,1.970285900244361e-12,6.886570724063914e-16,3.054509903557609e-13,0.0,7.165157890086905e-14,,,,0.0,2.2869701858769973e-12,1.3773141448127827e-15,3.111865999925702e-13,0.0,8.776371056178174e-14,,,,0.0
2100,1.930961373703282e-12,7.600596563553333e-16,3.1970830897206564e-13,0.0,8.453950013322432e-14,,,,0.0,2.232565414590664e-12,1.1400894584704477e-15,3.206321960073173e-13,0.0,1.0236017428965328e-13,,,,0.0
