Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,3.751239980244842e-13,4.680277058598307e-12,1.5002258052098794e-14,5.380245948033134e-13,0.0,,4.956160521554826e-12,0.0,,3.751239980244842e-13,4.680277058598307e-12,1.5002258052098794e-14,5.380245948033134e-13,0.0,,4.956160521554826e-12,0.0
2010,,3.572776373579188e-13,4.723129136925991e-12,1.423397941931624e-14,5.543963515551202e-13,0.0,,5.036318940235618e-12,0.0,,3.509516988511186e-13,4.680534529123107e-12,1.4184760965138503e-14,5.576329205293302e-13,0.0,,4.948637258124425e-12,0.0
2020,,3.0613304705399733e-13,4.7688839265633564e-12,1.54388264202122e-14,6.196847403687679e-13,0.0,,4.9649293856322286e-12,0.0,,2.382713763552106e-13,4.6319096073702285e-12,1.4200710783764842e-14,5.907952980900265e-13,0.0,,4.9166372144838816e-12,0.0
2030,,2.4419531370093976e-13,4.856345145583903e-12,1.546748271763266e-14,7.954252957469578e-13,0.0,,5.758580696811206e-12,0.0,,1.4897904056331326e-13,4.616754588629812e-12,1.3524404619717873e-14,6.590886826494215e-13,0.0,,4.21865644665056e-12,0.0
2040,,1.4159392240527785e-13,4.969573976770005e-12,1.1872871265990013e-14,5.570730644741774e-13,0.0,,4.24291561049576e-12,0.0,,8.487760787026803e-14,4.629958967657162e-12,1.4664198254706673e-14,6.571776203312144e-13,0.0,,3.5355118642787877e-12,0.0
2050,,6.95987466772551e-14,5.0907287249222185e-12,7.003771820573942e-15,2.526969809407208e-13,0.0,,2.029039962322092e-12,0.0,,4.101478623729388e-14,4.649751618872523e-12,1.444794841694854e-14,6.004636879520889e-13,0.0,,1.8230317540457747e-12,0.0
2060,,4.6790681490826036e-14,5.203728869143418e-12,5.847723184125065e-15,2.864042297087659e-13,0.0,,1.6447327830166774e-12,0.0,,2.8043307427731172e-14,4.651677903265677e-12,1.3598262572156241e-14,5.553360873403514e-13,0.0,,1.6264647115673256e-12,0.0
2070,,3.2287523398805884e-14,5.3059693391114366e-12,5.649451333501695e-15,3.307932038449145e-13,0.0,,1.3370039485162098e-12,0.0,,2.0551765714225824e-14,4.6405487872766654e-12,1.2625618934318843e-14,4.876266373910237e-13,0.0,,1.4342071373507026e-12,0.0
2080,,2.2710688386864467e-14,5.429241102278983e-12,5.9038681766263896e-15,3.833604848573505e-13,0.0,,1.0882757183545966e-12,0.0,,1.61258238679042e-14,4.610110330836285e-12,1.1455163691224748e-14,3.9298107345029714e-13,0.0,,1.2085852261998153e-12,0.0
2090,,1.6293671955343298e-14,5.596044678611795e-12,6.3086456365938655e-15,4.436841840429308e-13,0.0,,8.746379688882547e-13,0.0,,1.3743399867421602e-14,4.5602391758306944e-12,1.0240671924336284e-14,2.571032181075588e-13,0.0,,1.0389173693543258e-12,0.0
2100,,1.1941821581927964e-14,5.727717761938051e-12,6.826719443580504e-15,5.111303118646231e-13,0.0,,7.066408237282552e-13,0.0,,1.2585995823812364e-14,4.480030148692938e-12,8.42992332713417e-15,9.800511541914219e-14,0.0,,7.550470220561961e-13,0.0
