Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.0691573457525523e-12,1.6293940843659868e-16,5.5563924385891676e-14,4.998239970849898e-16,2.051936320485439e-15,,,,0.0,1.0691573457525523e-12,1.6293940843659868e-16,5.5563924385891676e-14,4.998239970849898e-16,2.051936320485439e-15,,,,0.0
2010,1.1010089642779078e-12,1.5908234376350612e-16,5.6723510424984224e-14,5.4937296303610075e-16,2.262801441898311e-15,,,,0.0,1.1022177156421829e-12,1.5630535951852892e-16,5.696061895342714e-14,5.48061495408229e-16,2.260646783136438e-15,,,,0.0
2020,1.1546969458470747e-12,1.5022984074739964e-16,5.866959340003117e-14,6.4590761396877895e-16,2.765435252391282e-15,,,,0.0,1.1537867843788808e-12,1.4330305145108055e-16,5.914933093020097e-14,6.433293132469168e-16,2.7735571931101797e-15,,,,0.0
2030,1.1949944832338377e-12,1.6305891006494066e-16,6.113231261029535e-14,7.358563544826233e-16,3.2799265588661015e-15,,,,0.0,1.1957772537267696e-12,1.5341698199479032e-16,6.184363325339198e-14,7.948232843051133e-16,3.5259036139683416e-15,,,,0.0
2040,1.2094871637937522e-12,1.6324250626615748e-16,6.395236508768224e-14,7.8320927047781265e-16,3.765697318902829e-15,,,,0.0,1.2297900905915855e-12,1.5506648092499724e-16,6.505499684376292e-14,9.39582576035267e-16,4.361530352811734e-15,,,,0.0
2050,1.1815582542130248e-12,1.4452941036674798e-16,6.691015263216882e-14,7.351029729730244e-16,4.221175902685621e-15,,,,0.0,1.2423854284696728e-12,1.6056319867523463e-16,6.844368772278931e-14,1.095360110954493e-15,5.142169508139642e-15,,,,0.0
2060,1.1245193601871975e-12,1.1945774672626803e-16,6.988594967051994e-14,6.203533008195165e-16,4.721400838351776e-15,,,,0.0,1.2365991421730972e-12,1.6899167361946655e-16,7.169455951676982e-14,1.2099443727765578e-15,6.060483188223723e-15,,,,0.0
2070,1.0719565469526026e-12,1.2301835469422016e-16,7.283903221002327e-14,6.365765638826659e-16,5.4965800627392704e-15,,,,0.0,1.2178865861353249e-12,1.8216963363610227e-16,7.493298182802678e-14,1.2993540624880493e-15,7.15719971022948e-15,,,,0.0
2080,1.0348932853443436e-12,9.066792216324808e-17,7.615569005582353e-14,7.008866644116101e-16,6.477041076240842e-15,,,,0.0,1.1919280061204515e-12,1.6052454887556732e-16,7.808571077646332e-14,1.3717423186481571e-15,8.388968285069923e-15,,,,0.0
2090,1.0081539908051023e-12,9.2986707434547e-17,8.026590728728525e-14,7.742612819925977e-16,7.582627051574446e-15,,,,0.0,1.1590225455545564e-12,1.707319184953958e-16,8.093684989391826e-14,1.4713170215057151e-15,9.365069632057975e-15,,,,0.0
2100,9.816926474005869e-13,9.641113374073431e-17,8.40430724380558e-14,8.131283854286641e-16,8.862422384871412e-15,,,,0.0,1.1201373794956303e-12,1.379204297627981e-16,8.341369894582861e-14,1.5818986930853107e-15,1.0818911847437187e-14,,,,0.0
