Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.779538761317141e-11,9.337492928512476e-14,3.049693255687804e-13,3.765507625428097e-11,1.1455382243074084e-14,0.0,,3.4893321965557126e-14,2.137069300301887e-12,2.779538761317141e-11,9.337492928512476e-14,3.049693255687804e-13,3.765507625428097e-11,1.1455382243074084e-14,0.0,,3.4893321965557126e-14,2.137069300301887e-12
2010,2.8501595478130865e-11,1.0019819839950933e-13,3.1054106983594483e-13,3.907015251865527e-11,1.2008849870471085e-14,0.0,,3.9962598108056065e-14,2.436736998365294e-12,2.8496480450610205e-11,9.897226463059469e-14,3.104294224079054e-13,3.9034045265331897e-11,1.2009125316428422e-14,0.0,,3.933198705418993e-14,2.436736498264833e-12
2020,2.936751142568495e-11,1.22562776994473e-13,3.1654671376605543e-13,3.416149045324961e-11,1.2130176000607069e-14,0.0,,5.2198817871960636e-14,2.8248527141074013e-12,3.002795209680584e-11,1.1963625160608187e-13,3.244722121117501e-13,4.217972517808079e-11,1.4045321462431317e-14,0.0,,5.08253779091e-14,3.15037385568096e-12
2030,2.848356585629132e-11,1.5025687150961096e-13,2.9072255738918387e-13,2.7035320928905647e-11,1.2344882217314183e-14,0.0,,6.335036271216218e-14,2.919621251469313e-12,3.1475794943420426e-11,1.5732388490050973e-13,3.432514220305885e-13,4.619063490055056e-11,1.820331102757549e-14,0.0,,6.944545039122663e-14,4.2856344099132595e-12
2040,2.708361663067777e-11,1.8134752333443272e-13,2.5978263896909906e-13,2.2920084248952517e-11,1.3881436978369776e-14,0.0,,7.036787006440303e-14,2.968754871564746e-12,3.245683201681982e-11,2.0281672675149188e-13,3.6482253654482647e-13,5.061507969507197e-11,2.4460583630539216e-14,0.0,,8.86448853510158e-14,5.8060148280727964e-12
2050,2.4189491250888603e-11,1.994320311996304e-13,2.0952410539798362e-13,1.6253104967995362e-11,1.409099958368923e-14,0.0,,7.003183381052506e-14,2.4157077739574163e-12,3.244456555269911e-11,2.442149023047553e-13,3.8283671778261963e-13,5.572265771925722e-11,3.171863539774733e-14,0.0,,9.950398081819072e-14,7.444322935867831e-12
2060,2.2397307232081445e-11,2.014245564635325e-13,1.916901791202978e-13,1.2116799055597418e-11,1.4069996341063146e-14,0.0,,6.484850741355035e-14,2.179221768004412e-12,3.18310022984414e-11,2.864817054753004e-13,3.9743083698903657e-13,6.11056990792677e-11,4.1111051468745285e-14,0.0,,1.0424880115812432e-13,9.113106665688829e-12
2070,2.1537626537081877e-11,2.022738051879294e-13,1.9052877393906162e-13,1.0933851421854698e-11,1.5559894268629443e-14,0.0,,6.112918214035896e-14,2.2525805045072114e-12,3.078176152409678e-11,3.377528487122036e-13,4.089189572539261e-13,6.876433356662371e-11,5.260017193455794e-14,0.0,,1.1022829139691011e-13,1.072378422298362e-11
2080,2.0831938776602442e-11,2.0315863918579294e-13,1.9477684605335866e-13,1.1068499470321422e-11,1.7860593744094102e-14,0.0,,5.825209637103317e-14,2.4337283939886518e-12,2.910807530945128e-11,3.770886568464825e-13,4.1143571282664063e-13,7.779724412229951e-11,6.537010438086984e-14,0.0,,1.1169714896501919e-13,1.2000707734856705e-11
2090,1.995224206073008e-11,2.0697390560690346e-13,1.9729818067092408e-13,1.163528332740641e-11,2.056793838410952e-14,0.0,,5.537867149336725e-14,2.595991739891541e-12,2.706888167067887e-11,4.344246121493525e-13,4.067403946183301e-13,9.321893407338172e-11,7.633924929882817e-14,0.0,,1.1876922587309104e-13,1.2914146228869359e-11
2100,1.910328952083153e-11,2.0966372719559063e-13,2.0034691810960472e-13,1.2454400873970234e-11,2.3505270630911816e-14,0.0,,5.283518398816938e-14,2.7344863110582217e-12,2.4953826792694106e-11,3.861035927913697e-13,3.989898376653387e-13,1.0594246601113306e-10,9.003811835245598e-14,0.0,,1.0093437753517926e-13,1.346123312917602e-11
