Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,4.4302427717348593e-13,7.527949234946567e-12,4.797964453167809e-13,4.018901577895452e-12,0.0,,8.840850974223967e-12,0.0,,4.4302427717348593e-13,7.527949234946567e-12,4.797964453167809e-13,4.018901577895452e-12,0.0,,8.840850974223967e-12,0.0
2010,,4.1932417248190233e-13,7.740546942153054e-12,4.140301402522884e-13,4.179239787071631e-12,0.0,,8.823150418488121e-12,0.0,,4.1587563598049693e-13,7.65970920324788e-12,4.1515445985867327e-13,4.20113493542867e-12,0.0,,8.678469354561925e-12,0.0
2020,,3.773753081797831e-13,8.149237040933266e-12,4.0107853849925135e-13,4.6069634593679335e-12,0.0,,8.661519949719314e-12,0.0,,3.1402702010312927e-13,7.866980340438473e-12,4.021754463490879e-13,4.4544483217116676e-12,0.0,,8.495018502455077e-12,0.0
2030,,3.5117595143163907e-13,8.743073332384955e-12,4.2129203654179454e-13,6.111156125687789e-12,0.0,,9.939932760766874e-12,0.0,,2.5073863468488483e-13,8.242342744260548e-12,3.895498475844192e-13,5.059756417650689e-12,0.0,,7.565267231487356e-12,0.0
2040,,2.81768446162932e-13,9.449737288965329e-12,3.674051178407915e-13,4.449197266865469e-12,0.0,,7.336286233160726e-12,0.0,,1.9274289059184552e-13,8.753102347040735e-12,4.5058529605155247e-13,5.157611074960781e-12,0.0,,6.330303148538643e-12,0.0
2050,,2.097749526638656e-13,1.013698134442307e-11,2.555680892138648e-13,2.218137585519832e-12,0.0,,3.5104064300051287e-12,0.0,,1.3473069006799356e-13,9.275169221256408e-12,4.827223143233161e-13,4.840792431568762e-12,0.0,,3.268835652609387e-12,0.0
2060,,1.7141804429863862e-13,1.0757573010567302e-11,2.341660867963255e-13,2.5057816182365945e-12,0.0,,2.8846157194626973e-12,0.0,,1.3697465646707582e-13,9.753402290017847e-12,5.462671106250773e-13,4.5655446390424945e-12,0.0,,2.9424300833695912e-12,0.0
2070,,1.480006370210815e-13,1.139766759451078e-11,2.4357380476933607e-13,2.8839070771086913e-12,0.0,,2.395199154130005e-12,0.0,,1.413228268143785e-13,1.0158964760511573e-11,5.976141128507408e-13,4.065011590600395e-12,0.0,,2.6435130360989597e-12,0.0
2080,,1.291121473373263e-13,1.2077514163941381e-11,2.859238746667283e-13,3.334162525649577e-12,0.0,,1.9929737289910417e-12,0.0,,1.4278396408161249e-13,1.0441831583569444e-11,6.203615574193643e-13,3.3131913128952387e-12,0.0,,2.2753968379144122e-12,0.0
2090,,1.1352489112684295e-13,1.277540835882814e-11,3.516511406389413e-13,3.8531300272548376e-12,0.0,,1.638837589158694e-12,0.0,,1.4506811042715185e-13,1.0591310611323684e-11,6.259214243005669e-13,2.1837901857206057e-12,0.0,,2.024199376684201e-12,0.0
2100,,9.911848931710801e-14,1.3362347264714227e-11,4.1987171997473404e-13,4.4352464643902685e-12,0.0,,1.340062445394026e-12,0.0,,1.4829274257504082e-13,1.0626956772021537e-11,5.736053524055487e-13,8.448232103875898e-13,0.0,,1.4867312836297395e-12,0.0
