Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.7644817976595208e-13,7.316220952392473e-13,2.4793536593162226e-11,6.714895000147324e-14,0.0,1.5137292070461312e-12,1.7527632248506969e-12,2.315246342991532e-13,,1.7644817976595208e-13,7.316220952392473e-13,2.4793536593162226e-11,6.714895000147324e-14,0.0,1.5137292070461312e-12,1.7527632248506969e-12,2.315246342991532e-13
2010,,1.6116711006304838e-13,7.452405809577517e-13,2.3252240973500053e-11,6.630264718135762e-14,0.0,1.4668186585273716e-12,1.7179213507201209e-12,2.5363248163374205e-13,,1.5956508511891407e-13,7.379237361300335e-13,2.3265811699624483e-11,6.670399342988518e-14,0.0,1.4681214202296908e-12,1.6897568179520652e-12,2.4715774347070425e-13
2020,,1.4223407236786724e-13,7.676652106784491e-13,2.4129279155318843e-11,6.933356854109582e-14,0.0,1.3572087647933689e-12,1.7162855221104142e-12,3.0965532940599474e-13,,1.1869416391944135e-13,7.432413043376186e-13,2.096717994421655e-11,7.031457029490014e-14,0.0,1.3210114933868965e-12,1.6366750297378672e-12,2.882874432168163e-13
2030,,1.2924136079407745e-13,8.009930306617043e-13,2.030632118910981e-11,7.760532394385132e-14,0.0,1.4256996484286255e-12,1.9672749415486238e-12,3.8024457206532754e-13,,9.526870815008133e-14,7.583570908379826e-13,1.845879605322832e-11,8.079583986337941e-14,0.0,1.1343052373256377e-12,1.4570271915908244e-12,3.564026576366177e-13
2040,,1.0178704882210983e-13,8.40794901169862e-13,1.9271767365119785e-11,7.794947901615967e-14,0.0,8.795570628184725e-13,1.3626947418313792e-12,4.583070347154474e-13,,8.181596666422974e-14,7.808434204531228e-13,1.8209417957477198e-11,9.987510224507381e-14,0.0,1.1886369016183467e-12,1.1399027367665717e-12,4.3479546789786547e-13
2050,,7.254383842885486e-14,8.789550668878903e-13,1.7305688413824936e-11,7.360108987490503e-14,0.0,1.4262130640649574e-13,5.35085051842652e-13,5.357113026456189e-13,,6.842073673145559e-14,8.035244141729186e-13,1.747464035335073e-11,1.1839202509997235e-13,0.0,1.143416442609372e-12,4.826906204565659e-13,5.002495852492396e-13
2060,,5.91104289514698e-14,9.132667095041151e-13,1.5964337959692205e-11,8.864619811472736e-14,0.0,1.551556680932118e-13,4.429631398920623e-13,6.194714411103755e-13,,7.227176814963612e-14,8.22270429923622e-13,1.4457836329541407e-11,1.3923053150839855e-13,0.0,1.092144768015728e-12,4.3199803094111014e-13,5.589481580284195e-13
2070,,5.065831700570069e-14,9.47281229933626e-13,1.521018946428834e-11,1.0938467661677528e-13,0.0,1.745220740945986e-13,3.71404765050817e-13,7.100894572042693e-13,,7.645234232976428e-14,8.370323953474443e-13,1.134152631669798e-11,1.583171781859704e-13,0.0,9.865479929479334e-13,3.77491550280813e-13,6.143164055527918e-13
2080,,4.43160781157278e-14,9.850840113593244e-13,1.5044828246076418e-11,1.3415601212512313e-13,0.0,1.9782713067784215e-13,3.1301056591504355e-13,7.968937071784371e-13,,7.800625604668419e-14,8.444900184550869e-13,7.97643732845636e-12,1.735911058291577e-13,0.0,7.920168525025865e-13,3.0558226119695894e-13,6.560154071618126e-13
2090,,4.009374554706083e-14,1.027007745613251e-12,1.5092769876721767e-11,1.6235708348315015e-13,0.0,2.2153997230305568e-13,2.61740407250924e-13,8.803932307901721e-13,,7.896347177228638e-14,8.451178945845539e-13,4.5961972966318395e-12,1.7765709449103487e-13,0.0,4.722267371931949e-13,2.4303218034134586e-13,6.920867157645339e-13
2100,,3.648531755121657e-14,1.0619260726018853e-12,1.5206746772711073e-11,1.928845909319958e-13,0.0,2.460365338640646e-13,2.1844278763216307e-13,9.605922163808397e-13,,7.956020101988298e-14,8.38076355060915e-13,7.921805103786263e-13,1.9066433242041856e-13,0.0,6.72484152948323e-14,1.4680645963147484e-13,7.175799619172585e-13
