Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.925660624129964e-11,1.4875751933800927e-13,1.0222589379587174e-12,4.884054427184208e-11,2.2552934457891282e-13,0.0,,3.793599173545272e-14,2.7312258600005485e-12,1.925660624129964e-11,1.4875751933800927e-13,1.0222589379587174e-12,4.884054427184208e-11,2.2552934457891282e-13,0.0,,3.793599173545272e-14,2.7312258600005485e-12
2010,1.9746274137846693e-11,1.5535002094469954e-13,1.021179106514096e-12,5.078538706889226e-11,2.292230263453198e-13,0.0,,4.3404244739022796e-14,2.9334061560933613e-12,1.9742917418847086e-11,1.5360681767519488e-13,1.020305116000367e-12,5.073834338399185e-11,2.292230263453198e-13,0.0,,4.272071038792862e-14,2.9334061560933613e-12
2020,2.0348117976423736e-11,1.8156185741698326e-13,9.9112826884232e-13,4.465637046986909e-11,2.1521743108945403e-13,0.0,,5.6619179200758347e-14,3.06419663075747e-12,2.0808231612008e-11,1.7778159453585916e-13,1.0222828170572918e-12,5.516379407890529e-11,2.4937892378058334e-13,0.0,,5.5138200220711715e-14,3.422058415655592e-12
2030,1.9743924682641503e-11,2.0821885882149613e-13,8.214040868958614e-13,3.570906946921577e-11,1.935878133774036e-13,0.0,,6.869490428079251e-14,2.823785897847139e-12,2.1817460315099206e-11,2.1938861729780696e-13,1.025907323090897e-12,6.099411478681612e-11,2.856121608616592e-13,0.0,,7.530237878005474e-14,4.145157835847835e-12
2040,1.8781716095470308e-11,2.3423240380192553e-13,6.407856864611871e-13,3.0448932016354026e-11,1.8188606657433152e-13,0.0,,7.632766819270528e-14,2.581996379582762e-12,2.2504942664236097e-11,2.6371911715226794e-13,1.029795274504228e-12,6.722211614167504e-11,3.2078087858242656e-13,0.0,,9.615008199929934e-14,5.0486092649724746e-12
2050,1.6782066735655898e-11,2.413050943109128e-13,4.196828328685665e-13,2.1430249257344247e-11,1.466430658622604e-13,0.0,,7.598590828555262e-14,1.926072430039014e-12,2.2502928136647274e-11,2.9755876533704425e-13,1.0234162989441647e-12,7.34558534420824e-11,3.304859877382272e-13,0.0,,1.0799796229563544e-13,5.934353567208834e-12
2060,1.5543453550950602e-11,2.307728806311975e-13,3.2820514617667357e-13,1.558124951222133e-11,1.1329507126063075e-13,0.0,,7.040372804453721e-14,1.6250714306188463e-12,2.2082445121387846e-11,3.3049071704021757e-13,1.0101154859791757e-12,7.854623221235202e-11,3.314929801792428e-13,0.0,,1.1323835840151669e-13,6.794361473190831e-12
2070,1.4950343880324813e-11,2.2200262267867416e-13,2.919910007450261e-13,1.3504115268596651e-11,9.650095162749901e-14,0.0,,6.641646613500452e-14,1.5971888616153444e-12,2.1359023798542094e-11,3.729774093547599e-13,9.888571960029103e-13,8.490534160287428e-11,3.265795455294091e-13,0.0,,1.1984584259197157e-13,7.602098342511763e-12
2080,1.4463025438982955e-11,2.1546852988980354e-13,2.7402618504542515e-13,1.2967066278587502e-11,8.573959938987317e-14,0.0,,6.334057366907148e-14,1.6608799996400489e-12,2.0201015286369886e-11,4.019486094057666e-13,9.56452794060286e-13,9.112591500748577e-11,3.140519346750756e-13,0.0,,1.2155466151011993e-13,8.187979778987276e-12
2090,1.3854130753845047e-11,2.134782109001093e-13,2.582159734325281e-13,1.2824538451678695e-11,7.731592755841887e-14,0.0,,6.026469089433102e-14,1.7200462035439973e-12,1.8788432014414805e-11,4.500235147287197e-13,9.157707956323158e-13,1.0273573673965064e-10,2.8710611634860154e-13,0.0,,1.2941527505132707e-13,8.554772036634035e-12
2100,1.3266057402191302e-11,2.1096865719311968e-13,2.4499071300507384e-13,1.2849402485539686e-11,7.019518811650476e-14,0.0,,5.753055833555059e-14,1.7684035489841786e-12,1.7322785043773257e-11,3.8976662524443443e-13,8.783782205625019e-13,1.0928717893410821e-10,2.6900606974741506e-13,0.0,,1.1004855081212906e-13,8.70395251838202e-12
