Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.0109847782027306e-11,2.7994054002263705e-11,1.9392146175634747e-12,5.187749919278053e-11,0.0,,6.090992390784259e-12,0.0,,1.0109847782027306e-11,2.7994054002263705e-11,1.9392146175634747e-12,5.187749919278053e-11,0.0,,6.090992390784259e-12,0.0
2010,,8.78947752569408e-12,2.809028242786401e-11,1.6699835183238119e-12,5.322570441497918e-11,0.0,,6.028129578373738e-12,0.0,,8.735812197770801e-12,2.783244522500318e-11,1.6745929596440678e-12,5.350360502253306e-11,0.0,,5.93214676635877e-12,0.0
2020,,6.781280689062706e-12,2.7998182295253593e-11,1.6089468367179006e-12,5.6802165702252775e-11,0.0,,5.905961008885781e-12,0.0,,5.721380538796746e-12,2.7183442337568954e-11,1.6144311213768347e-12,5.4945004474222277e-11,0.0,,5.76591040586544e-12,0.0
2030,,5.2020380554395486e-12,2.794401829732373e-11,1.668933148104704e-12,7.124140631858304e-11,0.0,,6.743438830303808e-12,0.0,,3.8137047833821165e-12,2.6557963773530244e-11,1.543840474454963e-12,5.898325403516197e-11,0.0,,5.22477467870028e-12,0.0
2040,,3.4083862361900472e-12,2.785383097354457e-11,1.4100956591081462e-12,4.742812226133192e-11,0.0,,4.98116724776262e-12,0.0,,2.369226168449473e-12,2.593875455828088e-11,1.729255317462365e-12,5.4951707988440247e-11,0.0,,4.36877442974265e-12,0.0
2050,,2.046441693943486e-12,2.7718113341501896e-11,9.225825410892689e-13,2.081967621270654e-11,0.0,,2.3841538612991493e-12,0.0,,1.3236517716782187e-12,2.527508184124975e-11,1.7416468639725493e-12,4.532825511586447e-11,0.0,,2.2574236086880867e-12,0.0
2060,,1.3208484585410406e-12,2.7507282609361906e-11,7.731227204056892e-13,1.9979040147913432e-11,0.0,,1.971846956356126e-12,0.0,,1.0745242374337631e-12,2.4491110567255392e-11,1.803586299551836e-12,3.633751772478626e-11,0.0,,2.0401847498806822e-12,0.0
2070,,9.139605583835749e-13,2.723419999759311e-11,7.23440395112795e-13,1.91035033850222e-11,0.0,,1.6534246039351606e-12,0.0,,8.899937738985607e-13,2.3679092206571894e-11,1.775791493988549e-12,2.6892129739688528e-11,0.0,,1.848127640992572e-12,0.0
2080,,6.483903652969357e-13,2.7097834838825447e-11,7.570579793102613e-13,1.809462077380124e-11,0.0,,1.3893802309767428e-12,0.0,,7.297184272107032e-13,2.2858040724027715e-11,1.6433820474529152e-12,1.7963929536949378e-11,0.0,,1.6053418681285836e-12,0.0
2090,,4.708837292776151e-13,2.724376900363998e-11,8.290671842406223e-13,1.702511378307247e-11,0.0,,1.1538936317928792e-12,0.0,,6.102444744436879e-13,2.205295412453037e-11,1.4762418475726391e-12,9.642384966209089e-12,0.0,,1.4485028632787473e-12,0.0
2100,,3.443921513579839e-13,2.7273004463130892e-11,8.836821715094749e-13,1.5947724829105195e-11,0.0,,9.483332027791432e-13,0.0,,5.207779428055862e-13,2.119249282579363e-11,1.2076930082922443e-12,3.0370578801686514e-12,0.0,,1.0684031251264865e-12,0.0
