Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,6.808076772987719e-13,2.8876977208705304e-12,5.622304648086706e-14,1.3569048724686246e-12,0.0,,3.768385703135756e-12,0.0,,6.808076772987719e-13,2.8876977208705304e-12,5.622304648086706e-14,1.3569048724686246e-12,0.0,,3.768385703135756e-12,0.0
2010,,6.391717001215711e-13,2.917649513452959e-12,5.08900449599913e-14,1.3995667272515763e-12,0.0,,3.7857994434078e-12,0.0,,6.294732215957302e-13,2.889416326198337e-12,5.090658836175024e-14,1.4073585346435344e-12,0.0,,3.722307962608802e-12,0.0
2020,,5.422052941157756e-13,2.9616780710340127e-12,5.291076703164275e-14,1.5444785460526203e-12,0.0,,3.722229632972386e-12,0.0,,4.294131899423309e-13,2.868814636105209e-12,5.12821546977944e-14,1.4817305329890966e-12,0.0,,3.663740627936363e-12,0.0
2030,,4.369228778810958e-13,3.0369312777892554e-12,5.6566195009890785e-14,1.9874547116835254e-12,0.0,,4.288477229865599e-12,0.0,,2.780892938280635e-13,2.876524130997884e-12,5.122659168636952e-14,1.6462353818617914e-12,0.0,,3.2184618697095425e-12,0.0
2040,,2.6745812009233483e-13,3.1325734233793926e-12,4.86028548415756e-14,1.3827073517050581e-12,0.0,,3.1631465425693246e-12,0.0,,1.668062798002733e-13,2.9107004134629517e-12,5.974980413276988e-14,1.6188135369640284e-12,0.0,,2.6946040482795687e-12,0.0
2050,,1.441067618996483e-13,3.2285162751161093e-12,3.2386802403676814e-14,6.275462627541106e-13,0.0,,1.513232654943132e-12,0.0,,8.753997568355052e-14,2.9495585512300703e-12,6.286649804784478e-14,1.4384090995198409e-12,0.0,,1.3907075126108303e-12,0.0
2060,,9.973669457168847e-14,3.313436885769187e-12,2.8380680238236027e-14,6.723504413906716e-13,0.0,,1.2372122924226924e-12,0.0,,6.687299879269887e-14,2.9774200046169563e-12,6.61465100846101e-14,1.2724352380591071e-12,0.0,,1.2478141755210746e-12,0.0
2070,,7.213250404720226e-14,3.399187259519892e-12,2.7881888896174893e-14,7.303796332061438e-13,0.0,,1.0193561656618636e-12,0.0,,5.465911936649809e-14,2.9941237995826696e-12,6.668227255868988e-14,1.0599412893640743e-12,0.0,,1.1135622402589376e-12,0.0
2080,,5.3459686436839287e-14,3.500420016956602e-12,3.0164681270173164e-14,7.968077285839531e-13,0.0,,8.414694783848063e-13,0.0,,4.658718395278095e-14,2.992398224244844e-12,6.354688822984098e-14,8.090717101431923e-13,0.0,,9.513184128509672e-13,0.0
2090,,4.056218334557125e-14,3.623103146182692e-12,3.3776222559585754e-14,8.722403301209024e-13,0.0,,6.863335676237299e-13,0.0,,4.1887815463350094e-14,2.9718522942318776e-12,5.872600093476263e-14,5.025139912223285e-13,0.0,,8.362537535057414e-13,0.0
2100,,3.128475513857296e-14,3.722567512505739e-12,3.703452332629973e-14,9.56541522621601e-13,0.0,,5.58841795294271e-13,0.0,,3.932746474018586e-14,2.9305961411126163e-12,4.932309439633535e-14,1.831431327801382e-13,0.0,,6.119896982471767e-13,0.0
