Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.289194411178017e-13,3.5267960284461156e-13,6.339141136942308e-12,2.20417361700294e-14,0.0,4.4167169506512574e-13,5.574596174143986e-13,6.578789684585433e-14,,2.289194411178017e-13,3.5267960284461156e-13,6.339141136942308e-12,2.20417361700294e-14,0.0,4.4167169506512574e-13,5.574596174143986e-13,6.578789684585433e-14
2010,,2.1192356954172384e-13,3.549440263380362e-13,5.967093286849192e-12,2.2041603926535717e-14,0.0,4.2950782442361517e-13,5.570152377874643e-13,7.218694169242599e-14,,2.0843047434148794e-13,3.516933049386171e-13,5.970355915349063e-12,2.2225886531489673e-14,0.0,4.2982060362326573e-13,5.475826568462582e-13,7.034948835894358e-14
2020,,1.8136439037183228e-13,3.561912847382345e-13,6.204352427932317e-12,2.3065261916000918e-14,0.0,4.2109614250957455e-13,5.7301174268876e-13,8.705899313197221e-14,,1.4012098448815752e-13,3.4583476258782036e-13,5.4141335162013805e-12,2.3634723143883087e-14,0.0,4.132946683775291e-13,5.418518150361862e-13,8.108261404927377e-14
2030,,1.5032577408413172e-13,3.592538573552666e-13,5.260560298282066e-12,2.454790336291859e-14,0.0,4.510956049819618e-13,6.594969961268779e-13,1.0315581639177099e-13,,9.139294951126612e-14,3.4145572932824795e-13,4.806831232669009e-12,2.6749612324220608e-14,0.0,3.8786396449698686e-13,4.884039527234882e-13,9.697643576723807e-14
2040,,1.0704516495927885e-13,3.6319033646671973e-13,4.936265978267873e-12,2.345103433814587e-14,0.0,2.936039345544896e-13,4.595288607365407e-13,1.1869959217496254e-13,,5.950891353349004e-14,3.38237119760707e-13,4.746957850880907e-12,3.1030733538273125e-14,0.0,4.136418827457311e-13,3.954651753054201e-13,1.1296118914866365e-13
2050,,7.075167971838283e-14,3.670656620378776e-13,4.363141304821526e-12,2.055780859031041e-14,0.0,8.582304543999844e-14,1.853214476081065e-13,1.3244796805566333e-13,,3.6788796763966483e-14,3.35015357093395e-13,4.5477566240335514e-12,3.393109784175786e-14,0.0,4.036384662815124e-13,1.8917694184123114e-13,1.2392786722087908e-13
2060,,4.908020717960177e-14,3.702219563967866e-13,3.995871562549787e-12,2.246287205819136e-14,0.0,9.046991066942694e-14,1.5128669161137758e-13,1.4632040389149813e-13,,3.400182736680153e-14,3.3037191982276367e-13,3.728824590072327e-12,3.611959801174954e-14,0.0,3.5992360063951644e-13,1.645900344267047e-13,1.3214028152702451e-13
2070,,3.480246059368264e-14,3.7261067840223576e-13,3.770260967736393e-12,2.557884511657515e-14,0.0,9.54406479939174e-14,1.2430556501088023e-13,1.6072042384888169e-13,,3.2279086188556414e-14,3.2514843665873595e-13,2.8839860245822244e-12,3.775643277929347e-14,0.0,3.0162266140957133e-13,1.3840095819104746e-13,1.390440868239408e-13
2080,,2.5154978789220072e-14,3.767514037001698e-13,3.6767111527732315e-12,2.942868658859722e-14,0.0,1.0009444693123043e-13,1.0272848839649305e-13,1.7355022086439303e-13,,3.020409761032014e-14,3.19046275862476e-13,1.990494797720612e-12,3.860542822971781e-14,0.0,2.2559827283139412e-13,1.0770417318345307e-13,1.4281227960715635e-13
2090,,1.8900919485900716e-14,3.8425910020750046e-13,3.617224772493862e-12,3.3842652874579844e-14,0.0,1.0382857793928841e-13,8.423416320046834e-14,1.8512170288643016e-13,,2.846477932119022e-14,3.1237518799832793e-13,1.118599732024632e-12,3.743342415645497e-14,0.0,1.2846494960647213e-13,8.147028455450455e-14,1.454008707987464e-13
2100,,1.4655577915918846e-14,3.8985074925794536e-13,3.558259815345041e-12,3.861300241099334e-14,0.0,1.0726017732195148e-13,6.961377890843245e-14,1.9561430618485508e-13,,2.7025446321949325e-14,3.0414200887066444e-13,1.8369818206021851e-13,3.830451204935364e-14,0.0,2.1459258033553213e-14,4.804628605782282e-14,1.459580878349192e-13
