Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,5.181475867367682e-13,7.383748165534208e-13,5.154579448489323e-13,2.2134229457740592e-12,8.013099152905284e-13,0.0,,1.3103467769840011e-12,0.0,5.181475867367682e-13,7.383748165534208e-13,5.154579448489323e-13,2.2134229457740592e-12,8.013099152905284e-13,0.0,,1.3103467769840011e-12,0.0
2010,5.192088177133315e-13,7.521778591618097e-13,5.206219725072772e-13,2.102715140652327e-12,7.823511420641927e-13,0.0,,1.3591161339181985e-12,0.0,5.132846231157062e-13,7.512643945237551e-13,5.156257893068448e-13,2.109930620528448e-12,7.938517020853745e-13,0.0,,1.3361171689512627e-12,0.0
2020,5.213914781067454e-13,9.110679068353216e-13,5.264621550811364e-13,1.5021257899424862e-12,8.101363858848795e-13,0.0,,1.4419213154442687e-12,0.0,5.004807453115563e-13,7.920844683986191e-13,5.105328432196982e-13,1.6506872076125281e-12,7.419950559289633e-13,0.0,,1.3725923952558646e-12,0.0
2030,5.190883489969099e-13,1.0054185457873226e-12,5.362916696154966e-13,1.3869417494852351e-12,8.358937755637261e-13,0.0,,1.6542948038788934e-12,0.0,4.858802888769073e-13,8.506949054386396e-13,5.089951969018657e-13,1.1364335548306504e-12,7.323696270376289e-13,0.0,,1.343371296513391e-12,0.0
2040,5.106782389752363e-13,8.739182137576238e-13,5.48146021186098e-13,1.0935873508742882e-12,6.506065681526606e-13,0.0,,1.3394621333588104e-12,0.0,4.695283667240505e-13,7.987667826138687e-13,5.097707367125324e-13,9.922618821356194e-13,5.974938362830772e-13,0.0,,1.220676387174697e-12,0.0
2050,4.922775584488883e-13,6.256483522783408e-13,5.591553676814054e-13,6.960877828347606e-13,3.8175882527803367e-13,0.0,,8.288254873393331e-13,0.0,4.4610499556950653e-13,6.392345942986795e-13,5.1040569376945e-13,7.21815504308549e-13,3.5230777998739974e-13,0.0,,8.452659830922779e-13,0.0
2060,4.675905947350978e-13,5.050412440963073e-13,5.681400926480146e-13,4.726533697662532e-13,2.856647123458707e-13,0.0,,6.948475369259831e-13,0.0,4.177643888110405e-13,6.207411736930824e-13,5.084253949587193e-13,7.220473904245948e-13,3.422241820600861e-13,0.0,,8.653606247408316e-13,0.0
2070,4.4366203798232184e-13,4.2228753295504073e-13,5.759472844007989e-13,2.889214443736059e-13,2.3392506882623443e-13,0.0,,5.957647115134725e-13,0.0,3.868797155098959e-13,5.979863428542081e-13,5.041853558901025e-13,7.213638004988538e-13,3.226514637622549e-13,0.0,,8.800427226162756e-13,0.0
2080,4.2123186925666623e-13,3.628549346392625e-13,5.859175253606034e-13,1.7374645523315233e-13,2.0375532383934565e-13,0.0,,5.225256224686206e-13,0.0,3.5355158177063315e-13,5.515132547064008e-13,4.978904164830244e-13,7.075453131832315e-13,2.984319179498219e-13,0.0,,8.732005736401206e-13,0.0
2090,3.998482410767402e-13,3.240244263994693e-13,5.998473582400025e-13,1.2707985029139718e-13,1.8398157292201183e-13,0.0,,4.594778492045556e-13,0.0,3.1977167238582746e-13,5.140972661416572e-13,4.894775407812183e-13,7.188529939536128e-13,2.5293339082845104e-13,0.0,,8.69462307966975e-13,0.0
2100,3.7838146290321974e-13,2.903925886555248e-13,6.105488162925055e-13,1.097225764719273e-13,1.659106728130237e-13,0.0,,4.096615207095431e-13,0.0,2.88093428476269e-13,4.409667210625258e-13,4.781378571407318e-13,6.826796218806173e-13,2.429192581657645e-13,0.0,,8.062231999228329e-13,0.0
