Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.700309511204117e-13,1.279826598773568e-12,2.510528166964312e-11,6.698297691340045e-14,0.0,1.4562755545112758e-12,1.6382415033445012e-12,2.2946625368375817e-13,,2.700309511204117e-13,1.279826598773568e-12,2.510528166964312e-11,6.698297691340045e-14,0.0,1.4562755545112758e-12,1.6382415033445012e-12,2.2946625368375817e-13
2010,,2.4644939742945737e-13,1.2901308764247025e-12,2.3544241577025275e-11,6.61031987981288e-14,0.0,1.4112402249352162e-12,1.6047412868323176e-12,2.4824762828445115e-13,,2.437230115055752e-13,1.2782521006659175e-12,2.3557942109879143e-11,6.651609778089998e-14,0.0,1.4124772382308517e-12,1.578458561599988e-12,2.4191156285462336e-13
2020,,2.151763077003509e-13,1.2982412872901975e-12,2.4425974309792137e-11,6.89609320796032e-14,0.0,1.3112746087915752e-12,1.601760673843787e-12,2.961658920552707e-13,,1.7733422480558055e-13,1.2602777658950631e-12,2.122864003998648e-11,6.999773886798332e-14,0.0,1.2771180999757375e-12,1.5278650051518902e-12,2.7573593862909217e-13
2030,,1.9129182224007627e-13,1.313764726612708e-12,2.0548748798366213e-11,7.656735161783272e-14,0.0,1.3790936831351675e-12,1.8357656600504733e-12,3.5346261307338317e-13,,1.3718014107379646e-13,1.2483339068583548e-12,1.868316034251379e-11,8.001529271291174e-14,0.0,1.1041197073415458e-12,1.3596307659303897e-12,3.3136669654660045e-13
2040,,1.4727696577654909e-13,1.332175248650177e-12,1.9462878126076734e-11,7.588624002883349e-14,0.0,8.523234241036835e-13,1.2713627555378911e-12,4.1422967001206335e-13,,1.1320882403273788e-13,1.240199646491457e-12,1.8403364888301094e-11,9.748012275519752e-14,0.0,1.1558544480645835e-12,1.0625301997030608e-12,3.930614057032358e-13
2050,,1.0301779559534157e-13,1.3491657196523312e-12,1.741227155989835e-11,7.015231165305205e-14,0.0,1.4649209628517566e-13,4.987930698260157e-13,4.727439906879979e-13,,9.141196013950508e-14,1.2309460399472892e-12,1.760540309819541e-11,1.1306409275879005e-13,0.0,1.1063722640146723e-12,4.4801834337027603e-13,4.415086147788804e-13
2060,,8.157904238186512e-14,1.362068587254471e-12,1.597739705376004e-11,8.238073942053835e-14,0.0,1.5726533630839082e-13,4.1310648061694675e-13,5.363436069333098e-13,,9.483666233788618e-14,1.215408951813735e-12,1.4487796274861333e-11,1.2960501502667674e-13,0.0,1.0403633093588516e-12,4.0138193642295476e-13,4.839692398232608e-13
2070,,6.79669574153533e-14,1.3713783694314605e-12,1.5110768238965717e-11,9.938766083179243e-14,0.0,1.7350629003567068e-13,3.46594639110017e-13,6.060125261883949e-13,,9.883679661396907e-14,1.196778037395836e-12,1.1279533761232295e-11,1.4403760904445147e-13,0.0,9.232677888328688e-13,3.5121494123789327e-13,5.242769804330568e-13
2080,,5.801636355986707e-14,1.3864233820089691e-12,1.4805579674657347e-11,1.1965206854718167e-13,0.0,1.9254927283435327e-13,2.9227993187946365e-13,6.730487334648654e-13,,9.958920528170924e-14,1.1740776222115172e-12,7.85657861066479e-12,1.5495962110804187e-13,0.0,7.283749073885585e-13,2.846919651745858e-13,5.540508919407195e-13
2090,,5.1420665417858685e-14,1.4128836854565604e-12,1.4684778214589634e-11,1.427083674999813e-13,0.0,2.11365344149436e-13,2.445519971868546e-13,7.382156283151441e-13,,9.97416589092738e-14,1.1486575018371427e-12,4.474889993764968e-12,1.562601372929538e-13,0.0,4.279810985639532e-13,2.267860222919577e-13,5.802903360748714e-13
2100,,4.604789176587558e-14,1.4317914552311018e-12,1.4605827744645662e-11,1.6765725369359463e-13,0.0,2.3057726690270693e-13,2.041580176420175e-13,8.016131344032393e-13,,9.95800641701024e-14,1.1171821223612007e-12,7.605843055552559e-13,1.65762170157077e-13,0.0,6.111871137163364e-14,1.3709535681466905e-13,5.987810269182596e-13
