Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.3349625520039067e-12,2.6768609259033693e-16,1.0279333746368927e-12,0.0,9.715030756068267e-15,,,,0.0,2.3349625520039067e-12,2.6768609259033693e-16,1.0279333746368927e-12,0.0,9.715030756068267e-15,,,,0.0
2010,2.3785313303530734e-12,2.6873180656954867e-16,1.0423336321911414e-12,0.0,1.0386524268203623e-14,,,,0.0,2.3810498239337256e-12,2.6873180656954867e-16,1.0465354737276792e-12,0.0,1.0386524268203623e-14,,,,0.0
2020,2.44401055151098e-12,2.71259571790674e-16,1.059773523222756e-12,0.0,1.238220556537238e-14,,,,0.0,2.4428771971609055e-12,2.71259571790674e-16,1.0694287157786904e-12,0.0,1.2431148064951592e-14,,,,0.0
2030,2.494882864527695e-12,3.443396977868131e-16,1.0759417555333152e-12,0.0,1.4827018419249868e-14,,,,0.0,2.4967715735192794e-12,3.443396977868131e-16,1.0905044965443803e-12,0.0,1.5904413297543438e-14,,,,0.0
2040,2.509615503915233e-12,3.519370624983439e-16,1.0884731309463656e-12,0.0,1.71976594086714e-14,,,,0.0,2.5515476805411293e-12,3.519370624983439e-16,1.1081353217571443e-12,0.0,2.0027652655876808e-14,,,,0.0
2050,2.4509362476638686e-12,2.894472698425178e-16,1.0990867824648293e-12,0.0,1.8973593114069517e-14,,,,0.0,2.5837835601651714e-12,3.618090873031473e-16,1.1214907204154774e-12,0.0,2.3312064116162748e-14,,,,0.0
2060,2.3291700490071877e-12,2.241262337422226e-16,1.107638763931031e-12,0.0,2.0344673213695647e-14,,,,0.0,2.585168538201844e-12,3.7354369666771716e-16,1.1273607576807769e-12,0.0,2.645418669361481e-14,,,,0.0
2070,2.229440185599498e-12,2.3219395723290206e-16,1.1119648859687645e-12,0.0,2.240638356443422e-14,,,,0.0,2.5651469655785927e-12,3.8698988936752256e-16,1.131147363716562e-12,0.0,2.9404367628007354e-14,,,,0.0
2080,2.1729014232202205e-12,1.605761858112598e-16,1.1216687590841814e-12,0.0,2.4573471912285517e-14,,,,0.0,2.5306443772544015e-12,3.211523716225196e-16,1.1352951246977806e-12,0.0,3.189179863932513e-14,,,,0.0
2090,2.138776834604595e-12,1.665978171294577e-16,1.1455938033247569e-12,0.0,2.6456090796624368e-14,,,,0.0,2.4825425038927474e-12,3.331956342589154e-16,1.1407629831686785e-12,0.0,3.2405213821844904e-14,,,,0.0
2100,2.096089303337189e-12,1.7264992810582582e-16,1.1661677874624023e-12,0.0,2.828309526488621e-14,,,,0.0,2.4234852479328174e-12,2.5897489215873873e-16,1.1428373069425284e-12,0.0,3.424508609734996e-14,,,,0.0
