Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.834320799839058e-13,1.2731221038075673e-11,2.6003068381721433e-11,6.082732623701284e-14,0.0,1.2524448910927934e-12,1.2736521254884772e-12,2.1764437398921114e-13,,2.834320799839058e-13,1.2731221038075673e-11,2.6003068381721433e-11,6.082732623701284e-14,0.0,1.2524448910927934e-12,1.2736521254884772e-12,2.1764437398921114e-13
2010,,2.4828141156236355e-13,1.2756347944076188e-11,2.4369366859200895e-11,5.976834272512129e-14,0.0,1.213165321376985e-12,1.2384887227483948e-12,2.272500397176585e-13,,2.4624232880611957e-13,1.264468828091104e-11,2.4383634454170858e-11,6.012231950444722e-14,0.0,1.2142532190456878e-12,1.2184623143079769e-12,2.2144790538508117e-13
2020,,2.0384262940635005e-13,1.2649080492450061e-11,2.525469021244554e-11,6.191924367873651e-14,0.0,1.11825604231237e-12,1.2220121264964767e-12,2.5276973496757867e-13,,1.7335229843650621e-13,1.2303631636399926e-11,2.1940012218778407e-11,6.27583335168805e-14,0.0,1.0879142716757483e-12,1.1695684952882481e-12,2.3532248946402245e-13
2030,,1.6841267239416667e-13,1.2535495529276766e-11,2.118461889073203e-11,6.794055134979588e-14,0.0,1.1680240964789658e-12,1.3982310772004321e-12,2.737086621074383e-13,,1.292238649218138e-13,1.1944761130996273e-11,1.9251656369088265e-11,7.055610381084065e-14,0.0,9.249453794128349e-13,1.0356126522983292e-12,2.565072171606408e-13
2040,,1.175959108271592e-13,1.2388349994963439e-11,1.9976754269745868e-11,6.449546482682179e-14,0.0,7.03552159060219e-13,9.660225029666271e-13,2.8593737581353954e-13,,1.0067682722982776e-13,1.1556846062911086e-11,1.8857318046253846e-11,8.249835579750278e-14,0.0,9.483016509576008e-13,7.978410027822884e-13,2.712264371555395e-13
2050,,7.293274675458993e-14,1.2236839329687232e-11,1.769265855016589e-11,5.4998952558994176e-14,0.0,1.0328940767823856e-13,3.748084722201053e-13,2.889102750139987e-13,,7.48923911392443e-14,1.1147644372431717e-11,1.783462137802727e-11,8.835962814418674e-14,0.0,8.680170919607435e-13,3.1774325054523064e-13,2.697596532117897e-13
2060,,5.2422076560667506e-14,1.2071112651490845e-11,1.5929705306401736e-11,5.796966052979938e-14,0.0,1.0425014350468416e-13,3.1225107194382954e-13,2.9063543263914164e-13,,6.876593466865672e-14,1.0686859342618158e-11,1.4403229969867505e-11,9.095547465027535e-14,0.0,7.698933646281706e-13,2.8874180723343795e-13,2.622291172267197e-13
2070,,3.993551305336609e-14,1.1857266368603192e-11,1.4656058097327383e-11,6.202786822185362e-14,0.0,1.0690113847571651e-13,2.6416092543880567e-13,2.9317220157883824e-13,,6.350547230651493e-14,1.0228561857155384e-11,1.0913516027569408e-11,8.970410621208397e-14,0.0,6.325346779931558e-13,2.573291851836273e-13,2.536306716172372e-13
2080,,3.1246879453716145e-14,1.1701844494402193e-11,1.3834969870677444e-11,6.602153790396466e-14,0.0,1.0897701374090721e-13,2.2451000526303605e-13,2.931970858880109e-13,,5.702783476340115e-14,9.79229377560366e-12,7.326976130072495e-12,8.538362596104542e-14,0.0,4.550252491796698e-13,2.123200183927484e-13,2.4136873181735e-13
2090,,2.5481925502920842e-14,1.1693903437838107e-11,1.3083663130525126e-11,6.992053639040957e-14,0.0,1.0892007199376401e-13,1.8927960630595033e-13,2.923053612023881e-13,,5.1337211352312603e-14,9.391350371294544e-12,3.9812280111064136e-12,7.647914364721588e-14,0.0,2.41084748454209e-13,1.7273605413550552e-13,2.2979319596586353e-13
2100,,2.102789861977089e-14,1.1643080933738215e-11,1.22701058831435e-11,7.343564655342593e-14,0.0,1.0766335393283143e-13,1.586037210015551e-13,2.9094162046277515e-13,,4.6452537319844415e-14,8.97713361602503e-12,6.394855606937898e-13,7.258103172725156e-14,0.0,3.010619581824748e-14,1.0542325230172048e-13,2.1734979212677885e-13
