Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,3.4576698671075e-12,4.234195079567209e-14,2.1827626983493767e-12,9.84532898308844e-12,2.040475039688248e-14,0.0,,8.508048898879126e-15,7.505541170109359e-13,3.4576698671075e-12,4.234195079567209e-14,2.1827626983493767e-12,9.84532898308844e-12,2.040475039688248e-14,0.0,,8.508048898879126e-15,7.505541170109359e-13
2010,3.545593493191213e-12,4.354982669802497e-14,2.173880075615348e-12,1.0221159266397909e-11,2.075692808721609e-14,0.0,,9.73443419590355e-15,7.866071842226909e-13,3.544990417360918e-12,4.306115090215716e-14,2.171576614400359e-12,1.0211693860429657e-11,2.075692808721609e-14,0.0,,9.581136525105783e-15,7.866071842226909e-13
2020,3.65365877867938e-12,4.897712396773175e-14,2.088349801915989e-12,8.934642887906608e-12,1.9515620761741598e-14,0.0,,1.2698199428004133e-14,7.785476694350155e-13,3.736275807037234e-12,4.7957384329247806e-14,2.1594637793283683e-12,1.10369216283891e-11,2.2613339008476e-14,0.0,,1.2366053601132909e-14,8.694727549555438e-13
2030,3.545171541358893e-12,5.276863202858484e-14,1.6797793434836549e-12,7.053163021740853e-12,1.7580127937488486e-14,0.0,,1.5406467013525316e-14,6.625068067156426e-13,3.917490367011322e-12,5.559937056742434e-14,2.1503336204637737e-12,1.2047401008988613e-11,2.5937058706734717e-14,0.0,,1.6888350612236187e-14,9.725225827738556e-13
2040,3.3723993721793106e-12,5.475808733099624e-14,1.2530066779381478e-12,5.893381787951223e-12,1.6538264023615304e-14,0.0,,1.7118298428646942e-14,5.500488869349174e-13,4.040933415342387e-12,6.165139626573717e-14,2.14387135100639e-12,1.3010819679106838e-11,2.9167483299381355e-14,0.0,,2.156394529413723e-14,1.0755173187094495e-12
2050,3.013347208548936e-12,5.156023728144609e-14,7.490625273461299e-13,4.0369604269053205e-12,1.3343793016243807e-14,0.0,,1.7041648283033952e-14,3.704115312561591e-13,4.0405715027612485e-12,6.358011004220728e-14,2.121911240203748e-12,1.3837374348058855e-11,3.007258968532741e-14,0.0,,2.4221110598892918e-14,1.1412618919725979e-12
2060,2.7909448837279044e-12,4.498695600331256e-14,5.450991286411797e-13,2.841488373899884e-12,1.0310998498876177e-14,0.0,,1.5789711190519725e-14,2.82651964941908e-13,3.965070635034948e-12,6.44259790280054e-14,2.091078065989192e-12,1.4324151130083539e-11,3.0169215355196236e-14,0.0,,2.5396398856008265e-14,1.181757109088395e-12
2070,2.6844476624814658e-12,3.965996872553991e-14,4.639596444529185e-13,2.373444341365774e-12,8.777473466295301e-15,0.0,,1.4895473030580634e-14,2.530970565723209e-13,3.8351745411538045e-12,6.663108509050591e-14,2.044710490214971e-12,1.4922720326976947e-11,2.9704817826707485e-14,0.0,,2.687828245471913e-14,1.2046595678027245e-12
2080,2.5969459882300728e-12,3.550475833107927e-14,4.236547333155495e-13,2.1868384914260334e-12,7.78609144680856e-15,0.0,,1.4205630891562487e-14,2.419149766376102e-13,3.627245533137633e-12,6.623281668836117e-14,1.9823248447235307e-12,1.5367984830324982e-11,2.851934134470604e-14,0.0,,2.7261527941927646e-14,1.1926176729632742e-12
2090,2.487614008707919e-12,3.269738877102943e-14,3.915174243887216e-13,2.067040898969029e-12,7.000340980144464e-15,0.0,,1.3515790062758447e-14,2.3246862642330943e-13,3.3736055238399006e-12,6.892784325012994e-14,1.905835509549023e-12,1.6558798642434346e-11,2.599517194317994e-14,0.0,,2.9024455086744235e-14,1.1561992551685672e-12
2100,2.382021401206924e-12,3.0268584613402465e-14,3.642771297765913e-13,1.973502093533277e-12,6.3269387526178724e-15,0.0,,1.2902596759139186e-14,2.2376475882015247e-13,3.110437386004245e-12,5.592149980745733e-14,1.839457253854071e-12,1.6785094965504436e-11,2.4246463241838646e-14,0.0,,2.468100885214263e-14,1.1013536507761646e-12
