Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.0264863816279678e-12,6.253794125723428e-11,2.019270324966976e-13,4.908133986514073e-12,0.0,,3.6945475212222585e-12,0.0,,1.0264863816279678e-12,6.253794125723428e-11,2.019270324966976e-13,4.908133986514073e-12,0.0,,3.6945475212222585e-12,0.0
2010,,8.952371405452854e-13,6.266862960089914e-11,1.7593121068732114e-13,5.043806929686188e-12,0.0,,3.656416894670768e-12,0.0,,8.897712207841702e-13,6.212176929293876e-11,1.764168494068919e-13,5.070141352747335e-12,0.0,,3.5981979396697818e-12,0.0
2020,,6.945249595308396e-13,6.215098526464176e-11,1.7314636632817693e-13,5.399424445651258e-12,0.0,,3.5823147067066094e-12,0.0,,5.8597214861479e-13,6.04620241084126e-11,1.7373653916995865e-13,5.222889257706338e-12,0.0,,3.497365539167421e-12,0.0
2030,,5.365855879798764e-13,6.161572762582575e-11,1.8456302699637625e-13,6.801414751977527e-12,0.0,,4.090294736012767e-12,0.0,,3.9338023439567383e-13,5.872159690357365e-11,1.7072934623621679e-13,5.6311289971349605e-12,0.0,,3.1691346425258085e-12,0.0
2040,,3.544429771504223e-13,6.092489118104534e-11,1.60346014747206e-13,4.550163871064194e-12,0.0,,3.021372343318477e-12,0.0,,2.4637918006547977e-13,5.684245823278914e-11,1.9663856813406136e-13,5.27196145080958e-12,0.0,,2.649919894123029e-12,0.0
2050,,2.146669045945483e-13,6.022940722864281e-11,1.0756518200486867e-13,2.006938422096508e-12,0.0,,1.4461302246328018e-12,0.0,,1.3884793784680578e-13,5.486726749338954e-11,2.030610280460569e-13,4.3694725581953665e-12,0.0,,1.3692609483310606e-12,0.0
2060,,1.3974764615063625e-13,5.947045206071284e-11,9.200732237185533e-14,1.933828726558292e-12,0.0,,1.196041838915734e-12,0.0,,1.136861878554196e-13,5.2639372552015096e-11,2.1464011333651446e-13,3.51721303978257e-12,0.0,,1.2374926528282554e-12,0.0
2070,,9.752403651342124e-14,5.847249908164736e-11,8.760165931022937e-14,1.8557351023424607e-12,0.0,,1.0028997605527683e-12,0.0,,9.496667676816901e-14,5.042551673297259e-11,2.1503122796964198e-13,2.6123306270765957e-12,0.0,,1.1209986446991336e-12,0.0
2080,,6.972666506781978e-14,5.7757630836483756e-11,9.294292006046976e-14,1.762685331701241e-12,0.0,,8.427412846117992e-13,0.0,,7.84725381352062e-14,4.8322669799800156e-11,2.0175565649166905e-13,1.749954327132458e-12,0.0,,9.737346880473415e-13,0.0
2090,,5.098661506424785e-14,5.777305991779275e-11,1.0287043330295607e-13,1.6617502942666943e-12,0.0,,6.999047196123625e-13,0.0,,6.607639284670718e-14,4.639082538726413e-11,1.831716844332272e-13,9.411530802764068e-13,0.0,,8.786026622590305e-13,0.0
2100,,3.750355546006448e-14,5.757242819440611e-11,1.1051805870264364e-13,1.5581101363809082e-12,0.0,,5.752201752849932e-13,0.0,,5.67115851174902e-14,4.43841834718606e-11,1.5104060164382967e-13,2.9672385310820065e-13,0.0,,6.48049673675416e-13,0.0
