Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.4010312296008808e-13,1.5958327098513133e-13,3.54236411939028e-12,3.103723429658008e-13,1.517744263601628e-13,0.0,,5.784297176852227e-13,0.0,1.4010312296008808e-13,1.5958327098513133e-13,3.54236411939028e-12,3.103723429658008e-13,1.517744263601628e-13,0.0,,5.784297176852227e-13,0.0
2010,1.3993522688372437e-13,1.601949418199597e-13,3.5499679731571233e-12,3.030382255973305e-13,1.4871755010753199e-13,0.0,,5.895635188505658e-13,0.0,1.383402980119717e-13,1.6000390212163255e-13,3.518818670483138e-12,3.0410509625762554e-13,1.5089561859174682e-13,0.0,,5.821072056737394e-13,0.0
2020,1.3985128932725534e-13,1.879965426366945e-13,3.520607102255737e-12,2.278188757146437e-13,1.5524018374919468e-13,0.0,,6.265220802716421e-13,0.0,1.3422702233017885e-13,1.6341560531751874e-13,3.42495350643622e-12,2.512037867078388e-13,1.4223436963302082e-13,0.0,,6.196208366802769e-13,0.0
2030,1.3884395479592438e-13,1.974441716199624e-13,3.49020040797345e-12,2.2702677267488807e-13,1.6195561801694268e-13,0.0,,7.183054922936858e-13,0.0,1.2994585057202225e-13,1.6706230851540737e-13,3.326830922192453e-12,1.8611972906138028e-13,1.4189439527686787e-13,0.0,,6.681195123834501e-13,0.0
2040,1.365774521004297e-13,1.608433196131741e-13,3.451735372855326e-12,1.9429250923806718e-13,1.2660254055245475e-13,0.0,,6.108988357138967e-13,0.0,1.254968037009276e-13,1.470394593260609e-13,3.2203367196793147e-12,1.7612799436428784e-13,1.1621350701165585e-13,0.0,,6.782287890083952e-13,0.0
2050,1.3196051963468418e-13,1.0677912691342501e-13,3.413113028190814e-12,1.322492803418726e-13,7.344831775341216e-14,0.0,,4.1554494823306567e-13,0.0,1.1936886943818562e-13,1.0915034192024905e-13,3.109316429705665e-12,1.367768666873207e-13,6.768822348042362e-14,0.0,,5.955507990086303e-13,0.0
2060,1.2574862685204745e-13,7.944831222915852e-14,3.3711942267631544e-12,9.365465980783683e-14,5.328653346029488e-14,0.0,,3.686363064417463e-13,0.0,1.1198176701127993e-13,9.77105795569376e-14,2.983425188668638e-12,1.427788107616563e-13,6.380735357670383e-14,0.0,,6.582141679636324e-13,0.0
2070,1.1978858866566925e-13,6.110382110496072e-14,3.315736071072045e-12,5.853388854514994e-14,4.162710846130265e-14,0.0,,3.424446443095592e-13,0.0,1.0392310124234503e-13,8.657925207582616e-14,2.8580746363070476e-12,1.460221566858137e-13,5.739495610904018e-14,0.0,,7.138804485450079e-13,0.0
2080,1.1416432166859275e-13,4.829289347572841e-14,3.2760125595828056e-12,3.536425359080978e-14,3.40757182876804e-14,0.0,,3.267713390912624e-13,0.0,9.510895553833763e-14,7.343621137507527e-14,2.73965526330871e-12,1.440680195148361e-13,4.988938936355148e-14,0.0,,7.502701045196668e-13,0.0
2090,1.0870791930274145e-13,3.973228992374759e-14,3.2775853196318887e-12,2.5668601077328566e-14,2.8588877027724966e-14,0.0,,3.129168626128169e-13,0.0,8.612690327625363e-14,6.305899072465356e-14,2.6310196049343282e-12,1.4541729896433497e-13,3.927360492875977e-14,0.0,,7.763727559463673e-13,0.0
2100,1.0308367326909067e-13,3.287371738537758e-14,3.266814143804159e-12,2.177899728638002e-14,2.3751545585971184e-14,0.0,,2.998334838215843e-13,0.0,7.773246631801697e-14,4.9927411776899547e-14,2.5177436503562667e-12,1.3573272038047535e-13,3.4760475485754233e-14,0.0,,7.665480368617597e-13,0.0
