Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.9140040790822842e-12,4.0116781210195525e-14,4.747015105929203e-13,1.2146268831720539e-11,2.631239715867893e-14,4.528669516230925e-21,,9.375563844807767e-15,7.518219034642687e-13,1.9140040790822842e-12,4.0116781210195525e-14,4.747015105929203e-13,1.2146268831720539e-11,2.631239715867893e-14,4.528669516230925e-21,,9.375563844807767e-15,7.518219034642687e-13
2010,1.962674324704764e-12,4.1510075434080025e-14,4.728743348449287e-13,1.2604352010403784e-11,2.67457230224734e-14,4.528669516230925e-21,,1.07269966101405e-14,7.905892121552342e-13,1.9623406541170365e-12,4.1044288032022287e-14,4.723079180462556e-13,1.2592679686396788e-11,2.67457230224734e-14,4.528669516230925e-21,,1.0558067300098783e-14,7.905892121552342e-13
2020,2.0224942169201727e-12,4.7268877174052866e-14,4.5460202856470396e-13,1.101296809555158e-11,2.510855051637997e-14,4.528669516230925e-21,,1.3992958697611021e-14,7.881966623291562e-13,2.068227283290159e-12,4.6284699860342576e-14,4.698196574463297e-13,1.360426529488732e-11,2.909403782866425e-14,4.528669516230925e-21,,1.3626945764187634e-14,8.802486942787642e-13
2030,1.962440535773232e-12,5.1854083173746265e-14,3.6650048075768736e-13,8.69354130069348e-12,2.256936296280176e-14,4.528669516230925e-21,,1.6977372506679008e-14,6.781490292150016e-13,2.168538979406756e-12,5.463575985875185e-14,4.681437859434636e-13,1.4849307042403152e-11,3.3297988823858887e-14,4.528669516230925e-21,,1.8610351835413303e-14,9.954844659918291e-13
2040,1.866802203565927e-12,5.500972610914987e-14,2.744739131424063e-13,7.2657227079451415e-12,2.1169546590247814e-14,4.528669516230925e-21,,1.8863746657976362e-14,5.711072851519972e-13,2.2368714229714308e-12,6.193471478523385e-14,4.671906295672061e-13,1.604053913916501e-11,3.733538578534818e-14,4.528669516230925e-21,,2.3762689789182145e-14,1.1166930509852732e-12
2050,1.6680479154243149e-12,5.3064606314801496e-14,1.6555243198183858e-13,4.978165844617457e-12,1.701620870352873e-14,0.0,,1.8779281145455017e-14,3.909842735725709e-13,2.2366712206187946e-12,6.543516895463251e-14,4.629422017369882e-13,1.706351872014593e-11,3.8349033675638974e-14,4.528669516230925e-21,,2.669079325656924e-14,1.2046478495897268e-12
2060,1.5449363104802087e-12,4.74429326219786e-14,1.2161888182428175e-13,3.50344019187863e-12,1.3086325152527812e-14,0.0,,1.7399694924282806e-14,3.036403445918001e-13,2.1948772233449764e-12,6.794320694568557e-14,4.568020043624375e-13,1.7661099912672477e-11,3.8289615752209715e-14,4.528669516230925e-21,,2.7985917395222042e-14,1.2695084726411128e-12
2070,1.4859844008331379e-12,4.2821498941903054e-14,1.0441755934660578e-13,2.9249445179298333e-12,1.1076964852036944e-14,0.0,,1.641427423487298e-14,2.7679275908701756e-13,2.122972967850756e-12,7.194263721581433e-14,4.4738522218443976e-13,1.8390205270076133e-11,3.7486782640525916e-14,9.05733903246185e-21,,2.961889672395633e-14,1.3174434356099136e-12
2080,1.4375475051019434e-12,3.917731054163775e-14,9.612360202032317e-14,2.6930478498619102e-12,9.761295859325353e-15,0.0,,1.5654093197185757e-14,2.6918298424566445e-13,2.007873298614264e-12,7.308383315786525e-14,4.3438510327041277e-13,1.8925363720282874e-11,3.5754233785772585e-14,9.05733903246185e-21,,3.004121914156013e-14,1.3270462336525662e-12
2090,1.3770265753721223e-12,3.6794097180812556e-14,8.956303046926476e-14,2.543494497241352e-12,8.711471738681364e-15,0.0,,1.489391215949854e-14,2.629253436050388e-13,1.8674699837816284e-12,7.756392331841919e-14,4.1824258122843077e-13,2.0375608488848455e-11,3.2349308600119705e-14,9.05733903246185e-21,,3.198390363453837e-14,1.307677863395682e-12
2100,1.318575281366704e-12,3.4657727338864535e-14,8.409962735548684e-14,2.4263392415683605e-12,7.809595606274737e-15,0.0,,1.4218197491833142e-14,2.56907912859558e-13,1.7217923687016067e-12,6.403048026433734e-14,4.04209373173175e-13,2.0636581036314825e-11,2.99283857980787e-14,9.05733903246185e-21,,2.719757947169341e-14,1.2644817910930392e-12
