Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,9.9976313271906e-13,1.1956315465051686e-16,1.5958048306194657e-13,1.2868531177494234e-15,4.2693255457251686e-15,,,,0.0,9.9976313271906e-13,1.1956315465051686e-16,1.5958048306194657e-13,1.2868531177494234e-15,4.2693255457251686e-15,,,,0.0
2010,1.0184180625745534e-12,1.1991825363936243e-16,1.619417512704251e-13,1.420521364827827e-15,4.556723692418909e-15,,,,0.0,1.0194964551812704e-12,1.1991825363936243e-16,1.6256882422322405e-13,1.4316192432591302e-15,4.556723692418909e-15,,,,0.0
2020,1.046454404428145e-12,1.2073392417639372e-16,1.6474126396546547e-13,1.691470722892275e-15,5.40503305593821e-15,,,,0.0,1.0459690454350758e-12,1.2073392417639372e-16,1.6632447053619697e-13,1.7023833812193715e-15,5.4263968229577296e-15,,,,0.0
2030,1.0682362886829014e-12,1.5253585699042807e-16,1.6756131551206122e-13,1.8721850908144057e-15,6.411805507360801e-15,,,,0.0,1.069045000817893e-12,1.5253585699042807e-16,1.6994232681164748e-13,2.11684584221356e-15,6.877715103237281e-15,,,,0.0
2040,1.0745444189519334e-12,1.5478879212514463e-16,1.7005963287764534e-13,1.9112999753209214e-15,7.345524062682365e-15,,,,0.0,1.092498530813138e-12,1.5478879212514463e-16,1.7316016254204157e-13,2.579227681105281e-15,8.55428075274378e-15,,,,0.0
2050,1.0494196822564468e-12,1.2610092590687255e-16,1.7254270731465366e-13,1.62273787890983e-15,7.994797702971721e-15,,,,0.0,1.1063010780986209e-12,1.576261406355344e-16,1.7595274663318378e-13,2.861919650776267e-15,9.82287554147084e-15,,,,0.0
2060,9.972829943637037e-13,9.652139987053541e-17,1.7487860722885972e-13,1.2959002837769713e-15,8.457837673483713e-15,,,,0.0,1.1068940019522073e-12,1.6086901988189322e-16,1.7774746084291214e-13,2.806229925069541e-15,1.0997729234958009e-14,,,,0.0
2070,9.54581500899317e-13,9.870172213236781e-17,1.7656957074021662e-13,1.1381132278165285e-15,9.193062874630472e-15,,,,0.0,1.0983214118491625e-12,1.6450286575446466e-16,1.7933737649741824e-13,2.6264150751534905e-15,1.2064249747495592e-14,,,,0.0
2080,9.30373260719463e-13,6.730755089540142e-17,1.791536381540448e-13,1.0994557126298342e-15,9.953176169779579e-15,,,,0.0,1.0835484758577266e-12,1.3461510179080283e-16,1.8106917075174705e-13,2.361793856274331e-15,1.2917373547473556e-14,,,,0.0
2090,9.1576211105905e-13,6.882302221677426e-17,1.8406202579556416e-13,1.1257985562006423e-15,1.058160140083936e-14,,,,0.0,1.0629525490702042e-12,1.3764604443354852e-16,1.830691637169677e-13,2.0714692748091444e-15,1.2961061482052929e-14,,,,0.0
2100,8.97484591175892e-13,7.028939493630487e-17,1.8843264401452785e-13,1.11016450021723e-15,1.1176562675571907e-14,,,,0.0,1.0376660260436948e-12,1.0543410580290232e-16,1.8447997839070946e-13,1.8845386715146826e-15,1.3532547823578187e-14,,,,0.0
