Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,7.414840971680915e-14,1.9285250334119518e-13,7.660722718017017e-13,5.139477573133424e-13,1.7314490589345798e-13,1.8354184713790524e-15,,6.898928070221956e-13,0.0,7.414840971680915e-14,1.9285250334119518e-13,7.660722718017017e-13,5.139477573133424e-13,1.7314490589345798e-13,1.8354184713790524e-15,,6.898928070221956e-13,0.0
2010,7.40595589468206e-14,1.9356573794246967e-13,7.678295303903569e-13,4.963599147782053e-13,1.6970713843932763e-13,1.7269926803773664e-15,,7.15834652497398e-13,0.0,7.321544919191405e-14,1.9333491253260447e-13,7.610364801685029e-13,4.981074596013957e-13,1.7219254527764818e-13,1.754597550283206e-15,,7.101402456136544e-13,0.0
2020,7.401513356182634e-14,2.2715787344181922e-13,7.616819242116378e-13,3.655528672645483e-13,1.7741394117526984e-13,1.2287457766200174e-15,,7.687633141157151e-13,0.0,7.103853672715629e-14,1.974565126114676e-13,7.409135094870718e-13,4.030757163753657e-13,1.6255043941288056e-13,1.5433743870714518e-15,,8.111895293452264e-13,0.0
2030,7.348200150187966e-14,2.386479820262959e-13,7.55461547111977e-13,3.546367900830288e-13,1.8571545136580173e-13,8.550182329187955e-16,,8.676183844527959e-13,0.0,6.877275977240222e-14,2.0192583256596203e-13,7.200395055830999e-13,2.9073618341175994e-13,1.6271111442327828e-13,9.51366987125792e-16,,9.67064732242537e-13,0.0
2040,7.228248866701898e-14,1.9455478585892032e-13,7.47703266907073e-13,2.950291738270493e-13,1.4584580865464941e-13,7.038273922319652e-16,,8.187194537416549e-13,0.0,6.641814576766738e-14,1.7785775598496553e-13,6.975350159617967e-13,2.674466623887884e-13,1.3387766756122577e-13,7.113791310119164e-16,,1.1200568675977978e-12,0.0
2050,6.983901017228786e-14,1.293171369954151e-13,7.399026741983634e-13,1.9549215050629321e-13,8.503261532039735e-14,4.51833189519421e-16,,6.581706125348982e-13,0.0,6.317498290302398e-14,1.3218881693105754e-13,6.741426772009786e-13,2.0218483887168216e-13,7.836401928856302e-14,2.4647889359393823e-16,,1.1876348204979873e-12,0.0
2060,6.655142192265017e-14,9.637795038342267e-14,7.313899033289738e-13,1.3508955584304905e-13,6.196305346117752e-14,3.2227939053710703e-16,,6.028561513343006e-13,0.0,5.926541868345497e-14,1.1853172916741172e-13,6.475948464248416e-13,2.0594726286846825e-13,7.419696482412683e-14,2.2429026470409206e-16,,1.33718652671762e-12,0.0
2070,6.339710982799532e-14,7.427715140924081e-14,7.201562902888045e-13,8.255482994636478e-14,4.859833220202065e-14,2.494062662565392e-16,,5.831139931871192e-13,0.0,5.500044109392601e-14,1.0524480035202175e-13,6.211755446810171e-13,2.059462064278739e-13,6.700679583884915e-14,1.9186293267101303e-16,,1.4684378280812198e-12,0.0
2080,6.042051299332526e-14,5.884321288591678e-14,7.124301697819941e-13,4.8874052907144515e-14,3.992933160473407e-14,1.9474787245817824e-16,,5.796878328595191e-13,0.0,5.0335621319440915e-14,8.947947562225577e-14,5.962011792701314e-13,1.991047245787719e-13,5.845951915004594e-14,1.5048376454683303e-16,,1.5619019232252714e-12,0.0
2090,5.753277378864759e-14,4.853804648810317e-14,7.136289142964223e-13,3.483493495856373e-14,3.362159235592223e-14,1.4293201236843668e-16,,5.769325809093802e-13,0.0,4.558194734496535e-14,7.703457798060298e-14,5.732589116425287e-13,1.973462449094296e-13,4.618724321551226e-14,1.0085991016299726e-16,,1.624098559817866e-12,0.0
2100,5.455617009397367e-14,4.026922421596184e-14,7.121949539696585e-13,2.908269824228446e-14,2.803180053103646e-14,9.221922616101694e-17,,5.728581776570708e-13,0.0,4.113926478545739e-14,6.115944516905761e-14,5.492769967100079e-13,1.812513998942714e-13,4.1024647840972483e-14,3.357283209161409e-17,,1.6360542843043038e-12,0.0
