Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.5779136392333295e-12,1.4108156910657482e-16,4.971107844146311e-13,0.0,5.123404220065711e-15,,,,0.0,1.5779136392333295e-12,1.4108156910657482e-16,4.971107844146311e-13,0.0,5.123404220065711e-15,,,,0.0
2010,1.6073564340168702e-12,1.4156756583926672e-16,5.04412255421819e-13,0.0,5.487151995630935e-15,,,,0.0,1.609058519334644e-12,1.4156756583926672e-16,5.064467265285608e-13,0.0,5.487151995630935e-15,,,,0.0
2020,1.6516057956085265e-12,1.4299909444790987e-16,5.12975690792074e-13,0.0,6.579109293605204e-15,,,,0.0,1.6508399815936744e-12,1.4299909444790987e-16,5.181377392281492e-13,0.0,6.6051134879574095e-15,,,,0.0
2030,1.6859841521465646e-12,1.8207379569185022e-16,5.214514691830572e-13,0.0,7.964256606686494e-15,,,,0.0,1.6872606272933619e-12,1.8207379569185022e-16,5.291600120946597e-13,0.0,8.542974054675367e-15,,,,0.0
2040,1.695940208161152e-12,1.8719116343051107e-16,5.287082232852791e-13,0.0,9.372588320878431e-15,,,,0.0,1.724276866630587e-12,1.8719116343051107e-16,5.386443195687756e-13,0.0,1.0914912500988326e-14,,,,0.0
2050,1.6562859675693627e-12,1.5532079619824427e-16,5.35966931901228e-13,0.0,1.0507718439465949e-14,,,,0.0,1.7460611658994738e-12,1.9415098078792042e-16,5.466632155691503e-13,0.0,1.2910397907077915e-14,,,,0.0
2060,1.5739992812873453e-12,1.2167683731929326e-16,5.427626576746323e-13,0.0,1.145003004120249e-14,,,,0.0,1.7469972002916409e-12,2.0279470958564216e-16,5.514530772094536e-13,0.0,1.488847685071904e-14,,,,0.0
2070,1.5066043312297904e-12,1.2776988579399654e-16,5.472193043383264e-13,0.0,1.280791734784467e-14,,,,0.0,1.7334671086303221e-12,2.1294981447662247e-16,5.554446088338102e-13,0.0,1.6808098065616234e-14,,,,0.0
2080,1.4683965492513597e-12,8.968907028123275e-17,5.543085625369131e-13,0.0,1.4259808250775342e-14,,,,0.0,1.7101511813317314e-12,1.7937814056246547e-16,5.598427977687602e-13,0.0,1.8506581599571568e-14,,,,0.0
2090,1.4453360117464299e-12,9.451487612999084e-17,5.685851007588803e-13,0.0,1.5574997946462806e-14,,,,0.0,1.6776448935780277e-12,1.8902975225998168e-16,5.651675446656862e-13,0.0,1.9077310713047435e-14,,,,0.0
2100,1.4164888106004269e-12,9.94891994569244e-17,5.811100985430107e-13,0.0,1.687575459476092e-14,,,,0.0,1.6377355001033318e-12,1.4923380641532911e-16,5.685562568744846e-13,0.0,2.043311394539359e-14,,,,0.0
